YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,품목명_x,month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,순 강수량,순 평균기온,주산지 순 강수량,주산지 순 평균기온,단수,총반입량(kg),년도,품목명_y,생산량(톤),반입량_생산량비,주산지,지역 이름,품목코드 ,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 
201804중순,15205.0,감자 수미,20키로상자,상,109036.555555555,115127.75,70821.5,35393.5555555555,32486.3703703703,2018,중순,2018-04-11,감자 수미,감자 수미,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14.036241610738232,0.3011923870671864,,,,,,,,,,,,,,,,
201804하순,15205.0,감자 수미,20키로상자,상,98434.25,109036.555555555,92194.7,37668.0,33455.949074074,2018,하순,2018-04-21,감자 수미,감자 수미,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,17.69664429530199,0.3196356855995409,,,,,,,,,,,,,,,,
201805상순,15205.0,감자 수미,20키로상자,상,74557.5555555555,98434.25,115127.75,41846.3333333333,35158.8379629629,2018,상순,2018-05-01,감자 수미,감자 수미,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,20.276510067114067,0.3390342052313883,,,,,,,,,,,,,,,,
201805중순,15205.0,감자 수미,20키로상자,상,50940.125,74557.5555555555,109036.555555555,49525.3333333333,37978.3888888888,2018,중순,2018-05-11,감자 수미,감자 수미,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,23.012080536912727,0.3661301140174379,,,,,,,,,,,,,,,,
201805하순,15205.0,감자 수미,20키로상자,상,41498.0,50940.125,98434.25,34959.7777777777,28350.574074074,2018,하순,2018-05-21,감자 수미,감자 수미,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,22.985234899328837,0.3965817321080478,,,,,,,,,,,,,,,,
201806상순,15205.0,감자 수미,20키로상자,상,25062.25,41498.0,74557.5555555555,28934.0,23804.949074074,2018,상순,2018-06-01,감자 수미,감자 수미,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,23.174496644295278,0.45911878264819433,,,,,,,,,,,,,,,,
201806중순,15205.0,감자 수미,20키로상자,상,23764.6666666666,25062.25,50940.125,23904.625,20516.5509259259,2018,중순,2018-06-11,감자 수미,감자 수미,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,23.558389261744946,0.5166626515699028,,,,,,,,,,,,,,,,
201806하순,15205.0,감자 수미,20키로상자,상,23870.0,23764.6666666666,41498.0,24857.5555555555,17564.2824074074,2018,하순,2018-06-21,감자 수미,감자 수미,6,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,36.81476510067111,0.5854011081667067,,,,,,,,,,,,,,,,
201807상순,15205.0,감자 수미,20키로상자,상,24741.5,23870.0,25062.25,25402.75,17505.1296296296,2018,상순,2018-07-01,감자 수미,감자 수미,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,45.178523489932864,0.6252692031586503,,,,,,,,,,,,,,,,
201807중순,15205.0,감자 수미,20키로상자,상,24151.8888888888,24741.5,23764.6666666666,27055.5555555555,17983.7453703703,2018,중순,2018-07-11,감자 수미,감자 수미,7,11,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,41.5194630872483,0.6800569800569799,,,,,,,,,,,,,,,,
201807하순,15205.0,감자 수미,20키로상자,상,28255.1111111111,24151.8888888888,23870.0,27847.6666666666,19177.6074074074,2018,하순,2018-07-21,감자 수미,감자 수미,7,21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,39.520805369127494,0.7149313962873284,,,,,,,,,,,,,,,,
201808상순,15205.0,감자 수미,20키로상자,상,37492.5,28255.1111111111,24741.5,31401.875,19619.6084656084,2018,상순,2018-08-01,감자 수미,감자 수미,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,40.40671140939595,0.7491741197324954,,,,,,,,,,,,,,,,
201808중순,15205.0,감자 수미,20키로상자,상,37474.0,37492.5,24151.8888888888,34776.0,20299.2962962962,2018,중순,2018-08-11,감자 수미,감자 수미,8,11,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,39.13020134228186,0.7848828420256991,,,,,,,,,,,,,,,,
201808하순,15205.0,감자 수미,20키로상자,상,42553.9,37474.0,28255.1111111111,36521.8,20281.9259259259,2018,하순,2018-08-21,감자 수미,감자 수미,8,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,87.3677852348993,0.8124876506619244,,,,,,,,,,,,,,,,
201809상순,15205.0,감자 수미,20키로상자,상,40545.0,42553.9,37492.5,34139.375,20210.3888888888,2018,상순,2018-09-01,감자 수미,감자 수미,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,87.42416107382547,0.8224480399894765,,,,,,,,,,,,,,,,
201809중순,15205.0,감자 수미,20키로상자,상,40888.3333333333,40545.0,37474.0,34078.4444444444,20119.7071428571,2018,중순,2018-09-11,감자 수미,감자 수미,9,11,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,86.41073825503352,0.8317393903167962,,,,,,,,,,,,,,,,
201809하순,15205.0,감자 수미,20키로상자,상,43794.2,40888.3333333333,42553.9,35613.2222222222,20534.7724867724,2018,하순,2018-09-21,감자 수미,감자 수미,9,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,84.60268456375836,0.8315993063892224,,,,,,,,,,,,,,,,
201810상순,15205.0,감자 수미,20키로상자,상,39750.7777777777,43794.2,40545.0,37270.4,19225.574074074,2018,상순,2018-10-01,감자 수미,감자 수미,10,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,100.92214765100668,0.8187689969604862,,,,,,,,,,,,,,,,
201810중순,15205.0,감자 수미,20키로상자,상,38609.5555555555,39750.7777777777,40888.3333333333,36015.2222222222,19836.75,2018,중순,2018-10-11,감자 수미,감자 수미,10,11,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,100.79731543624158,0.8065159574468085,,,,,,,,,,,,,,,,
201810하순,15205.0,감자 수미,20키로상자,상,38498.5555555555,38609.5555555555,43794.2,33901.2222222222,20383.8407407407,2018,하순,2018-10-21,감자 수미,감자 수미,10,21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,100.87919463087245,0.7939779635258358,,,,,,,,,,,,,,,,
201811상순,15205.0,감자 수미,20키로상자,상,43583.2222222222,38498.5555555555,39750.7777777777,35208.4444444444,22684.6481481481,2018,상순,2018-11-01,감자 수미,감자 수미,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,89.55704697986573,0.7749338624338624,,,,,,,,,,,,,,,,
201811중순,15205.0,감자 수미,20키로상자,상,42668.375,43583.2222222222,38609.5555555555,35669.125,23339.4768518518,2018,중순,2018-11-11,감자 수미,감자 수미,11,11,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,79.64832214765097,0.7536655905299973,,,,,,,,,,,,,,,,
201811하순,15205.0,감자 수미,20키로상자,상,40473.0,42668.375,38498.5555555555,38945.3333333333,24387.2129629629,2018,하순,2018-11-21,감자 수미,감자 수미,11,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,79.79731543624158,0.7201354679802956,,,,,,,,,,,,,,,,
201812상순,15205.0,감자 수미,20키로상자,상,39453.75,40473.0,43583.2222222222,37812.375,24987.8888888888,2018,상순,2018-12-01,감자 수미,감자 수미,12,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,81.28187919463085,0.6707072730915647,,,,,,,,,,,,,,,,
201812중순,15205.0,감자 수미,20키로상자,상,42736.0,39453.75,42668.375,45214.0,24233.0046296296,2018,중순,2018-12-11,감자 수미,감자 수미,12,11,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,80.31543624161071,0.6186241938635919,,,,,,,,,,,,,,,,
201812하순,15205.0,감자 수미,20키로상자,상,42905.4444444444,42736.0,40473.0,43034.7777777777,25547.3185185185,2018,하순,2018-12-21,감자 수미,감자 수미,12,21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,79.37583892617445,0.5416747431672805,,,,,,,,,,,,,,,,
201901상순,15205.0,감자 수미,20키로상자,상,42425.8571428571,42905.4444444444,39453.75,44170.2857142857,26176.0793650793,2019,상순,2019-01-01,감자 수미,감자 수미,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,30.102013422818768,0.4453487541943313,,,,,,,,,,,,,,,,
201901중순,15205.0,감자 수미,20키로상자,상,39410.625,42425.8571428571,42736.0,48283.7777777777,25604.1203703703,2019,중순,2019-01-11,감자 수미,감자 수미,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,26.567785234899304,0.4113482671174979,,,,,,,,,,,,,,,,
201901하순,15205.0,감자 수미,20키로상자,상,40487.0,39410.625,42905.4444444444,50243.0,28817.3185185185,2019,하순,2019-01-21,감자 수미,감자 수미,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,25.27114093959729,0.3815077051228654,,,,,,,,,,,,,,,,
201902상순,15205.0,감자 수미,20키로상자,상,42759.8,40487.0,42425.8571428571,55380.6666666666,32006.7129629629,2019,상순,2019-02-01,감자 수미,감자 수미,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,24.912751677852327,0.3572104018912529,,,,,,,,,,,,,,,,
201902중순,15205.0,감자 수미,20키로상자,상,42351.4444444444,42759.8,39410.625,59133.0,30440.2156084656,2019,중순,2019-02-11,감자 수미,감자 수미,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,8.280536912751657,0.3179621848739495,,,,,,,,,,,,,,,,
201902하순,15205.0,감자 수미,20키로상자,상,41386.4285714285,42351.4444444444,40487.0,60486.7142857142,32121.6904761904,2019,하순,2019-02-21,감자 수미,감자 수미,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,8.076510067114075,0.3082282913165265,,,,,,,,,,,,,,,,
201903상순,15205.0,감자 수미,20키로상자,상,49899.75,41386.4285714285,42759.8,64069.7777777777,34324.9814814814,2019,상순,2019-03-01,감자 수미,감자 수미,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,8.927516778523469,0.3141445257348221,,,,,,,,,,,,,,,,
201903중순,15205.0,감자 수미,20키로상자,상,57439.0,49899.75,42351.4444444444,70821.5,36563.9907407407,2019,중순,2019-03-11,감자 수미,감자 수미,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,10.387919463087222,0.3191470691470691,,,,,,,,,,,,,,,,
201903하순,15205.0,감자 수미,20키로상자,상,64747.0,57439.0,41386.4285714285,92194.7,40465.9333333333,2019,하순,2019-03-21,감자 수미,감자 수미,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,11.144966442952992,0.33124338624338623,,,,,,,,,,,,,,,,
201904상순,15205.0,감자 수미,20키로상자,상,60224.3333333333,64747.0,49899.75,115127.75,39218.5277777777,2019,상순,2019-04-01,감자 수미,감자 수미,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,13.267114093959702,0.3373666406453291,,,,,,,,,,,,,,,,
201904중순,15205.0,감자 수미,20키로상자,상,51644.0,60224.3333333333,57439.0,109036.555555555,41861.6898148148,2019,중순,2019-04-11,감자 수미,감자 수미,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,11.492617449664403,0.34896745766310977,,,,,,,,,,,,,,,,
201904하순,15205.0,감자 수미,20키로상자,상,41836.0,51644.0,64747.0,98434.25,41598.7407407407,2019,하순,2019-04-21,감자 수미,감자 수미,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,12.90335570469796,0.3667916938464883,,,,,,,,,,,,,,,,
201905상순,15205.0,감자 수미,20키로상자,상,43263.3333333333,41836.0,60224.3333333333,74557.5555555555,42902.0694444444,2019,상순,2019-05-01,감자 수미,감자 수미,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,12.67114093959729,0.3932577838827838,,,,,,,,,,,,,,,,
201905중순,15205.0,감자 수미,20키로상자,상,43274.625,43263.3333333333,51644.0,50940.125,44515.9305555555,2019,중순,2019-05-11,감자 수미,감자 수미,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14.314093959731514,0.4262314262314262,,,,,,,,,,,,,,,,
201905하순,15205.0,감자 수미,20키로상자,상,29787.3,43274.625,41836.0,41498.0,33195.074074074,2019,하순,2019-05-21,감자 수미,감자 수미,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,15.021476510067084,0.454550785831574,,,,,,,,,,,,,,,,
201906상순,15205.0,감자 수미,20키로상자,상,21312.5,29787.3,43263.3333333333,25062.25,25265.2916666666,2019,상순,2019-06-01,감자 수미,감자 수미,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,18.832214765100638,0.4859978013076433,,,,,,,,,,,,,,,,
201906중순,15205.0,감자 수미,20키로상자,상,18377.0,21312.5,43274.625,23764.6666666666,21960.8472222222,2019,중순,2019-06-11,감자 수미,감자 수미,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,18.60268456375836,0.5134242048740189,,,,,,,,,,,,,,,,
201906하순,15205.0,감자 수미,20키로상자,상,19100.25,18377.0,29787.3,23870.0,20506.199074074,2019,하순,2019-06-21,감자 수미,감자 수미,6,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,21.59731543624158,0.5452083333333333,,,,,,,,,,,,,,,,
201907상순,15205.0,감자 수미,20키로상자,상,16363.6666666666,19100.25,21312.5,24741.5,20470.7962962962,2019,상순,2019-07-01,감자 수미,감자 수미,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,30.20134228187915,0.6179515880789141,,,,,,,,,,,,,,,,
201907중순,15205.0,감자 수미,20키로상자,상,19713.4444444444,16363.6666666666,18377.0,24151.8888888888,21377.3379629629,2019,중순,2019-07-11,감자 수미,감자 수미,7,11,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,71.83087248322143,0.6790212306585102,,,,,,,,,,,,,,,,
201907하순,15205.0,감자 수미,20키로상자,상,19781.8888888888,19713.4444444444,19100.25,28255.1111111111,23308.0888888888,2019,하순,2019-07-21,감자 수미,감자 수미,7,21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,107.33691275167779,0.7498907820008738,,,,,,,,,,,,,,,,
201908상순,15205.0,감자 수미,20키로상자,상,18478.875,19781.8888888888,16363.6666666666,37492.5,24084.1964285714,2019,상순,2019-08-01,감자 수미,감자 수미,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,122.31006711409388,0.8086505996041449,,,,,,,,,,,,,,,,
201908중순,15205.0,감자 수미,20키로상자,상,18589.375,18478.875,19713.4444444444,37474.0,25620.9259259259,2019,중순,2019-08-11,감자 수미,감자 수미,8,11,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,155.38926174496635,0.8275803722504231,,,,,,,,,,,,,,,,
201908하순,15205.0,감자 수미,20키로상자,상,16749.9,18589.375,19781.8888888888,42553.9,25909.4518518518,2019,하순,2019-08-21,감자 수미,감자 수미,8,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,177.20268456375828,0.831306760300843,,,,,,,,,,,,,,,,
201909상순,15205.0,감자 수미,20키로상자,상,17472.125,16749.9,18478.875,40545.0,25125.0138888888,2019,상순,2019-09-01,감자 수미,감자 수미,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,225.7704697986576,0.8336740101445982,,,,,,,,,,,,,,,,
201909중순,15205.0,감자 수미,20키로상자,상,17827.0,17472.125,18589.375,40888.3333333333,25032.3314814814,2019,중순,2019-09-11,감자 수미,감자 수미,9,11,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,230.64697986577167,0.8290441808492349,,,,,,,,,,,,,,,,
201909하순,15205.0,감자 수미,20키로상자,상,16790.875,17827.0,16749.9,43794.2,25670.5608465608,2019,하순,2019-09-21,감자 수미,감자 수미,9,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,274.614765100671,0.8207157114342742,,,,,,,,,,,,,,,,
201910상순,15205.0,감자 수미,20키로상자,상,16971.6666666666,16790.875,17472.125,39750.7777777777,25920.5592592592,2019,상순,2019-10-01,감자 수미,감자 수미,10,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,331.52348993288575,0.80980271270037,,,,,,,,,,,,,,,,
201910중순,15205.0,감자 수미,20키로상자,상,18049.625,16971.6666666666,17827.0,38609.5555555555,25901.1574074074,2019,중순,2019-10-11,감자 수미,감자 수미,10,11,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,330.62684563758376,0.7969126568603008,,,,,,,,,,,,,,,,
201910하순,15205.0,감자 수미,20키로상자,상,16343.6,18049.625,16790.875,38498.5555555555,25829.5814814814,2019,하순,2019-10-21,감자 수미,감자 수미,10,21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,331.0791946308723,0.7825766470971952,,,,,,,,,,,,,,,,
201911상순,15205.0,감자 수미,20키로상자,상,19046.625,16343.6,16971.6666666666,43583.2222222222,27781.1712962962,2019,상순,2019-11-01,감자 수미,감자 수미,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,330.12885906040253,0.7653607840233034,,,,,,,,,,,,,,,,
201911중순,15205.0,감자 수미,20키로상자,상,19557.1111111111,19046.625,18049.625,42668.375,28977.2592592592,2019,중순,2019-11-11,감자 수미,감자 수미,11,11,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,333.15033557046957,0.7403566499063394,,,,,,,,,,,,,,,,
201911하순,15205.0,감자 수미,20키로상자,상,20174.5555555555,19557.1111111111,16343.6,40473.0,30899.287037037,2019,하순,2019-11-21,감자 수미,감자 수미,11,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,293.2093959731542,0.7136985115957079,,,,,,,,,,,,,,,,
201912상순,15205.0,감자 수미,20키로상자,상,20087.875,20174.5555555555,19046.625,39453.75,30608.2731481481,2019,상순,2019-12-01,감자 수미,감자 수미,12,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,259.2134228187918,0.6705624267181057,,,,,,,,,,,,,,,,
201912중순,15205.0,감자 수미,20키로상자,상,18996.0,20087.875,19557.1111111111,42736.0,31817.0416666666,2019,중순,2019-12-11,감자 수미,감자 수미,12,11,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,244.63489932885892,0.6232876712328768,,,,,,,,,,,,,,,,
201912하순,15205.0,감자 수미,20키로상자,상,23131.5555555555,18996.0,20174.5555555555,42905.4444444444,32817.6148148148,2019,하순,2019-12-21,감자 수미,감자 수미,12,21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,213.4335570469797,0.5670170323768605,,,,,,,,,,,,,,,,
202001상순,15205.0,감자 수미,20키로상자,상,25534.5714285714,23131.5555555555,20087.875,42425.8571428571,32968.8095238095,2020,상순,2020-01-01,감자 수미,감자 수미,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,211.9261744966442,0.5302195366042133,,,,,,,,,,,,,,,,
202001중순,15205.0,감자 수미,20키로상자,상,31222.625,25534.5714285714,18996.0,39410.625,31513.2453703703,2020,중순,2020-01-11,감자 수미,감자 수미,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,162.0120805369126,0.48391019887878656,,,,,,,,,,,,,,,,
202001하순,15205.0,감자 수미,20키로상자,상,25292.625,31222.625,23131.5555555555,40487.0,33510.0185185185,2020,하순,2020-01-21,감자 수미,감자 수미,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,171.20402684563743,0.4521605538485472,,,,,,,,,,,,,,,,
202002상순,15205.0,감자 수미,20키로상자,상,32808.625,25292.625,25534.5714285714,42759.8,35691.7296296296,2020,상순,2020-02-01,감자 수미,감자 수미,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,125.93288590604014,0.418001659019623,,,,,,,,,,,,,,,,
202002중순,15205.0,감자 수미,20키로상자,상,31611.1111111111,32808.625,31222.625,42351.4444444444,34849.9933862433,2020,중순,2020-02-11,감자 수미,감자 수미,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,78.82147651006699,0.39284452519746627,,,,,,,,,,,,,,,,
202002하순,15205.0,감자 수미,20키로상자,상,47156.75,31611.1111111111,25292.625,41386.4285714285,35716.0238095238,2020,하순,2020-02-21,감자 수미,감자 수미,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,91.20805369127503,0.3786410179938363,,,,,,,,,,,,,,,,
202003상순,15205.0,감자 수미,20키로상자,상,39013.875,47156.75,32808.625,49899.75,41217.787037037,2020,상순,2020-03-01,감자 수미,감자 수미,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,95.86711409395957,0.366089203793696,,,,,,,,,,,,,,,,
202003중순,15205.0,감자 수미,20키로상자,상,42721.7777777777,39013.875,31611.1111111111,57439.0,44528.8657407407,2020,중순,2020-03-11,감자 수미,감자 수미,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,93.83892617449649,0.36166972455061086,,,,,,,,,,,,,,,,
202003하순,15205.0,감자 수미,20키로상자,상,44674.3333333333,42721.7777777777,47156.75,64747.0,49818.0666666666,2020,하순,2020-03-21,감자 수미,감자 수미,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,88.99597315436228,0.3679373763929844,,,,,,,,,,,,,,,,
202004상순,15205.0,감자 수미,20키로상자,상,41647.0,44674.3333333333,39013.875,60224.3333333333,46707.8055555555,2020,상순,2020-04-01,감자 수미,감자 수미,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,86.30604026845623,0.3721891126235732,,,,,,,,,,,,,,,,
202004중순,15205.0,감자 수미,20키로상자,상,45116.75,41647.0,42721.7777777777,51644.0,47278.5046296296,2020,중순,2020-04-11,감자 수미,감자 수미,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,100.15033557046965,0.3867482728242221,,,,,,,,,,,,,,,,
202004하순,15205.0,감자 수미,20키로상자,상,49584.4444444444,45116.75,44674.3333333333,41836.0,44104.6666666666,2020,하순,2020-04-21,감자 수미,감자 수미,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,98.97852348993275,0.4021271050066861,,,,,,,,,,,,,,,,
202005상순,15205.0,감자 수미,20키로상자,상,48522.75,49584.4444444444,41647.0,43263.3333333333,45690.3055555555,2020,상순,2020-05-01,감자 수미,감자 수미,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,120.19194630872468,0.43198343884760065,,,,,,,,,,,,,,,,
202005중순,15205.0,감자 수미,20키로상자,상,43740.4444444444,48522.75,45116.75,43274.625,47913.3611111111,2020,중순,2020-05-11,감자 수미,감자 수미,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,119.69932885906026,0.45564881382362715,,,,,,,,,,,,,,,,
202005하순,15205.0,감자 수미,20키로상자,상,28288.2222222222,43740.4444444444,49584.4444444444,29787.3,34731.6925925926,2020,하순,2020-05-21,감자 수미,감자 수미,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,121.29932885906027,0.4805904991670974,,,,,,,,,,,,,,,,
202006상순,15205.0,감자 수미,20키로상자,상,27899.2222222222,28288.2222222222,48522.75,21312.5,25102.9166666666,2020,상순,2020-06-01,감자 수미,감자 수미,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,111.66577181208041,0.5079403860249205,,,,,,,,,,,,,,,,
202006중순,15205.0,감자 수미,20키로상자,상,25177.1111111111,27899.2222222222,43740.4444444444,18377.0,22015.4305555555,2020,중순,2020-06-11,감자 수미,감자 수미,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,141.1892617449663,0.5428571428571427,,,,,,,,,,,,,,,,
