YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,품목명_x,month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,주산지,지역 이름,순 강수량,순 평균기온,주산지 순 강수량,주산지 순 평균기온,단수,총반입량(kg),년도,품목명_y,생산량(톤),반입량_생산량비
201902하순,21100,배추,10키로망대,상,2484.14285714285,2775.11111111111,2783.4,7890.71428571428,6945.98412698412,2019,하순,2019-02-21,배추,배추,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,,8.076510067114075,0.3082282913165265,1.6483221476510024,0.2822420634920634,719.7836436118745,12614912.12,2019,배추,1859705,0.006783286661056457
201903상순,21100,배추,10키로망대,상,2480.375,2484.14285714285,3234.8,8168.22222222222,7111.61574074074,2019,상순,2019-03-01,배추,배추,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,,8.927516778523469,0.3141445257348221,,,719.7836436118745,14605805.48,2019,배추,1859705,0.007853829225602986
201903중순,21100,배추,10키로망대,상,2494.77777777777,2480.375,2775.11111111111,7796.625,6897.11111111111,2019,중순,2019-03-11,배추,배추,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,10.387919463087222,0.3191470691470691,,,719.7836436118745,16933553.12,2019,배추,1859705,0.009105504969874254
201903하순,21100,배추,10키로망대,상,2483.11111111111,2494.77777777777,2484.14285714285,7996.1,6548.48148148148,2019,하순,2019-03-21,배추,배추,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,,11.144966442952992,0.33124338624338623,,,719.7836436118745,15021757.2,2019,배추,1859705,0.008077494656410559
201904상순,21100,배추,10키로망대,상,2466.11111111111,2483.11111111111,2480.375,7503.375,6073.61574074074,2019,상순,2019-04-01,배추,배추,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,13.267114093959702,0.3373666406453291,,,719.7836436118745,18281695.900000002,2019,배추,1859705,0.009830427890444991
201904중순,21100,배추,10키로망대,상,2680.55555555555,2466.11111111111,2494.77777777777,7082.22222222222,5890.25925925926,2019,중순,2019-04-11,배추,배추,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,11.492617449664403,0.34896745766310977,,,719.7836436118745,17225781.3,2019,배추,1859705,0.009262641816847297
201904하순,21100,배추,10키로망대,상,2643.375,2680.55555555555,2483.11111111111,6637.25,6329.29629629629,2019,하순,2019-04-21,배추,배추,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,12.90335570469796,0.3667916938464883,,,719.7836436118745,15750306.139999999,2019,배추,1859705,0.008469249768108382
201905상순,21100,배추,10키로망대,상,2894.22222222222,2643.375,2466.11111111111,5589.44444444444,5567.04629629629,2019,상순,2019-05-01,배추,배추,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,,12.67114093959729,0.3932577838827838,,,719.7836436118745,17394906.6,2019,배추,1859705,0.009353583821089905
201905중순,21100,배추,10키로망대,상,3419.875,2894.22222222222,2680.55555555555,4656.75,6253.99074074074,2019,중순,2019-05-11,배추,배추,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,14.314093959731514,0.4262314262314262,,,719.7836436118745,13922423.98,2019,배추,1859705,0.007486361535834984
201905하순,21100,배추,10키로망대,상,3744.2,3419.875,2643.375,3770.7,5155.97407407407,2019,하순,2019-05-21,배추,배추,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,,15.021476510067084,0.454550785831574,,,719.7836436118745,19030543.4,2019,배추,1859705,0.010233097937576121
201906상순,21100,배추,10키로망대,상,4879.5,3744.2,2894.22222222222,3345.125,4184.0787037037,2019,상순,2019-06-01,배추,배추,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,18.832214765100638,0.4859978013076433,,,719.7836436118745,14519617.13999999,2019,배추,1859705,0.0078074840579554225
201906중순,21100,배추,10키로망대,상,5758.33333333333,4879.5,3419.875,4073.44444444444,4236.93518518518,2019,중순,2019-06-11,배추,배추,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,,18.60268456375836,0.5134242048740189,,,719.7836436118745,19039627.8,2019,배추,1859705,0.01023798279834705
201906하순,21100,배추,10키로망대,상,6127.625,5758.33333333333,3744.2,4684.0,4949.50462962963,2019,하순,2019-06-21,배추,배추,6,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,,21.59731543624158,0.5452083333333333,,,719.7836436118745,16122171.84,2019,배추,1859705,0.008669209277815568
201907상순,21100,배추,10키로망대,상,5524.44444444444,6127.625,4879.5,5479.25,5481.99537037037,2019,상순,2019-07-01,배추,배추,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,30.20134228187915,0.6179515880789141,,,719.7836436118745,20495964.57999999,2019,배추,1859705,0.011021083763285032
201907중순,21100,배추,10키로망대,상,6093.66666666666,5524.44444444444,5758.33333333333,7957.0,6928.29629629629,2019,중순,2019-07-11,배추,배추,7,11,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,71.83087248322143,0.6790212306585102,,,719.7836436118745,19159915.8,2019,배추,1859705,0.01030266402467058
201907하순,21100,배추,10키로망대,상,5911.77777777777,6093.66666666666,6127.625,11236.3333333333,8605.15555555555,2019,하순,2019-07-21,배추,배추,7,21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,107.33691275167779,0.7498907820008738,,,719.7836436118745,19088421.34,2019,배추,1859705,0.010264220045652401
201908상순,21100,배추,10키로망대,상,6699.875,5911.77777777777,5524.44444444444,10779.125,9211.15476190476,2019,상순,2019-08-01,배추,배추,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,,,122.31006711409388,0.8086505996041449,,,719.7836436118745,19482618.2,2019,배추,1859705,0.01047618745983906
201908중순,21100,배추,10키로망대,상,6596.75,6699.875,6093.66666666666,16234.625,11988.824074074,2019,중순,2019-08-11,배추,배추,8,11,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,,,155.38926174496635,0.8275803722504231,,,719.7836436118745,21323753.01999999,2019,배추,1859705,0.01146620190836718
201908하순,21100,배추,10키로망대,상,7692.5,6596.75,5911.77777777777,17582.9,13152.6629629629,2019,하순,2019-08-21,배추,배추,8,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,,,177.20268456375828,0.831306760300843,,,719.7836436118745,30301470.99999999,2019,배추,1859705,0.016293697656348714
201909상순,21100,배추,10키로망대,상,11855.25,7692.5,6699.875,10922.25,11664.1666666666,2019,상순,2019-09-01,배추,배추,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,,225.7704697986576,0.8336740101445982,,,719.7836436118745,36074883.65999999,2019,배추,1859705,0.01939817533426
201909중순,21100,배추,10키로망대,상,13132.2857142857,11855.25,6596.75,9809.88888888888,10117.9259259259,2019,중순,2019-09-11,배추,배추,9,11,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,230.64697986577167,0.8290441808492349,,,719.7836436118745,15708896.899999999,2019,배추,1859705,0.008446983204325416
201909하순,21100,배추,10키로망대,상,18167.625,13132.2857142857,7692.5,7212.4,8715.94814814814,2019,하순,2019-09-21,배추,배추,9,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,274.614765100671,0.8207157114342742,,,719.7836436118745,15638415.32,2019,배추,1859705,0.008409083870828976
201910상순,21100,배추,10키로망대,상,16388.2222222222,18167.625,11855.25,6274.66666666666,7458.36574074074,2019,상순,2019-10-01,배추,배추,10,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,331.52348993288575,0.80980271270037,78.55302013422815,0.8131093917091275,719.7836436118745,22296663.7,2019,배추,1859705,0.011989355139659246
201910중순,21100,배추,10키로망대,상,13267.875,16388.2222222222,13132.2857142857,5449.11111111111,4491.81018518518,2019,중순,2019-10-11,배추,배추,10,11,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,,,330.62684563758376,0.7969126568603008,78.4402684563758,0.8007207845917523,719.7836436118745,22612378.16,2019,배추,1859705,0.012159121021882503
201910하순,21100,배추,10키로망대,상,9547.2,13267.875,18167.625,5499.88888888888,4098.91481481481,2019,하순,2019-10-21,배추,배추,10,21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,331.0791946308723,0.7825766470971952,78.55973154362411,0.786516232509264,719.7836436118745,30709833.9,2019,배추,1859705,0.01651328242920248
201911상순,21100,배추,10키로망대,상,8370.125,9547.2,16388.2222222222,5468.77777777777,4455.65277777777,2019,상순,2019-11-01,배추,배추,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,,330.12885906040253,0.7653607840233034,78.6657718120805,0.7701185277604492,719.7836436118745,29048664.16,2019,배추,1859705,0.015620038748081013
201911중순,21100,배추,10키로망대,상,9176.33333333333,8370.125,13267.875,4930.875,4860.09722222222,2019,중순,2019-11-11,배추,배추,11,11,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,,333.15033557046957,0.7403566499063394,79.50469798657713,0.7454772301933874,719.7836436118745,51207841.4,2019,배추,1859705,0.027535464710800907
201911하순,21100,배추,10키로망대,상,9162.55555555555,9176.33333333333,9547.2,4795.0,5265.54166666666,2019,하순,2019-11-21,배추,배추,11,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,,293.2093959731542,0.7136985115957079,67.1919463087248,0.7195013821519846,719.7836436118745,64163017.89999999,2019,배추,1859705,0.03450171822950414
201912상순,21100,배추,10키로망대,상,8697.375,9162.55555555555,8370.125,4314.5,4390.13425925926,2019,상순,2019-12-01,배추,배추,12,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,,259.2134228187918,0.6705624267181057,59.53020134228184,0.6770417664272413,719.7836436118745,36465921.29999999,2019,배추,1859705,0.019608443973640977
201912중순,21100,배추,10키로망대,상,8600.0,8697.375,9176.33333333333,3552.77777777777,4178.20833333333,2019,중순,2019-12-11,배추,배추,12,11,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,,244.63489932885892,0.6232876712328768,55.08322147651003,0.6329028786655904,719.7836436118745,27250870.25999999,2019,배추,1859705,0.014653329565710686
201912하순,21100,배추,10키로망대,상,8820.33333333333,8600.0,9162.55555555555,3268.11111111111,4205.38148148148,2019,하순,2019-12-21,배추,배추,12,21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,,213.4335570469797,0.5670170323768605,50.00536912751674,0.5739060136650497,719.7836436118745,14485499.4,2019,배추,1859705,0.007789138277307423
202001상순,21100,배추,10키로망대,상,9272.71428571428,8820.33333333333,8697.375,2927.0,4321.45238095238,2020,상순,2020-01-01,배추,배추,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,211.9261744966442,0.5302195366042133,50.19463087248319,0.5373422873422873,724.6243820478852,14775947.56,2020,배추,2242640,0.00658863997788321
202001중순,21100,배추,10키로망대,상,8701.625,9272.71428571428,8600.0,2823.0,4363.74537037036,2020,중순,2020-01-11,배추,배추,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,162.0120805369126,0.48391019887878656,40.4684563758389,0.49446350592638794,724.6243820478852,16104606.7,2020,배추,2242640,0.007181093131309528
202001하순,21100,배추,10키로망대,상,8522.0,8701.625,8820.33333333333,2783.4,5546.91851851851,2020,하순,2020-01-21,배추,배추,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,171.20402684563743,0.4521605538485472,44.97046979865768,0.464722822174226,724.6243820478852,10668148.2,2020,배추,2242640,0.004756959743873292
202002상순,21100,배추,10키로망대,상,8880.875,8522.0,9272.71428571428,3234.8,6176.86574074074,2020,상순,2020-02-01,배추,배추,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,125.93288590604014,0.418001659019623,31.959731543624134,0.43293564714389,724.6243820478852,10984647.92,2020,배추,2242640,0.004898087932080048
202002중순,21100,배추,10키로망대,상,9089.11111111111,8880.875,8701.625,2775.11111111111,6433.78571428571,2020,중순,2020-02-11,배추,배추,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,,78.82147651006699,0.39284452519746627,23.236241610738222,0.41051504283721846,724.6243820478852,13088763.1,2020,배추,2242640,0.0058363192933328575
202002하순,21100,배추,10키로망대,상,9076.5,9089.11111111111,8522.0,2484.14285714285,6945.98412698412,2020,하순,2020-02-21,배추,배추,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,,91.20805369127503,0.3786410179938363,27.135570469798623,0.3970359572400388,724.6243820478852,9689855.399999999,2020,배추,2242640,0.004320736007562515
202003상순,21100,배추,10키로망대,상,8656.625,9076.5,8880.875,2480.375,7111.61574074074,2020,상순,2020-03-01,배추,배추,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,,95.86711409395957,0.366089203793696,28.429530201342242,0.38488022500242447,724.6243820478852,11502899.09999999,2020,배추,2242640,0.00512917771019869
202003중순,21100,배추,10키로망대,상,8288.0,8656.625,9089.11111111111,2494.77777777777,6897.11111111111,2020,중순,2020-03-11,배추,배추,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,93.83892617449649,0.36166972455061086,27.953020134228154,0.38017751479289935,724.6243820478852,12439913.79999999,2020,배추,2242640,0.005546995416116715
