시점,품목명,품종명,등급,거래단위,평년 평균가격(원),평균가격(원),거래금액(도매),거래금액(산지)
201810상순,건고추,화건,상품,30 kg,398889.0,628017.0,0.0,0.0
201810중순,건고추,화건,상품,30 kg,396270.0,616000.0,0.0,0.0
201810하순,건고추,화건,상품,30 kg,394333.333333333,608500.0,0.0,0.0
201811상순,건고추,화건,상품,30 kg,392666.666666666,593857.0,0.0,0.0
201811중순,건고추,화건,상품,30 kg,391208.333333333,586000.0,0.0,0.0
201811하순,건고추,화건,상품,30 kg,391000.0,588500.0,0.0,0.0
201812상순,건고추,화건,상품,30 kg,390285.666666666,599000.0,0.0,0.0
201812중순,건고추,화건,상품,30 kg,386254.0,601000.0,0.0,0.0
201812하순,건고추,화건,상품,30 kg,383750.0,601000.0,0.0,0.0
201901상순,건고추,화건,상품,30 kg,381666.666666666,598357.0,0.0,0.0
201901중순,건고추,화건,상품,30 kg,380809.666666666,593950.0,0.0,0.0
201901하순,건고추,화건,상품,30 kg,380000.0,581378.0,0.0,0.0
201902상순,건고추,화건,상품,30 kg,380000.0,578600.0,0.0,0.0
201902중순,건고추,화건,상품,30 kg,376666.666666666,581725.0,0.0,0.0
201902하순,건고추,화건,상품,30 kg,376666.666666666,588600.0,0.0,0.0
201903상순,건고추,화건,상품,30 kg,376666.666666666,588600.0,0.0,0.0
201903중순,건고추,화건,상품,30 kg,375208.333333333,588600.0,0.0,0.0
201903하순,건고추,화건,상품,30 kg,372333.333333333,585743.0,0.0,0.0
201904상순,건고추,화건,상품,30 kg,371000.0,578600.0,0.0,0.0
201904중순,건고추,화건,상품,30 kg,368143.0,577171.0,0.0,0.0
201904하순,건고추,화건,상품,30 kg,363762.0,573600.0,0.0,0.0
201905상순,건고추,화건,상품,30 kg,363000.0,573600.0,0.0,0.0
201905중순,건고추,화건,상품,30 kg,361666.666666666,573600.0,0.0,0.0
201905하순,건고추,화건,상품,30 kg,361666.666666666,573044.0,0.0,0.0
201906상순,건고추,화건,상품,30 kg,362000.0,568600.0,0.0,0.0
201906중순,건고추,화건,상품,30 kg,364791.666666666,567975.0,0.0,0.0
201906하순,건고추,화건,상품,30 kg,365000.0,563600.0,0.0,0.0
201907상순,건고추,화건,상품,30 kg,366666.666666666,561350.0,0.0,0.0
201907중순,건고추,화건,상품,30 kg,368500.0,560600.0,0.0,0.0
201907하순,건고추,화건,상품,30 kg,363375.666666666,559350.0,0.0,0.0
201908상순,건고추,화건,상품,30 kg,365916.666666666,538743.0,0.0,0.0
201908중순,건고추,화건,상품,30 kg,366476.0,516733.0,0.0,0.0
201908하순,건고추,화건,상품,30 kg,418140.833333333,493366.5,0.0,0.0
201909상순,건고추,화건,상품,30 kg,469805.666666666,470000.0,0.0,0.0
201909중순,건고추,화건,상품,30 kg,500805.666666666,470000.0,0.0,0.0
201909하순,건고추,화건,상품,30 kg,503403.333333333,460000.0,0.0,0.0
201910상순,건고추,화건,상품,30 kg,493228.0,430000.0,0.0,0.0
201910중순,건고추,화건,상품,30 kg,486603.333333333,430000.0,0.0,0.0
201910하순,건고추,화건,상품,30 kg,482537.0,431111.0,0.0,0.0
201911상순,건고추,화건,상품,30 kg,477285.666666666,432000.0,0.0,0.0
201911중순,건고추,화건,상품,30 kg,473208.333333333,432000.0,0.0,0.0
201911하순,건고추,화건,상품,30 kg,473833.333333333,433714.0,0.0,0.0
201912상순,건고추,화건,상품,30 kg,476619.0,435000.0,0.0,0.0
201912중순,건고추,화건,상품,30 kg,473254.0,435000.0,0.0,0.0
201912하순,건고추,화건,상품,30 kg,467361.0,429833.0,0.0,0.0
202001상순,건고추,화건,상품,30 kg,465000.0,401429.0,0.0,0.0
202001중순,건고추,화건,상품,30 kg,464143.0,400000.0,0.0,0.0
202001하순,건고추,화건,상품,30 kg,460459.333333333,398857.0,0.0,0.0
202002상순,건고추,화건,상품,30 kg,459533.333333333,396000.0,0.0,0.0
202002중순,건고추,화건,상품,30 kg,460575.0,396000.0,0.0,0.0
202002하순,건고추,화건,상품,30 kg,460277.666666666,401250.0,0.0,0.0
202003상순,건고추,화건,상품,30 kg,454444.333333333,399750.0,0.0,0.0
202003중순,건고추,화건,상품,30 kg,458333.333333333,399125.0,0.0,0.0
202003하순,건고추,화건,상품,30 kg,455666.666666666,403857.0,0.0,0.0
202004상순,건고추,화건,상품,30 kg,454333.333333333,406000.0,0.0,0.0
202004중순,건고추,화건,상품,30 kg,451476.333333333,406000.0,0.0,0.0
202004하순,건고추,화건,상품,30 kg,448295.333333333,406000.0,0.0,0.0
202005상순,건고추,화건,상품,30 kg,447533.333333333,406000.0,0.0,0.0
202005중순,건고추,화건,상품,30 kg,446200.0,406375.0,0.0,0.0
202005하순,건고추,화건,상품,30 kg,446014.666666666,409000.0,0.0,0.0
202006상순,건고추,화건,상품,30 kg,444533.333333333,428125.0,0.0,0.0
202006중순,건고추,화건,상품,30 kg,444325.0,446714.0,0.0,0.0
202006하순,건고추,화건,상품,30 kg,442866.666666666,453457.0,0.0,0.0
202007상순,건고추,화건,상품,30 kg,442116.666666666,451600.0,0.0,0.0
202007중순,건고추,화건,상품,30 kg,439366.666666666,451933.0,0.0,0.0
202007하순,건고추,화건,상품,30 kg,435973.666666666,453933.0,0.0,0.0
202008상순,건고추,화건,상품,30 kg,430831.0,472233.0,0.0,0.0
202008중순,건고추,화건,상품,30 kg,422768.0,656571.0,0.0,0.0
202008하순,건고추,화건,상품,30 kg,411104.2762195502,703571.0,0.0,0.0
202009상순,건고추,화건,상품,30 kg,476805.666666666,905650.0,0.0,0.0
202009중순,건고추,화건,상품,30 kg,511250.0,890800.0,0.0,0.0
202009하순,건고추,화건,상품,30 kg,508689.0,815114.0,0.0,0.0
202010상순,건고추,화건,상품,30 kg,490894.666666666,806000.0,0.0,0.0
202010중순,건고추,화건,상품,30 kg,485381.0,807057.0,0.0,0.0
202010하순,건고추,화건,상품,30 kg,482537.0,819750.0,0.0,0.0
202011상순,건고추,화건,상품,30 kg,477952.333333333,830629.0,0.0,0.0
202011중순,건고추,화건,상품,30 kg,473875.0,825750.0,0.0,0.0
202011하순,건고추,화건,상품,30 kg,475071.333333333,816467.0,0.0,0.0
202012상순,건고추,화건,상품,30 kg,479000.0,810371.0,0.0,0.0
202012중순,건고추,화건,상품,30 kg,479111.0,797800.0,0.0,0.0
202012하순,건고추,화건,상품,30 kg,472305.333333333,778150.0,0.0,0.0
202101상순,건고추,화건,상품,30 kg,460476.333333333,770400.0,0.0,0.0
202101중순,건고추,화건,상품,30 kg,460333.333333333,770400.0,0.0,0.0
202101하순,건고추,화건,상품,30 kg,456745.0,770400.0,0.0,0.0
202102상순,건고추,화건,상품,30 kg,454866.666666666,770400.0,0.0,0.0
202102중순,건고추,화건,상품,30 kg,455908.333333333,770400.0,0.0,0.0
202102하순,건고추,화건,상품,30 kg,457361.0,770400.0,0.0,0.0
202103상순,건고추,화건,상품,30 kg,451027.666666666,769686.0,0.0,0.0
202103중순,건고추,화건,상품,30 kg,454708.333333333,764029.0,0.0,0.0
202103하순,건고추,화건,상품,30 kg,453619.0,764000.0,0.0,0.0
202104상순,건고추,화건,상품,30 kg,453000.0,767800.0,0.0,0.0
202104중순,건고추,화건,상품,30 kg,450143.0,767800.0,0.0,0.0
202104하순,건고추,화건,상품,30 kg,446962.0,767800.0,0.0,0.0
202105상순,건고추,화건,상품,30 kg,446200.0,767800.0,0.0,0.0
202105중순,건고추,화건,상품,30 kg,444991.666666666,767800.0,0.0,0.0
202105하순,건고추,화건,상품,30 kg,445681.333333333,767800.0,0.0,0.0
202106상순,건고추,화건,상품,30 kg,450575.0,767800.0,0.0,0.0
202106중순,건고추,화건,상품,30 kg,456563.0,771133.0,0.0,0.0
202106하순,건고추,화건,상품,30 kg,457352.333333333,772800.0,0.0,0.0
202107상순,건고추,화건,상품,30 kg,455983.333333333,772800.0,0.0,0.0
202107중순,건고추,화건,상품,30 kg,453344.333333333,772800.0,0.0,0.0
202107하순,건고추,화건,상품,30 kg,450618.0,772800.0,0.0,0.0
202108상순,건고추,화건,상품,30 kg,451575.333333333,759943.0,0.0,0.0
202108중순,건고추,화건,상품,30 kg,488244.333333333,732243.0,0.0,0.0
202108하순,건고추,화건,상품,30 kg,0.0,602000.0,0.0,0.0
202109상순,건고추,화건,상품,30 kg,594433.333333333,599813.0,0.0,0.0
202109중순,건고추,화건,상품,30 kg,596516.666666666,587000.0,0.0,0.0
202109하순,건고추,화건,상품,30 kg,597022.333333333,580750.0,0.0,0.0
202110상순,건고추,화건,상품,30 kg,579339.0,578400.0,0.0,0.0
202110중순,건고추,화건,상품,30 kg,578250.0,562714.0,0.0,0.0
202110하순,건고추,화건,상품,30 kg,582727.333333333,558000.0,0.0,0.0
202111상순,건고추,화건,상품,30 kg,563202.333333333,558000.0,0.0,0.0
202111중순,건고추,화건,상품,30 kg,552944.333333333,558000.0,0.0,0.0
202111하순,건고추,화건,상품,30 kg,554071.333333333,565143.0,0.0,0.0
202112상순,건고추,화건,상품,30 kg,559000.0,570500.0,0.0,0.0
202112중순,건고추,화건,상품,30 kg,552000.0,570500.0,0.0,0.0
202112하순,건고추,화건,상품,30 kg,540555.333333333,560778.0,0.0,0.0
201801상순,사과,후지,상품,10 개,21461.6666666666,20361.0,18219.9677732767,0.0
201801중순,사과,후지,상품,10 개,22179.6666666666,20359.0,18147.4566870209,0.0
201801하순,사과,후지,상품,10 개,22917.6666666666,20653.0,21581.5011015886,0.0
201802상순,사과,후지,상품,10 개,23424.6666666666,20563.0,30585.1239534969,0.0
201802중순,사과,후지,상품,10 개,23201.6666666666,21779.0,26313.1427281815,0.0
201802하순,사과,후지,상품,10 개,22792.3333333333,21465.0,17834.3068495446,0.0
201803상순,사과,후지,상품,10 개,22616.3333333333,21384.0,17032.6398932899,0.0
201803중순,사과,후지,상품,10 개,22322.0,20695.0,16263.1520002672,0.0
201803하순,사과,후지,상품,10 개,21930.3333333333,20794.0,16395.7560105,0.0
201804상순,사과,후지,상품,10 개,21921.6666666666,19019.0,16227.2442066239,0.0
201804중순,사과,후지,상품,10 개,22252.6666666666,19208.0,17331.609391125,0.0
201804하순,사과,후지,상품,10 개,22566.0,19154.0,17832.4390067059,0.0
201805상순,사과,후지,상품,10 개,22600.6666666666,19074.0,17418.8433947319,0.0
201805중순,사과,후지,상품,10 개,22759.3333333333,18943.0,17493.436364435598,0.0
201805하순,사과,후지,상품,10 개,23036.0,18681.0,17918.2497525637,0.0
201806상순,사과,후지,상품,10 개,23094.0,19018.0,17339.4155111392,0.0
201806중순,사과,후지,상품,10 개,23656.0,19762.0,17176.9128047639,0.0
201806하순,사과,후지,상품,10 개,24442.6666666666,19393.0,15686.1322332064,0.0
201807상순,사과,후지,상품,10 개,24864.6666666666,19508.0,15353.6181955847,0.0
201807중순,사과,후지,상품,10 개,25152.6666666666,19496.0,13020.5795087697,0.0
201807하순,사과,후지,상품,10 개,25347.0,19680.0,13834.9693631913,0.0
201808상순,사과,후지,상품,10 개,25500.3333333333,20287.0,15725.7538654217,0.0
201808중순,사과,후지,상품,10 개,25584.0,20956.0,20070.3826955074,0.0
201808하순,사과,후지,상품,10 개,25163.6666666666,21807.0,18687.8767949431,0.0
201809상순,사과,후지,상품,10 개,0.0,21299.0,18038.3655229871,0.0
201809중순,사과,홍로,상품,10 개,22201.3333333333,26228.0,30546.3548891945,0.0
201809하순,사과,홍로,상품,10 개,21663.3333333333,26219.0,27977.6030596156,0.0
201810상순,사과,홍로,상품,10 개,20847.6666666666,25411.0,10749.2306495539,0.0
201810중순,사과,홍로,상품,10 개,19957.0,22474.0,11254.8633007855,0.0
201810하순,사과,후지,상품,10 개,0.0,22336.0,21599.5687984204,0.0
201811상순,사과,후지,상품,10 개,19883.0,21791.0,19558.741897189,0.0
201811중순,사과,후지,상품,10 개,19865.3333333333,22815.0,17984.3181769327,0.0
201811하순,사과,후지,상품,10 개,20430.0,23070.0,18414.0084144226,0.0
201812상순,사과,후지,상품,10 개,20102.6666666666,22840.0,19357.122543225,0.0
201812중순,사과,후지,상품,10 개,20100.3333333333,22237.0,19728.2620059395,0.0
201812하순,사과,후지,상품,10 개,20250.6666666666,21908.0,18991.6316764521,0.0
201901상순,사과,후지,상품,10 개,20696.6666666666,22487.0,22479.46393031,0.0
201901중순,사과,후지,상품,10 개,20851.0,23655.0,26943.3281146712,0.0
201901하순,사과,후지,상품,10 개,21606.6666666666,25155.0,35394.6848609027,0.0
201902상순,사과,후지,상품,10 개,22033.3333333333,26059.0,32021.0880459502,0.0
201902중순,사과,후지,상품,10 개,22334.6666666666,24721.0,20557.4324332375,0.0
201902하순,사과,후지,상품,10 개,21610.0,24274.0,18670.9092077768,0.0
201903상순,사과,후지,상품,10 개,21707.3333333333,24027.0,19540.1554617644,0.0
201903중순,사과,후지,상품,10 개,21438.3333333333,24501.0,19902.0833811583,0.0
201903하순,사과,후지,상품,10 개,21247.0,24797.0,19985.5827632429,0.0
201904상순,사과,후지,상품,10 개,20653.3333333333,24550.0,21303.1478276925,0.0
201904중순,사과,후지,상품,10 개,20791.3333333333,24522.0,20290.2064443956,0.0
201904하순,사과,후지,상품,10 개,20969.0,25049.0,20596.098108779403,0.0
201905상순,사과,후지,상품,10 개,20859.3333333333,24884.0,21611.8367704472,0.0
201905중순,사과,후지,상품,10 개,20961.3333333333,24801.0,19412.3064343867,0.0
201905하순,사과,후지,상품,10 개,21147.6666666666,24563.0,21069.0320996558,0.0
201906상순,사과,후지,상품,10 개,21271.0,25007.0,22058.9916811362,0.0
201906중순,사과,후지,상품,10 개,21896.0,25248.0,21464.675200577894,0.0
201906하순,사과,후지,상품,10 개,22429.0,25287.0,20225.5563393501,0.0
201907상순,사과,후지,상품,10 개,22869.6666666666,25319.0,20689.4129854095,0.0
201907중순,사과,후지,상품,10 개,23066.0,25760.0,19426.2550588127,0.0
201907하순,사과,후지,상품,10 개,23229.6666666666,25340.0,18761.4862996923,0.0
201908상순,사과,후지,상품,10 개,23778.3333333333,25279.0,19900.9486668357,0.0
201908중순,사과,후지,상품,10 개,24041.0,25974.0,18306.6933263148,0.0
201908하순,사과,후지,상품,10 개,23489.6666666666,26672.0,17526.337696757502,0.0
201909상순,사과,후지,상품,10 개,0.0,25700.0,24117.3071681657,0.0
201909중순,사과,홍로,상품,10 개,22687.3333333333,22939.0,10504.1148901769,0.0
201909하순,사과,홍로,상품,10 개,21663.3333333333,20127.0,10779.1822937283,0.0
201910상순,사과,홍로,상품,10 개,21509.6666666666,18516.0,13582.8466485593,0.0
201910중순,사과,홍로,상품,10 개,20813.6666666666,17644.0,14859.7894102201,0.0
201910하순,사과,후지,상품,10 개,0.0,18986.0,19133.4289809838,0.0
201911상순,사과,후지,상품,10 개,20334.3333333333,19086.0,16906.1277278651,0.0
201911중순,사과,후지,상품,10 개,20160.0,18829.0,14608.9283343197,0.0
201911하순,사과,후지,상품,10 개,20430.0,18390.0,13406.4140063006,0.0
201912상순,사과,후지,상품,10 개,20102.6666666666,17583.0,15069.307865057,0.0
201912중순,사과,후지,상품,10 개,20100.3333333333,17745.0,14765.8113487203,0.0
201912하순,사과,후지,상품,10 개,20250.6666666666,18227.0,16004.870646050698,0.0
202001상순,사과,후지,상품,10 개,20696.6666666666,18290.0,22515.058433018,0.0
202001중순,사과,후지,상품,10 개,20851.0,18508.0,25599.186306933403,0.0
202001하순,사과,후지,상품,10 개,21606.6666666666,20625.0,24090.3344845924,0.0
202002상순,사과,후지,상품,10 개,22033.3333333333,20006.0,16104.6054036559,0.0
202002중순,사과,후지,상품,10 개,22716.6666666666,20348.0,15121.0829134205,0.0
202002하순,사과,후지,상품,10 개,22289.3333333333,20120.0,17191.862573414903,0.0
202003상순,사과,후지,상품,10 개,22160.3333333333,19667.0,18095.8407917897,0.0
202003중순,사과,후지,상품,10 개,21629.0,19802.0,17037.0903270239,0.0
202003하순,사과,후지,상품,10 개,21319.3333333333,19988.0,17792.4873472848,0.0
202004상순,사과,후지,상품,10 개,20676.6666666666,20251.0,18843.9059581736,0.0
202004중순,사과,후지,상품,10 개,20936.3333333333,20484.0,20913.8163519211,0.0
202004하순,사과,후지,상품,10 개,21238.3333333333,20518.0,22150.3772869164,0.0
202005상순,사과,후지,상품,10 개,21508.3333333333,20940.0,25813.5589755954,0.0
202005중순,사과,후지,상품,10 개,21448.6666666666,21526.0,26755.4130368657,0.0
202005하순,사과,후지,상품,10 개,21296.6666666666,21783.0,29746.420627040603,0.0
202006상순,사과,후지,상품,10 개,21332.0,22451.0,30810.1106036142,0.0
202006중순,사과,후지,상품,10 개,21944.3333333333,22908.0,31427.559535709,0.0
202006하순,사과,후지,상품,10 개,22429.0,23682.0,33000.230815371404,0.0
202007상순,사과,후지,상품,10 개,22825.6666666666,24879.0,37910.9751982453,0.0
202007중순,사과,후지,상품,10 개,22995.0,26075.0,39681.5943325296,0.0
202007하순,사과,후지,상품,10 개,22970.6666666666,26973.0,38862.6929856313,0.0
202008상순,사과,후지,상품,10 개,23419.3333333333,27768.0,38752.7956634197,0.0
202008중순,사과,후지,상품,10 개,23929.6666666666,27649.0,39011.7723934237,0.0
202008하순,사과,후지,상품,10 개,23489.6666666666,26514.0,29276.6983449012,0.0
202009상순,사과,홍로,상품,10 개,23844.3333333333,30369.0,34207.414198848,0.0
202009중순,사과,홍로,상품,10 개,23123.0,29944.0,38537.1785677048,0.0
202009하순,사과,홍로,상품,10 개,21663.3333333333,32610.0,49543.3364022445,0.0
202010상순,사과,홍로,상품,10 개,21509.6666666666,30579.0,31552.263779403904,0.0
202010중순,사과,홍로,상품,10 개,20813.6666666666,29534.0,22914.3559863155,0.0
202010하순,사과,후지,상품,10 개,0.0,29715.0,27524.3264072258,0.0
202011상순,사과,후지,상품,10 개,20129.6666666666,29099.0,24740.156940286903,0.0
202011중순,사과,후지,상품,10 개,20126.3333333333,27159.0,23490.9090806802,0.0
202011하순,사과,후지,상품,10 개,19863.6666666666,26942.0,25863.913196915302,0.0
202012상순,사과,후지,상품,10 개,19611.6666666666,26543.0,28875.7347415482,0.0
202012중순,사과,후지,상품,10 개,19575.3333333333,27134.0,29722.019449895302,0.0
202012하순,사과,후지,상품,10 개,19822.6666666666,27935.0,29979.9170015942,0.0
202101상순,사과,후지,상품,10 개,19678.0,28046.0,32052.519372192102,0.0
202101중순,사과,후지,상품,10 개,20233.6666666666,29954.0,33751.2405181036,0.0
202101하순,사과,후지,상품,10 개,21138.3333333333,32624.0,45687.0852348624,0.0
202102상순,사과,후지,상품,10 개,20934.3333333333,35339.0,50652.9304956534,0.0
202102중순,사과,후지,상품,10 개,21259.0,34097.0,33857.3485027572,0.0
202102하순,사과,후지,상품,10 개,20904.6666666666,33901.0,33530.7883394351,0.0
202103상순,사과,후지,상품,10 개,20707.0,33066.0,30879.875840854103,0.0
202103중순,사과,후지,상품,10 개,20447.6666666666,32917.0,29706.5740409629,0.0
202103하순,사과,후지,상품,10 개,20367.3333333333,33668.0,28464.1360714073,0.0
202104상순,사과,후지,상품,10 개,19819.0,34642.0,29936.7111638198,0.0
202104중순,사과,후지,상품,10 개,19900.3333333333,34038.0,30476.6813424678,0.0
202104하순,사과,후지,상품,10 개,20096.0,34235.0,28574.8355794034,0.0
202105상순,사과,후지,상품,10 개,20389.0,34263.0,29645.6187009552,0.0
202105중순,사과,후지,상품,10 개,20511.6666666666,34386.0,28267.036122323203,0.0
202105하순,사과,후지,상품,10 개,20442.3333333333,32823.0,27587.958773594,0.0
202106상순,사과,후지,상품,10 개,20576.6666666666,33013.0,27115.4489432912,0.0
202106중순,사과,후지,상품,10 개,21233.0,34023.0,23416.8851236276,0.0
202106하순,사과,후지,상품,10 개,21974.6666666666,33554.0,20992.0309795068,0.0
202107상순,사과,후지,상품,10 개,22679.0,33200.0,20311.5572209494,0.0
202107중순,사과,후지,상품,10 개,22995.0,33300.0,15095.2413231941,0.0
202107하순,사과,후지,상품,10 개,22970.6666666666,33472.0,13986.4036369967,0.0
202108상순,사과,후지,상품,10 개,23419.3333333333,32511.0,18125.1035775381,0.0
202108중순,사과,후지,상품,10 개,23929.6666666666,31031.0,17326.874974264098,0.0
202108하순,사과,후지,상품,10 개,23650.6666666666,30531.0,13202.9094301215,0.0
202109상순,사과,홍로,상품,10 개,24993.0,24907.0,25106.5466834626,0.0
202109중순,사과,홍로,상품,10 개,24813.0,26407.0,30947.6382962255,0.0
202109하순,사과,홍로,상품,10 개,23096.3333333333,27970.0,13958.9602370313,0.0
202110상순,사과,홍로,상품,10 개,22781.3333333333,25009.0,11686.8975777747,0.0
202110중순,사과,홍로,상품,10 개,21546.3333333333,23608.0,15852.4744264088,0.0
202110하순,사과,홍로,상품,10 개,20837.99999999995,24748.5,15480.8394497104,0.0
202111상순,사과,후지,상품,10 개,20129.6666666666,25889.0,21932.2997628986,0.0
202111중순,사과,후지,상품,10 개,20743.6666666666,26004.0,21459.446244403294,0.0
202111하순,사과,후지,상품,10 개,20673.0,25494.0,20468.5948552419,0.0
202112상순,사과,후지,상품,10 개,20539.6666666666,26144.0,21894.178871560296,0.0
202112중순,사과,후지,상품,10 개,20197.0,26177.0,21718.9548484754,0.0
202112하순,사과,후지,상품,10 개,20237.3333333333,25952.0,23778.762100539603,0.0
201801상순,감자,감자 수미,상,20키로상자,24660.0317460317,44170.2857142857,0.0,0.0
201801중순,감자,감자 수미,상,20키로상자,23299.4444444444,48283.7777777777,0.0,0.0
201801하순,감자,감자 수미,상,20키로상자,25218.0074074074,50243.0,0.0,0.0
201802상순,감자,감자 수미,상,20키로상자,28703.875,55380.6666666666,0.0,0.0
201802중순,감자,감자 수미,상,20키로상자,27419.8822751322,59133.0,0.0,0.0
201802하순,감자,감자 수미,상,20키로상자,29378.6666666666,60486.7142857142,0.0,0.0
201803상순,감자,감자 수미,상,20키로상자,29317.5277777777,64069.7777777777,0.0,0.0
201803중순,감자,감자 수미,상,20키로상자,30453.6944444444,70821.5,0.0,0.0
201803하순,감자,감자 수미,상,20키로상자,35062.6,92194.7,0.0,0.0
201804상순,감자,감자 수미,상,20키로상자,34148.787037037,115127.75,0.0,0.0
201804중순,감자,감자 수미,상,20키로상자,32486.3703703703,109036.555555555,0.0,0.0
201804하순,감자,감자 수미,상,20키로상자,33455.949074074,98434.25,0.0,0.0
201805상순,감자,감자 수미,상,20키로상자,35158.8379629629,74557.5555555555,0.0,0.0
201805중순,감자,감자 수미,상,20키로상자,37978.3888888888,50940.125,0.0,0.0
201805하순,감자,감자 수미,상,20키로상자,28350.574074074,41498.0,0.0,0.0
201806상순,감자,감자 수미,상,20키로상자,23804.949074074,25062.25,0.0,0.0
201806중순,감자,감자 수미,상,20키로상자,20516.5509259259,23764.6666666666,0.0,0.0
201806하순,감자,감자 수미,상,20키로상자,17564.2824074074,23870.0,0.0,0.0
201807상순,감자,감자 수미,상,20키로상자,17505.1296296296,24741.5,0.0,0.0
201807중순,감자,감자 수미,상,20키로상자,17983.7453703703,24151.8888888888,0.0,0.0
201807하순,감자,감자 수미,상,20키로상자,19177.6074074074,28255.1111111111,0.0,0.0
201808상순,감자,감자 수미,상,20키로상자,19619.6084656084,37492.5,0.0,0.0
201808중순,감자,감자 수미,상,20키로상자,20299.2962962962,37474.0,0.0,0.0
201808하순,감자,감자 수미,상,20키로상자,20281.9259259259,42553.9,0.0,0.0
201809상순,감자,감자 수미,상,20키로상자,20210.3888888888,40545.0,0.0,0.0
201809중순,감자,감자 수미,상,20키로상자,20119.7071428571,40888.3333333333,0.0,0.0
201809하순,감자,감자 수미,상,20키로상자,20534.7724867724,43794.2,0.0,0.0
201810상순,감자,감자 수미,상,20키로상자,19225.574074074,39750.7777777777,0.0,0.0
201810중순,감자,감자 수미,상,20키로상자,19836.75,38609.5555555555,0.0,0.0
201810하순,감자,감자 수미,상,20키로상자,20383.8407407407,38498.5555555555,0.0,0.0
201811상순,감자,감자 수미,상,20키로상자,22684.6481481481,43583.2222222222,0.0,0.0
201811중순,감자,감자 수미,상,20키로상자,23339.4768518518,42668.375,0.0,0.0
201811하순,감자,감자 수미,상,20키로상자,24387.2129629629,40473.0,0.0,0.0
201812상순,감자,감자 수미,상,20키로상자,24987.8888888888,39453.75,0.0,0.0
201812중순,감자,감자 수미,상,20키로상자,24233.0046296296,42736.0,0.0,0.0
201812하순,감자,감자 수미,상,20키로상자,25547.3185185185,42905.4444444444,0.0,0.0
201901상순,감자,감자 수미,상,20키로상자,26176.0793650793,42425.8571428571,0.0,0.0
201901중순,감자,감자 수미,상,20키로상자,25604.1203703703,39410.625,0.0,0.0
201901하순,감자,감자 수미,상,20키로상자,28817.3185185185,40487.0,0.0,0.0
201902상순,감자,감자 수미,상,20키로상자,32006.7129629629,42759.8,0.0,0.0
201902중순,감자,감자 수미,상,20키로상자,30440.2156084656,42351.4444444444,0.0,0.0
201902하순,감자,감자 수미,상,20키로상자,32121.6904761904,41386.4285714285,0.0,0.0
201903상순,감자,감자 수미,상,20키로상자,34324.9814814814,49899.75,0.0,0.0
201903중순,감자,감자 수미,상,20키로상자,36563.9907407407,57439.0,0.0,0.0
201903하순,감자,감자 수미,상,20키로상자,40465.9333333333,64747.0,0.0,0.0
201904상순,감자,감자 수미,상,20키로상자,39218.5277777777,60224.3333333333,0.0,0.0
201904중순,감자,감자 수미,상,20키로상자,41861.6898148148,51644.0,0.0,0.0
201904하순,감자,감자 수미,상,20키로상자,41598.7407407407,41836.0,0.0,0.0
201905상순,감자,감자 수미,상,20키로상자,42902.0694444444,43263.3333333333,0.0,0.0
