시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원)
201911하순,감자,감자,20키로상자,상,20144.2222222222,20144.2222222222
201912상순,감자,감자,20키로상자,상,20515.25,20515.25
201912중순,감자,감자,20키로상자,상,19879.6666666666,19879.6666666666
201912하순,감자,감자,20키로상자,상,26081.7777777777,26081.7777777777
202001상순,감자,감자,20키로상자,상,26246.7142857142,26246.7142857142
202001중순,감자,감자,20키로상자,상,31179.5,31179.5
202001하순,감자,감자,20키로상자,상,25468.75,25468.75
202002상순,감자,감자,20키로상자,상,32905.0,32905.0
202002중순,감자,감자,20키로상자,상,31589.5555555555,31589.5555555555
202002하순,감자,감자,20키로상자,상,47016.5,47016.5
202003상순,감자,감자,20키로상자,상,38947.0,38947.0
202003중순,감자,감자,20키로상자,상,42611.1111111111,42611.1111111111
202003하순,감자,감자,20키로상자,상,44447.3333333333,44447.3333333333
202004상순,감자,감자,20키로상자,상,41685.1111111111,41685.1111111111
202004중순,감자,감자,20키로상자,상,45121.0,45121.0
202004하순,감자,감자,20키로상자,상,49517.6666666666,49517.6666666666
202005상순,감자,감자,20키로상자,상,48471.5,48471.5
202005중순,감자,감자,20키로상자,상,43045.4444444444,43045.4444444444
202005하순,감자,감자,20키로상자,상,28297.6666666666,28297.6666666666
202006상순,감자,감자,20키로상자,상,27707.1111111111,27707.1111111111
202006중순,감자,감자,20키로상자,상,25011.7777777777,25011.7777777777
202006하순,감자,감자,20키로상자,상,20372.875,20372.875
202007상순,감자,감자,20키로상자,상,19590.3333333333,19590.3333333333
202007중순,감자,감자,20키로상자,상,20345.875,20345.875
202007하순,감자,감자,20키로상자,상,22674.9,22674.9
202008상순,감자,감자,20키로상자,상,27143.7142857142,27143.7142857142
202008중순,감자,감자,20키로상자,상,29159.3333333333,29159.3333333333
202008하순,감자,감자,20키로상자,상,30142.6666666666,30142.6666666666
202009상순,감자,감자,20키로상자,상,29065.1111111111,29065.1111111111
202009중순,감자,감자,20키로상자,상,30463.625,30463.625
202009하순,감자,감자,20키로상자,상,32092.7777777777,32092.7777777777
202010상순,감자,감자,20키로상자,상,30682.3333333333,30682.3333333333
202010중순,감자,감자,20키로상자,상,27115.75,27115.75
202010하순,감자,감자,20키로상자,상,28129.3,28129.3
202011상순,감자,감자,20키로상자,상,28861.0,28861.0
202011중순,감자,감자,20키로상자,상,28696.8888888888,28696.8888888888
202011하순,감자,감자,20키로상자,상,28959.75,28959.75
202012상순,감자,감자,20키로상자,상,28406.1111111111,28406.1111111111
202012중순,감자,감자,20키로상자,상,31511.625,31511.625
202012하순,감자,감자,20키로상자,상,35646.0,35646.0
202101상순,감자,감자,20키로상자,상,44153.0,44153.0
202101중순,감자,감자,20키로상자,상,45788.0,45788.0
202101하순,감자,감자,20키로상자,상,47037.7777777777,47037.7777777777
202102상순,감자,감자,20키로상자,상,48925.3333333333,48925.3333333333
202102중순,감자,감자,20키로상자,상,39091.8571428571,39091.8571428571
202102하순,감자,감자,20키로상자,상,44883.0,44883.0
202103상순,감자,감자,20키로상자,상,41772.3333333333,41772.3333333333
202103중순,감자,감자,20키로상자,상,44448.4444444444,44448.4444444444
202103하순,감자,감자,20키로상자,상,50159.4444444444,50159.4444444444
202104상순,감자,감자,20키로상자,상,52093.2222222222,52093.2222222222
202104중순,감자,감자,20키로상자,상,49944.375,49944.375
202104하순,감자,감자,20키로상자,상,39838.7777777777,39838.7777777777
202105상순,감자,감자,20키로상자,상,35643.5,35643.5
202105중순,감자,감자,20키로상자,상,30290.6666666666,30290.6666666666
202105하순,감자,감자,20키로상자,상,26131.3333333333,26131.3333333333
202106상순,감자,감자,20키로상자,상,20657.2222222222,20657.2222222222
202106중순,감자,감자,20키로상자,상,18160.75,18160.75
202106하순,감자,감자,20키로상자,상,19111.0,19111.0
202107상순,감자,감자,20키로상자,상,20912.3333333333,20912.3333333333
202107중순,감자,감자,20키로상자,상,20165.375,20165.375
202107하순,감자,감자,20키로상자,상,23343.8,23343.8
202108상순,감자,감자,20키로상자,상,28258.0,28258.0
202108중순,감자,감자,20키로상자,상,29840.1111111111,29840.1111111111
202108하순,감자,감자,20키로상자,상,28981.4444444444,28981.4444444444
202109상순,감자,감자,20키로상자,상,29578.5555555555,29578.5555555555
202109중순,감자,감자,20키로상자,상,31326.2857142857,31326.2857142857
202109하순,감자,감자,20키로상자,상,30398.0,30398.0
202110상순,감자,감자,20키로상자,상,28618.25,28618.25
202110중순,감자,감자,20키로상자,상,29422.2222222222,29422.2222222222
202110하순,감자,감자,20키로상자,상,28180.0,28180.0
202111상순,감자,감자,20키로상자,상,30060.3333333333,30060.3333333333
202111중순,감자,감자,20키로상자,상,33762.8888888888,33762.8888888888
202111하순,감자,감자,20키로상자,상,35995.375,35995.375
202112상순,감자,감자,20키로상자,상,35320.7777777777,35320.7777777777
202112중순,감자,감자,20키로상자,상,34033.5,34033.5
202112하순,감자,감자,20키로상자,상,45591.6,45591.6
201801상순,감자,감자,20키로상자,중,32360.22683981228,32360.22683981228
201801중순,감자,감자,20키로상자,중,36027.6286788424,36027.6286788424
201801하순,감자,감자,20키로상자,중,38037.72312825362,38037.72312825362
201802상순,감자,감자,20키로상자,중,41078.17013579118,41078.17013579118
201802중순,감자,감자,20키로상자,중,43032.95115728309,43032.95115728309
201802하순,감자,감자,20키로상자,중,43129.16580995378,43129.16580995378
201803상순,감자,감자,20키로상자,중,44781.48251434674,44781.48251434674
201803중순,감자,감자,20키로상자,중,45012.22572605717,45012.22572605717
201803하순,감자,감자,20키로상자,중,56344.65384744701,56344.65384744701
201804상순,감자,감자,20키로상자,중,86815.32088352296,86815.32088352296
201804중순,감자,감자,20키로상자,중,85118.29595731542,85118.29595731542
201804하순,감자,감자,20키로상자,중,84733.84523917518,84733.84523917518
201805상순,감자,감자,20키로상자,중,71275.15887121818,71275.15887121818
201805중순,감자,감자,20키로상자,중,44306.18173025898,44306.18173025898
201805하순,감자,감자,20키로상자,중,36094.63182715611,36094.63182715611
201806상순,감자,감자,20키로상자,중,22057.293102630912,22057.293102630912
201806중순,감자,감자,20키로상자,중,20657.66182936657,20657.66182936657
201806하순,감자,감자,20키로상자,중,18850.90581133511,18850.90581133511
201807상순,감자,감자,20키로상자,중,18717.283013676584,18717.283013676584
201807중순,감자,감자,20키로상자,중,17664.578344116286,17664.578344116286
201807하순,감자,감자,20키로상자,중,20934.00502795986,20934.00502795986
201808상순,감자,감자,20키로상자,중,28037.06375821269,28037.06375821269
201808중순,감자,감자,20키로상자,중,28676.471309090768,28676.471309090768
201808하순,감자,감자,20키로상자,중,31730.03286165882,31730.03286165882
201809상순,감자,감자,20키로상자,중,29414.888776239564,29414.888776239564
201809중순,감자,감자,20키로상자,중,30121.968499179893,30121.968499179893
201809하순,감자,감자,20키로상자,중,32934.174835723774,32934.174835723774
201810상순,감자,감자,20키로상자,중,30561.67665998868,30561.67665998868
201810중순,감자,감자,20키로상자,중,29159.917947188987,29159.917947188987
201810하순,감자,감자,20키로상자,중,28269.416545887263,28269.416545887263
201811상순,감자,감자,20키로상자,중,34033.21009969166,34033.21009969166
201811중순,감자,감자,20키로상자,중,32974.1666666666,32974.1666666666
201811하순,감자,감자,20키로상자,중,31780.6666666666,31780.6666666666
201812상순,감자,감자,20키로상자,중,31236.75,31236.75
201812중순,감자,감자,20키로상자,중,32571.4444444444,32571.4444444444
201812하순,감자,감자,20키로상자,중,31334.2222222222,31334.2222222222
201901상순,감자,감자,20키로상자,중,31787.7142857142,31787.7142857142
201901중순,감자,감자,20키로상자,중,27469.25,27469.25
201901하순,감자,감자,20키로상자,중,27006.2,27006.2
201902상순,감자,감자,20키로상자,중,27961.0,27961.0
201902중순,감자,감자,20키로상자,중,25777.3333333333,25777.3333333333
201902하순,감자,감자,20키로상자,중,20028.5714285714,20028.5714285714
201903상순,감자,감자,20키로상자,중,23481.5,23481.5
201903중순,감자,감자,20키로상자,중,21614.0,21614.0
201903하순,감자,감자,20키로상자,중,24498.7777777777,24498.7777777777
201904상순,감자,감자,20키로상자,중,27431.8888888888,27431.8888888888
201904중순,감자,감자,20키로상자,중,31924.5555555555,31924.5555555555
201904하순,감자,감자,20키로상자,중,29425.25,29425.25
201905상순,감자,감자,20키로상자,중,33789.5555555555,33789.5555555555
201905중순,감자,감자,20키로상자,중,32044.5,32044.5
201905하순,감자,감자,20키로상자,중,24297.7,24297.7
201906상순,감자,감자,20키로상자,중,18214.875,18214.875
201906중순,감자,감자,20키로상자,중,15244.0,15244.0
201906하순,감자,감자,20키로상자,중,14123.25,14123.25
201907상순,감자,감자,20키로상자,중,11098.1111111111,11098.1111111111
201907중순,감자,감자,20키로상자,중,13522.8888888888,13522.8888888888
201907하순,감자,감자,20키로상자,중,12817.7777777777,12817.7777777777
201908상순,감자,감자,20키로상자,중,12405.75,12405.75
201908중순,감자,감자,20키로상자,중,14442.25,14442.25
201908하순,감자,감자,20키로상자,중,13329.5,13329.5
201909상순,감자,감자,20키로상자,중,12674.5,12674.5
201909중순,감자,감자,20키로상자,중,12991.5714285714,12991.5714285714
201909하순,감자,감자,20키로상자,중,12260.125,12260.125
201910상순,감자,감자,20키로상자,중,12451.8888888888,12451.8888888888
201910중순,감자,감자,20키로상자,중,13861.5,13861.5
201910하순,감자,감자,20키로상자,중,11833.1,11833.1
201911상순,감자,감자,20키로상자,중,12101.375,12101.375
201911중순,감자,감자,20키로상자,중,11741.6666666666,11741.6666666666
201911하순,감자,감자,20키로상자,중,13779.7777777777,13779.7777777777
201912상순,감자,감자,20키로상자,중,12814.125,12814.125
201912중순,감자,감자,20키로상자,중,12527.0,12527.0
201912하순,감자,감자,20키로상자,중,14540.2222222222,14540.2222222222
202001상순,감자,감자,20키로상자,중,15212.5714285714,15212.5714285714
202001중순,감자,감자,20키로상자,중,13232.75,13232.75
202001하순,감자,감자,20키로상자,중,13951.5,13951.5
202002상순,감자,감자,20키로상자,중,14496.875,14496.875
202002중순,감자,감자,20키로상자,중,13682.7777777777,13682.7777777777
202002하순,감자,감자,20키로상자,중,14822.5,14822.5
202003상순,감자,감자,20키로상자,중,12224.25,12224.25
202003중순,감자,감자,20키로상자,중,17243.6666666666,17243.6666666666
202003하순,감자,감자,20키로상자,중,18119.0,18119.0
202004상순,감자,감자,20키로상자,중,17836.1111111111,17836.1111111111
202004중순,감자,감자,20키로상자,중,22278.25,22278.25
202004하순,감자,감자,20키로상자,중,31407.4444444444,31407.4444444444
202005상순,감자,감자,20키로상자,중,35411.5,35411.5
202005중순,감자,감자,20키로상자,중,25739.1111111111,25739.1111111111
202005하순,감자,감자,20키로상자,중,22693.6666666666,22693.6666666666
202006상순,감자,감자,20키로상자,중,23319.2222222222,23319.2222222222
202006중순,감자,감자,20키로상자,중,20307.2222222222,20307.2222222222
202006하순,감자,감자,20키로상자,중,15038.375,15038.375
202007상순,감자,감자,20키로상자,중,14568.4444444444,14568.4444444444
202007중순,감자,감자,20키로상자,중,14660.0,14660.0
202007하순,감자,감자,20키로상자,중,16124.4,16124.4
202008상순,감자,감자,20키로상자,중,18903.8571428571,18903.8571428571
202008중순,감자,감자,20키로상자,중,21711.1111111111,21711.1111111111
202008하순,감자,감자,20키로상자,중,23296.6666666666,23296.6666666666
202009상순,감자,감자,20키로상자,중,23867.8888888888,23867.8888888888
202009중순,감자,감자,20키로상자,중,24594.0,24594.0
202009하순,감자,감자,20키로상자,중,22707.8888888888,22707.8888888888
202010상순,감자,감자,20키로상자,중,22762.3333333333,22762.3333333333
202010중순,감자,감자,20키로상자,중,18943.875,18943.875
202010하순,감자,감자,20키로상자,중,19334.4,19334.4
202011상순,감자,감자,20키로상자,중,18731.25,18731.25
202011중순,감자,감자,20키로상자,중,17707.5555555555,17707.5555555555
202011하순,감자,감자,20키로상자,중,18753.25,18753.25
202012상순,감자,감자,20키로상자,중,18984.2222222222,18984.2222222222
202012중순,감자,감자,20키로상자,중,21637.75,21637.75
202012하순,감자,감자,20키로상자,중,20068.6,20068.6
202101상순,감자,감자,20키로상자,중,23007.0,23007.0
202101중순,감자,감자,20키로상자,중,23887.1111111111,23887.1111111111
202101하순,감자,감자,20키로상자,중,24048.6666666666,24048.6666666666
202102상순,감자,감자,20키로상자,중,24656.4444444444,24656.4444444444
202102중순,감자,감자,20키로상자,중,23910.5714285714,23910.5714285714
202102하순,감자,감자,20키로상자,중,24100.0,24100.0
202103상순,감자,감자,20키로상자,중,23101.3333333333,23101.3333333333
202103중순,감자,감자,20키로상자,중,21814.8888888888,21814.8888888888
202103하순,감자,감자,20키로상자,중,23713.7777777777,23713.7777777777
202104상순,감자,감자,20키로상자,중,25891.4444444444,25891.4444444444
202104중순,감자,감자,20키로상자,중,25974.75,25974.75
202104하순,감자,감자,20키로상자,중,30389.4444444444,30389.4444444444
202105상순,감자,감자,20키로상자,중,28833.0,28833.0
202105중순,감자,감자,20키로상자,중,22486.3333333333,22486.3333333333
202105하순,감자,감자,20키로상자,중,20030.4444444444,20030.4444444444
202106상순,감자,감자,20키로상자,중,17004.6666666666,17004.6666666666
202106중순,감자,감자,20키로상자,중,14842.25,14842.25
202106하순,감자,감자,20키로상자,중,15705.8888888888,15705.8888888888
202107상순,감자,감자,20키로상자,중,16525.0,16525.0
202107중순,감자,감자,20키로상자,중,13990.0,13990.0
202107하순,감자,감자,20키로상자,중,16537.2,16537.2
202108상순,감자,감자,20키로상자,중,19575.5714285714,19575.5714285714
202108중순,감자,감자,20키로상자,중,21608.3333333333,21608.3333333333
202108하순,감자,감자,20키로상자,중,22548.4444444444,22548.4444444444
202109상순,감자,감자,20키로상자,중,23519.3333333333,23519.3333333333
202109중순,감자,감자,20키로상자,중,22209.7142857142,22209.7142857142
202109하순,감자,감자,20키로상자,중,22997.0,22997.0
202110상순,감자,감자,20키로상자,중,20278.75,20278.75
202110중순,감자,감자,20키로상자,중,22350.5555555555,22350.5555555555
202110하순,감자,감자,20키로상자,중,20428.1111111111,20428.1111111111
202111상순,감자,감자,20키로상자,중,20411.3333333333,20411.3333333333
202111중순,감자,감자,20키로상자,중,24014.0,24014.0
202111하순,감자,감자,20키로상자,중,26570.75,26570.75
202112상순,감자,감자,20키로상자,중,26118.8888888888,26118.8888888888
202112중순,감자,감자,20키로상자,중,24720.0,24720.0
202112하순,감자,감자,20키로상자,중,30396.3,30396.3
201801상순,감자,감자,20키로상자,특,61546.52183808255,61546.52183808255
201801중순,감자,감자,20키로상자,특,68020.51229362021,68020.51229362021
201801하순,감자,감자,20키로상자,특,68819.53379490136,68819.53379490136
201802상순,감자,감자,20키로상자,특,75168.14927992651,75168.14927992651
201802중순,감자,감자,20키로상자,특,77177.6838768285,77177.6838768285
201802하순,감자,감자,20키로상자,특,74759.93682171269,74759.93682171269
201803상순,감자,감자,20키로상자,특,86233.41018535053,86233.41018535053
201803중순,감자,감자,20키로상자,특,99999.25963253816,99999.25963253816
201803하순,감자,감자,20키로상자,특,127586.74782946562,127586.74782946562
201804상순,감자,감자,20키로상자,특,129929.22671365172,129929.22671365172
201804중순,감자,감자,20키로상자,특,117341.95077642876,117341.95077642876
201804하순,감자,감자,20키로상자,특,104772.01627068224,104772.01627068224
201805상순,감자,감자,20키로상자,특,77222.4720775729,77222.4720775729
201805중순,감자,감자,20키로상자,특,55172.58302437764,55172.58302437764
201805하순,감자,감자,20키로상자,특,50651.96156232448,50651.96156232448
201806상순,감자,감자,20키로상자,특,30008.948273863876,30008.948273863876
201806중순,감자,감자,20키로상자,특,28088.136303374053,28088.136303374053
201806하순,감자,감자,20키로상자,특,27542.839959310284,27542.839959310284
201807상순,감자,감자,20키로상자,특,29158.672275355795,29158.672275355795
201807중순,감자,감자,20키로상자,특,29178.952932505395,29178.952932505395
201807하순,감자,감자,20키로상자,특,33490.1531656651,33490.1531656651
201808상순,감자,감자,20키로상자,특,41229.568250620265,41229.568250620265
201808중순,감자,감자,20키로상자,특,43307.64279097401,43307.64279097401
201808하순,감자,감자,20키로상자,특,49417.58755275702,49417.58755275702
201809상순,감자,감자,20키로상자,특,48153.586148397095,48153.586148397095
201809중순,감자,감자,20키로상자,특,47648.15130299584,47648.15130299584
201809하순,감자,감자,20키로상자,특,50617.29549494827,50617.29549494827
201810상순,감자,감자,20키로상자,특,46772.20606693611,46772.20606693611
201810중순,감자,감자,20키로상자,특,45948.2151437399,45948.2151437399
201810하순,감자,감자,20키로상자,특,46094.112707664994,46094.112707664994
201811상순,감자,감자,20키로상자,특,52397.71605094192,52397.71605094192
201811중순,감자,감자,20키로상자,특,51334.5,51334.5
201811하순,감자,감자,20키로상자,특,45904.4444444444,45904.4444444444
201812상순,감자,감자,20키로상자,특,47421.75,47421.75
201812중순,감자,감자,20키로상자,특,58395.1111111111,58395.1111111111
201812하순,감자,감자,20키로상자,특,60257.0,60257.0
201901상순,감자,감자,20키로상자,특,60669.5714285714,60669.5714285714
201901중순,감자,감자,20키로상자,특,55917.25,55917.25
201901하순,감자,감자,20키로상자,특,58192.0,58192.0
201902상순,감자,감자,20키로상자,특,58231.4,58231.4
201902중순,감자,감자,20키로상자,특,55134.3333333333,55134.3333333333
201902하순,감자,감자,20키로상자,특,54269.8571428571,54269.8571428571
201903상순,감자,감자,20키로상자,특,61411.375,61411.375
201903중순,감자,감자,20키로상자,특,79902.0,79902.0
201903하순,감자,감자,20키로상자,특,80926.3333333333,80926.3333333333
201904상순,감자,감자,20키로상자,특,76098.7777777777,76098.7777777777
201904중순,감자,감자,20키로상자,특,59145.8888888888,59145.8888888888
201904하순,감자,감자,20키로상자,특,46025.125,46025.125
201905상순,감자,감자,20키로상자,특,46162.8888888888,46162.8888888888
201905중순,감자,감자,20키로상자,특,48751.75,48751.75
201905하순,감자,감자,20키로상자,특,40642.2,40642.2
201906상순,감자,감자,20키로상자,특,26642.125,26642.125
201906중순,감자,감자,20키로상자,특,23433.5555555555,23433.5555555555
201906하순,감자,감자,20키로상자,특,23565.5,23565.5
201907상순,감자,감자,20키로상자,특,20653.3333333333,20653.3333333333
201907중순,감자,감자,20키로상자,특,23528.1111111111,23528.1111111111
201907하순,감자,감자,20키로상자,특,23405.1111111111,23405.1111111111
201908상순,감자,감자,20키로상자,특,21813.25,21813.25
201908중순,감자,감자,20키로상자,특,22059.5,22059.5
201908하순,감자,감자,20키로상자,특,20100.3,20100.3
201909상순,감자,감자,20키로상자,특,21697.625,21697.625
201909중순,감자,감자,20키로상자,특,20892.0,20892.0
201909하순,감자,감자,20키로상자,특,19587.5,19587.5
201910상순,감자,감자,20키로상자,특,20482.8888888888,20482.8888888888
201910중순,감자,감자,20키로상자,특,21507.875,21507.875
201910하순,감자,감자,20키로상자,특,20668.7,20668.7
201911상순,감자,감자,20키로상자,특,24447.25,24447.25
201911중순,감자,감자,20키로상자,특,25390.3333333333,25390.3333333333
201911하순,감자,감자,20키로상자,특,27112.5555555555,27112.5555555555
201912상순,감자,감자,20키로상자,특,29155.625,29155.625
201912중순,감자,감자,20키로상자,특,29990.4444444444,29990.4444444444
201912하순,감자,감자,20키로상자,특,47958.7777777777,47958.7777777777
202001상순,감자,감자,20키로상자,특,55145.1428571428,55145.1428571428
202001중순,감자,감자,20키로상자,특,64676.625,64676.625
202001하순,감자,감자,20키로상자,특,56720.875,56720.875
202002상순,감자,감자,20키로상자,특,60075.625,60075.625
202002중순,감자,감자,20키로상자,특,55575.8888888888,55575.8888888888
202002하순,감자,감자,20키로상자,특,74422.875,74422.875
202003상순,감자,감자,20키로상자,특,70594.625,70594.625
202003중순,감자,감자,20키로상자,특,74850.3333333333,74850.3333333333
202003하순,감자,감자,20키로상자,특,74848.8888888888,74848.8888888888
202004상순,감자,감자,20키로상자,특,55557.6666666666,55557.6666666666
202004중순,감자,감자,20키로상자,특,49440.125,49440.125
202004하순,감자,감자,20키로상자,특,52719.4444444444,52719.4444444444
202005상순,감자,감자,20키로상자,특,51243.25,51243.25
202005중순,감자,감자,20키로상자,특,53738.8888888888,53738.8888888888
202005하순,감자,감자,20키로상자,특,41290.7777777777,41290.7777777777
202006상순,감자,감자,20키로상자,특,33992.3333333333,33992.3333333333
202006중순,감자,감자,20키로상자,특,30518.7777777777,30518.7777777777
202006하순,감자,감자,20키로상자,특,28235.0,28235.0
202007상순,감자,감자,20키로상자,특,25286.5555555555,25286.5555555555
202007중순,감자,감자,20키로상자,특,25573.5,25573.5
202007하순,감자,감자,20키로상자,특,27295.7,27295.7
202008상순,감자,감자,20키로상자,특,33558.4285714285,33558.4285714285
202008중순,감자,감자,20키로상자,특,34970.3333333333,34970.3333333333
202008하순,감자,감자,20키로상자,특,35483.4444444444,35483.4444444444
202009상순,감자,감자,20키로상자,특,33520.4444444444,33520.4444444444
202009중순,감자,감자,20키로상자,특,33803.125,33803.125
202009하순,감자,감자,20키로상자,특,35591.1111111111,35591.1111111111
202010상순,감자,감자,20키로상자,특,35024.8333333333,35024.8333333333
202010중순,감자,감자,20키로상자,특,32954.75,32954.75
202010하순,감자,감자,20키로상자,특,34428.0,34428.0
202011상순,감자,감자,20키로상자,특,36089.875,36089.875
202011중순,감자,감자,20키로상자,특,36100.7777777777,36100.7777777777
202011하순,감자,감자,20키로상자,특,35698.0,35698.0
202012상순,감자,감자,20키로상자,특,37964.5555555555,37964.5555555555
202012중순,감자,감자,20키로상자,특,53717.125,53717.125
202012하순,감자,감자,20키로상자,특,51888.7,51888.7
202101상순,감자,감자,20키로상자,특,62672.6666666666,62672.6666666666
202101중순,감자,감자,20키로상자,특,68572.3333333333,68572.3333333333
202101하순,감자,감자,20키로상자,특,78035.8888888888,78035.8888888888
202102상순,감자,감자,20키로상자,특,80636.4444444444,80636.4444444444
202102중순,감자,감자,20키로상자,특,69346.1428571428,69346.1428571428
202102하순,감자,감자,20키로상자,특,72378.8333333333,72378.8333333333
202103상순,감자,감자,20키로상자,특,67159.3333333333,67159.3333333333
202103중순,감자,감자,20키로상자,특,75482.3333333333,75482.3333333333
202103하순,감자,감자,20키로상자,특,63233.5555555555,63233.5555555555
202104상순,감자,감자,20키로상자,특,60608.6666666666,60608.6666666666
202104중순,감자,감자,20키로상자,특,57149.75,57149.75
202104하순,감자,감자,20키로상자,특,42405.4444444444,42405.4444444444
202105상순,감자,감자,20키로상자,특,37594.375,37594.375
202105중순,감자,감자,20키로상자,특,33089.2222222222,33089.2222222222
202105하순,감자,감자,20키로상자,특,36040.7777777777,36040.7777777777
202106상순,감자,감자,20키로상자,특,30000.2222222222,30000.2222222222
202106중순,감자,감자,20키로상자,특,24140.625,24140.625
202106하순,감자,감자,20키로상자,특,24987.0,24987.0
202107상순,감자,감자,20키로상자,특,26074.0,26074.0
202107중순,감자,감자,20키로상자,특,25397.5,25397.5
202107하순,감자,감자,20키로상자,특,29256.5,29256.5
202108상순,감자,감자,20키로상자,특,34000.4285714285,34000.4285714285
202108중순,감자,감자,20키로상자,특,34857.1111111111,34857.1111111111
202108하순,감자,감자,20키로상자,특,33752.1111111111,33752.1111111111
202109상순,감자,감자,20키로상자,특,34301.5555555555,34301.5555555555
202109중순,감자,감자,20키로상자,특,36403.2857142857,36403.2857142857
202109하순,감자,감자,20키로상자,특,35199.6666666666,35199.6666666666
202110상순,감자,감자,20키로상자,특,33951.375,33951.375
202110중순,감자,감자,20키로상자,특,34255.7777777777,34255.7777777777
