시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원)
201908상순,건고추,화건,30 kg,상품,365916.666666666,538743.0
201908중순,건고추,화건,30 kg,상품,366476.0,516733.0
201908하순,건고추,화건,30 kg,상품,418140.833333333,493366.5
201909상순,건고추,화건,30 kg,상품,469805.666666666,470000.0
201909중순,건고추,화건,30 kg,상품,500805.666666666,470000.0
201909하순,건고추,화건,30 kg,상품,503403.333333333,460000.0
201910상순,건고추,화건,30 kg,상품,493228.0,430000.0
201910중순,건고추,화건,30 kg,상품,486603.333333333,430000.0
201910하순,건고추,화건,30 kg,상품,482537.0,431111.0
201911상순,건고추,화건,30 kg,상품,477285.666666666,432000.0
201911중순,건고추,화건,30 kg,상품,473208.333333333,432000.0
201911하순,건고추,화건,30 kg,상품,473833.333333333,433714.0
201912상순,건고추,화건,30 kg,상품,476619.0,435000.0
201912중순,건고추,화건,30 kg,상품,473254.0,435000.0
201912하순,건고추,화건,30 kg,상품,467361.0,429833.0
202001상순,건고추,화건,30 kg,상품,465000.0,401429.0
202001중순,건고추,화건,30 kg,상품,464143.0,400000.0
202001하순,건고추,화건,30 kg,상품,460459.333333333,398857.0
202002상순,건고추,화건,30 kg,상품,459533.333333333,396000.0
202002중순,건고추,화건,30 kg,상품,460575.0,396000.0
202002하순,건고추,화건,30 kg,상품,460277.666666666,401250.0
202003상순,건고추,화건,30 kg,상품,454444.333333333,399750.0
202003중순,건고추,화건,30 kg,상품,458333.333333333,399125.0
202003하순,건고추,화건,30 kg,상품,455666.666666666,403857.0
202004상순,건고추,화건,30 kg,상품,454333.333333333,406000.0
202004중순,건고추,화건,30 kg,상품,451476.333333333,406000.0
202004하순,건고추,화건,30 kg,상품,448295.333333333,406000.0
202005상순,건고추,화건,30 kg,상품,447533.333333333,406000.0
202005중순,건고추,화건,30 kg,상품,446200.0,406375.0
202005하순,건고추,화건,30 kg,상품,446014.666666666,409000.0
202006상순,건고추,화건,30 kg,상품,444533.333333333,428125.0
202006중순,건고추,화건,30 kg,상품,444325.0,446714.0
202006하순,건고추,화건,30 kg,상품,442866.666666666,453457.0
202007상순,건고추,화건,30 kg,상품,442116.666666666,451600.0
202007중순,건고추,화건,30 kg,상품,439366.666666666,451933.0
202007하순,건고추,화건,30 kg,상품,435973.666666666,453933.0
202008상순,건고추,화건,30 kg,상품,430831.0,472233.0
202008중순,건고추,화건,30 kg,상품,422768.0,656571.0
202008하순,건고추,화건,30 kg,상품,411104.2762195502,703571.0
202009상순,건고추,화건,30 kg,상품,476805.666666666,905650.0
202009중순,건고추,화건,30 kg,상품,511250.0,890800.0
202009하순,건고추,화건,30 kg,상품,508689.0,815114.0
202010상순,건고추,화건,30 kg,상품,490894.666666666,806000.0
202010중순,건고추,화건,30 kg,상품,485381.0,807057.0
202010하순,건고추,화건,30 kg,상품,482537.0,819750.0
202011상순,건고추,화건,30 kg,상품,477952.333333333,830629.0
202011중순,건고추,화건,30 kg,상품,473875.0,825750.0
202011하순,건고추,화건,30 kg,상품,475071.333333333,816467.0
202012상순,건고추,화건,30 kg,상품,479000.0,810371.0
202012중순,건고추,화건,30 kg,상품,479111.0,797800.0
202012하순,건고추,화건,30 kg,상품,472305.333333333,778150.0
202101상순,건고추,화건,30 kg,상품,460476.333333333,770400.0
202101중순,건고추,화건,30 kg,상품,460333.333333333,770400.0
202101하순,건고추,화건,30 kg,상품,456745.0,770400.0
202102상순,건고추,화건,30 kg,상품,454866.666666666,770400.0
202102중순,건고추,화건,30 kg,상품,455908.333333333,770400.0
202102하순,건고추,화건,30 kg,상품,457361.0,770400.0
202103상순,건고추,화건,30 kg,상품,451027.666666666,769686.0
202103중순,건고추,화건,30 kg,상품,454708.333333333,764029.0
202103하순,건고추,화건,30 kg,상품,453619.0,764000.0
202104상순,건고추,화건,30 kg,상품,453000.0,767800.0
202104중순,건고추,화건,30 kg,상품,450143.0,767800.0
202104하순,건고추,화건,30 kg,상품,446962.0,767800.0
202105상순,건고추,화건,30 kg,상품,446200.0,767800.0
202105중순,건고추,화건,30 kg,상품,444991.666666666,767800.0
202105하순,건고추,화건,30 kg,상품,445681.333333333,767800.0
202106상순,건고추,화건,30 kg,상품,450575.0,767800.0
202106중순,건고추,화건,30 kg,상품,456563.0,771133.0
202106하순,건고추,화건,30 kg,상품,457352.333333333,772800.0
202107상순,건고추,화건,30 kg,상품,455983.333333333,772800.0
202107중순,건고추,화건,30 kg,상품,453344.333333333,772800.0
202107하순,건고추,화건,30 kg,상품,450618.0,772800.0
202108상순,건고추,화건,30 kg,상품,451575.333333333,759943.0
202108중순,건고추,화건,30 kg,상품,488244.333333333,732243.0
202108하순,건고추,화건,30 kg,상품,0.0,602000.0
202109상순,건고추,화건,30 kg,상품,594433.333333333,599813.0
202109중순,건고추,화건,30 kg,상품,596516.666666666,587000.0
202109하순,건고추,화건,30 kg,상품,597022.333333333,580750.0
202110상순,건고추,화건,30 kg,상품,579339.0,578400.0
202110중순,건고추,화건,30 kg,상품,578250.0,562714.0
202110하순,건고추,화건,30 kg,상품,582727.333333333,558000.0
202111상순,건고추,화건,30 kg,상품,563202.333333333,558000.0
202111중순,건고추,화건,30 kg,상품,552944.333333333,558000.0
202111하순,건고추,화건,30 kg,상품,554071.333333333,565143.0
202112상순,건고추,화건,30 kg,상품,559000.0,570500.0
202112중순,건고추,화건,30 kg,상품,552000.0,570500.0
202112하순,건고추,화건,30 kg,상품,540555.333333333,560778.0
201801상순,건고추,햇산양건,30 kg,상품,532328.9253012161,709146.5648025618
201801중순,건고추,햇산양건,30 kg,상품,532070.0855461844,709146.5648025618
201801하순,건고추,햇산양건,30 kg,상품,531402.9727754827,709146.5648025618
201802상순,건고추,햇산양건,30 kg,상품,531402.9727754827,709146.5648025618
201802중순,건고추,햇산양건,30 kg,상품,529496.9362877666,709146.5648025618
201802하순,건고추,햇산양건,30 kg,상품,529496.9362877666,700054.6115724287
201803상순,건고추,햇산양건,30 kg,상품,529496.9362877666,679392.1634821745
201803중순,건고추,햇산양건,30 kg,상품,528067.4089219789,689310.2972556369
201803하순,건고추,햇산양건,30 kg,상품,520856.1104743502,689310.2972556369
201804상순,건고추,햇산양건,30 kg,상품,518441.9246590079,689310.2972556369
201804중순,건고추,햇산양건,30 kg,상품,513431.7171473952,689310.2972556369
201804하순,건고추,햇산양건,30 kg,상품,507332.40038670134,689310.2972556369
201805상순,건고추,햇산양건,30 kg,상품,506624.49843516323,689310.2972556369
201805중순,건고추,햇산양건,30 kg,상품,505099.66924498894,689310.2972556369
201805하순,건고추,햇산양건,30 kg,상품,505099.66924498894,689310.2972556369
201806상순,건고추,햇산양건,30 kg,상품,505099.66924498894,695578.5578004651
201806중순,건고추,햇산양건,30 kg,상품,505099.66924498894,702997.3218630151
201806하순,건고추,햇산양건,30 kg,상품,505099.66924498894,699228.4310290994
201807상순,건고추,햇산양건,30 kg,상품,507005.7057327063,699228.4310290994
201807중순,건고추,햇산양건,30 kg,상품,507482.2148546359,698608.547668258
201807하순,건고추,햇산양건,30 kg,상품,500591.89295153914,690727.5985718648
201808상순,건고추,햇산양건,30 kg,상품,502390.42898134806,714691.7933953046
201808중순,건고추,햇산양건,30 kg,상품,494180.7486214544,735553.5959744054
201808하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0
201809상순,건고추,햇산양건,30 kg,상품,559353.4730386623,879374.470196629
201809중순,건고추,햇산양건,30 kg,상품,557706.2763059766,795037.6032807461
201809하순,건고추,햇산양건,30 kg,상품,560429.240032329,777747.3206734691
201810상순,건고추,햇산양건,30 kg,상품,556943.8617108905,748670.3278898094
201810중순,건고추,햇산양건,30 kg,상품,552369.3741403698,706766.2126969307
201810하순,건고추,햇산양건,30 kg,상품,549108.1457098859,702055.0991545361
201811상순,건고추,햇산양건,30 kg,상품,545888.8500821319,692314.4999756187
201811중순,건고추,햇산양건,30 kg,상품,544221.06815538,685938.1317726597
201811하순,건고추,햇산양건,30 kg,상품,543982.8135944145,685938.1317726597
201812상순,건고추,햇산양건,30 kg,상품,542621.5223348875,688913.5719046984
201812중순,건고추,햇산양건,30 kg,상품,539426.2427668788,690897.1986593909
201812하순,건고추,햇산양건,30 kg,상품,535167.3948387242,690897.1986593909
201901상순,건고추,햇산양건,30 kg,상품,532328.9253012161,686434.0384613328
201901중순,건고추,햇산양건,30 kg,상품,532070.0855461844,679342.5728133072
201901하순,건고추,햇산양건,30 kg,상품,531402.9727754827,666873.4950333103
201902상순,건고추,햇산양건,30 kg,상품,531402.9727754827,664118.2374710424
201902중순,건고추,햇산양건,30 kg,상품,529496.9362877666,664738.1208318839
201902하순,건고추,햇산양건,30 kg,상품,529496.9362877666,669077.3043577736
201903상순,건고추,햇산양건,30 kg,상품,529496.9362877666,669077.3043577736
201903중순,건고추,햇산양건,30 kg,상품,528067.4089219789,669077.3043577736
201903하순,건고추,햇산양건,30 kg,상품,520856.1104743502,667660.0030415459
201904상순,건고추,햇산양건,30 kg,상품,518441.9246590079,664118.2374710424
201904중순,건고추,햇산양건,30 kg,상품,513431.7171473952,664118.2374710424
201904하순,건고추,햇산양건,30 kg,상품,507332.40038670134,664118.2374710424
201905상순,건고추,햇산양건,30 kg,상품,506624.49843516323,664118.2374710424
201905중순,건고추,햇산양건,30 kg,상품,505099.66924498894,664118.2374710424
201905하순,건고추,햇산양건,30 kg,상품,505099.66924498894,663566.789233238
201906상순,건고추,햇산양건,30 kg,상품,505099.66924498894,659159.1705843112
201906중순,건고추,햇산양건,30 kg,상품,505099.66924498894,658539.2872234698
201906하순,건고추,햇산양건,30 kg,상품,505099.66924498894,654200.10369758
201907상순,건고추,햇산양건,30 kg,상품,507005.7057327063,650480.8035325316
201907중순,건고추,햇산양건,30 kg,상품,507482.2148546359,649241.0368108489
201907하순,건고추,햇산양건,30 kg,상품,500591.89295153914,648621.1534500074
201908상순,건고추,햇산양건,30 kg,상품,503479.5382304303,633655.68139923
201908중순,건고추,햇산양건,30 kg,상품,504119.20407570776,606394.6989094913
201908하순,건고추,햇산양건,30 kg,상품,530301.666666666,592500.0
201909상순,건고추,햇산양건,30 kg,상품,637728.1685843928,595088.0264077442
201909중순,건고추,햇산양건,30 kg,상품,680073.8188174043,595088.0264077442
201909하순,건고추,햇산양건,30 kg,상품,692009.4193034881,585169.8926342818
201910상순,건고추,햇산양건,30 kg,상품,677348.1866399695,565333.6250873569
201910중순,건고추,햇산양건,30 kg,상품,656667.6907482409,562027.9111006618
201910하순,건고추,햇산양건,30 kg,상품,652103.8769820512,555415.4913138945
201911상순,건고추,햇산양건,30 kg,상품,647301.0462403017,555415.4913138945
201911중순,건고추,햇산양건,30 kg,상품,643182.4825976433,555415.4913138945
201911하순,건고추,햇산양건,30 kg,상품,642944.228036679,558249.1021329727
201912상순,건고추,햇산양건,30 kg,상품,642726.558669781,560374.5582006257
201912중순,건고추,햇산양건,30 kg,상품,640293.6936968594,560374.5582006257
201912하순,건고추,햇산양건,30 kg,상품,636034.8457687047,555911.3980025676
202001상순,건고추,햇산양건,30 kg,상품,631698.6127591484,528494.7008125855
202001중순,건고추,햇산양건,30 kg,상품,629258.886054871,525661.0899935073
202001하순,건고추,햇산양건,30 kg,상품,623799.2351394546,522827.4791744291
202002상순,건고추,햇산양건,30 kg,상품,622740.241266879,515742.9562200449
202002중순,건고추,햇산양건,30 kg,상품,622978.4958278433,505824.8224465825
202002하순,건고추,햇산양건,30 kg,상품,624646.2777545963,514503.18949836213
202003상순,건고추,햇산양건,30 kg,상품,624646.2777545963,512023.6560549965
202003중순,건고추,햇산양건,30 kg,상품,624646.2777545963,505824.8224465825
202003하순,건고추,햇산양건,30 kg,상품,619272.7796884243,505824.8224465825
202004상순,건고추,햇산양건,30 kg,상품,615497.302613555,505824.8224465825
202004중순,건고추,햇산양건,30 kg,상품,610487.0951019422,505824.8224465825
202004하순,건고추,햇산양건,30 kg,상품,606293.8148289646,505824.8224465825
202005상순,건고추,햇산양건,30 kg,상품,605585.9128774266,505824.8224465825
202005중순,건고추,햇산양건,30 kg,상품,604061.0836872533,506320.7291352556
202005하순,건고추,햇산양건,30 kg,상품,603849.1324298185,506391.1478850472
202006상순,건고추,햇산양건,30 kg,상품,602155.047199536,517602.6063025691
202006중순,건고추,햇산양건,30 kg,상품,601916.7926385718,532320.12500901
202006하순,건고추,햇산양건,30 kg,상품,600249.0107118187,539007.9226124557
202007상순,건고추,햇산양건,30 kg,상품,598819.4833460309,537166.1251707237
202007중순,건고추,햇산양건,30 kg,상품,595007.4103705975,537496.39902538
202007하순,건고추,햇산양건,30 kg,상품,589064.769809194,539833.1113424078
202008상순,건고추,햇산양건,30 kg,상품,585014.4422727951,563184.3654986476
202008중순,건고추,햇산양건,30 kg,상품,573705.9277911709,651763.2182294403
202008하순,건고추,햇산양건,30 kg,상품,559039.666666666,1063400.0
202009상순,건고추,햇산양건,30 kg,상품,667462.3377927771,1061314.699763778
202009중순,건고추,햇산양건,30 kg,상품,709807.9880257886,1053140.1739076902
202009하순,건고추,햇산양건,30 kg,상품,715208.5518100865,1013066.9462093927
202010상순,건고추,햇산양건,30 kg,상품,695646.136922052,1006690.5780064338
202010중순,건고추,햇산양건,30 kg,상품,673695.0771076115,1007398.732757859
202010하순,건고추,햇산양건,30 kg,상품,667436.796903841,1014129.1783365306
202011상순,건고추,햇산양건,30 kg,상품,663692.9600346681,1021907.9706550571
202011중순,건고추,햇산양건,30 kg,상품,659574.3963920085,1023948.1307722584
202011하순,건고추,햇산양건,30 kg,상품,660425.2510801255,1023948.1307722584
202012상순,건고추,햇산양건,30 kg,상품,662385.8002113918,1023948.1307722584
202012중순,건고추,햇산양건,30 kg,상품,662512.7422414738,1020707.8764684682
202012하순,건고추,햇산양건,30 kg,상품,657191.8507823627,1011649.644893165
202101상순,건고추,햇산양건,30 kg,상품,642317.9044468148,1011649.644893165
202101중순,건고추,햇산양건,30 kg,상품,638789.0684934553,1011649.644893165
202101하순,건고추,햇산양건,30 kg,상품,632240.3083289578,1011649.644893165
202102상순,건고추,햇산양건,30 kg,상품,628458.3507300299,1011649.644893165
202102중순,건고추,햇산양건,30 kg,상품,624884.5323155606,1011649.644893165
202102하순,건고추,햇산양건,30 kg,상품,629887.8780958175,1003715.1378743951
202103상순,건고추,햇산양건,30 kg,상품,628934.8598519594,1001023.3563682773
202103중순,건고추,햇산양건,30 kg,상품,626552.3142423126,993371.5161620511
202103하순,건고추,햇산양건,30 kg,상품,621178.8161761416,992879.5767268874
202104상순,건고추,햇산양건,30 kg,상품,617403.3391012712,1003403.7084739084
202104중순,건고추,햇산양건,30 kg,상품,612393.1315896584,1004111.8632253336
202104하순,건고추,햇산양건,30 kg,상품,608199.851316682,1004111.8632253336
202105상순,건고추,햇산양건,30 kg,상품,607491.9493651439,1004111.8632253336
202105중순,건고추,햇산양건,30 kg,상품,606157.7238237417,1004111.8632253336
202105하순,건고추,햇산양건,30 kg,상품,605972.8382844328,1004111.8632253336
202106상순,건고추,햇산양건,30 kg,상품,608587.9203455807,1004111.8632253336
202106중순,건고추,햇산양건,30 kg,상품,614006.4008728624,1004111.8632253336
202106하순,건고추,햇산양건,30 kg,상품,614909.0997534449,1004111.8632253336
202107상순,건고추,햇산양건,30 kg,상품,612771.6704361191,1004111.8632253336
202107중순,건고추,햇산양건,30 kg,상품,609086.5394907675,990807.6785816111
202107하순,건고추,햇산양건,30 kg,상품,604042.0233223758,800000.0
202108상순,건고추,햇산양건,30 kg,상품,608966.8403993385,799571.0
202108중순,건고추,햇산양건,30 kg,상품,632248.6948895034,766343.0
202108하순,건고추,햇산양건,30 kg,상품,0.0,745814.8971764296
202109상순,건고추,햇산양건,30 kg,상품,814182.5460931687,741529.2715729165
202109중순,건고추,햇산양건,30 kg,상품,824017.6943697882,721445.0506816551
202109하순,건고추,햇산양건,30 kg,상품,832620.3994534494,709873.5640081565
202110상순,건고추,햇산양건,30 kg,상품,813820.3991605021,706567.8500214615
202110중순,건고추,햇산양건,30 kg,상품,796443.8269165822,702373.4712486643
202110하순,건고추,햇산양건,30 kg,상품,795358.9109477734,699228.4310290994
202111상순,건고추,햇산양건,30 kg,상품,778817.5638927707,699228.4310290994
202111중순,건고추,햇산양건,30 kg,상품,769060.1819048501,699228.4310290994
202111하순,건고추,햇산양건,30 kg,상품,769831.7454750782,699228.4310290994
202112상순,건고추,햇산양건,30 kg,상품,772935.9164989737,699228.4310290994
202112중순,건고추,햇산양건,30 kg,상품,764454.054128634,699228.4310290994
202112하순,건고추,햇산양건,30 kg,상품,752096.4571641696,699228.4310290994
201801상순,건고추,햇산화건,30 kg,중품,384090.6153944189,564496.4348064727
201801중순,건고추,햇산화건,30 kg,중품,383023.10837370233,564496.4348064727
201801하순,건고추,햇산화건,30 kg,중품,381820.12899799866,564496.4348064727
201802상순,건고추,햇산화건,30 kg,중품,381820.12899799866,564496.4348064727
201802중순,건고추,햇산화건,30 kg,중품,378035.9850039653,564496.4348064727
201802하순,건고추,햇산화건,30 kg,중품,378035.9850039653,555001.5011957004
201803상순,건고추,햇산화건,30 kg,중품,378035.9850039653,536875.4688854008
201803중순,건고추,햇산화건,30 kg,중품,376380.4220065748,548959.8356833588
201803하순,건고추,햇산화건,30 kg,중품,373116.5978117208,548959.8356833588
201804상순,건고추,햇산화건,30 kg,중품,371602.94021410774,548959.8356833588
201804중순,건고추,햇산화건,30 kg,중품,367278.0420433262,548959.8356833588
201804하순,건고추,햇산화건,30 kg,중품,361710.0525705058,548959.8356833588
201805상순,건고추,햇산화건,30 kg,중품,357547.4941770684,548959.8356833588
201805중순,건고추,햇산화건,30 kg,중품,354385.085041254,548959.8356833588
201805하순,건고추,햇산화건,30 kg,중품,354195.8778415531,548959.8356833588
201806상순,건고추,햇산화건,30 kg,중품,354574.2922409561,565863.6555293069
201806중순,건고추,햇산화건,30 kg,중품,356608.2696377496,572102.1179638745
201806하순,건고추,햇산화건,30 kg,중품,356844.7786373763,567914.4866135578
201807상순,건고추,햇산화건,30 kg,중품,358736.8506343935,567914.4866135578
201807중순,건고추,햇산화건,30 kg,중품,360818.1298311117,567267.1283167615
201807하순,건고추,햇산화건,30 kg,중품,357365.8552653548,558533.4880630217
201808상순,건고추,햇산화건,30 kg,중품,354912.21629962366,570970.0177744369
201808중순,건고추,햇산화건,30 kg,중품,346195.06219496735,574854.1675552154
201808하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0
201809상순,건고추,햇산화건,30 kg,중품,411350.07506983995,715097.8689731904
201809중순,건고추,햇산화건,30 kg,중품,404398.9809671995,611209.809503302
201809하순,건고추,햇산화건,30 kg,중품,406471.1782183319,589769.3027134048
201810상순,건고추,햇산화건,30 kg,중품,403642.1521683923,560612.2850256943
201810중순,건고추,햇산화건,30 kg,중품,400668.95023228007,540259.340174415
201810하순,건고추,햇산화건,30 kg,중품,398470.3625717473,548027.639735972
201811상순,건고추,햇산화건,30 kg,중품,396578.29057473,547657.8686768418
201811중순,건고추,햇산화건,30 kg,중품,394922.7275773407,550617.0729231577
201811하순,건고추,햇산화건,30 kg,중품,394686.2185777128,552170.7328354691
201812상순,건고추,햇산화건,30 kg,중품,393875.2765197918,555795.9392975289
201812중순,건고추,햇산화건,30 kg,중품,389298.3543590076,557867.4858472775
201812하순,건고추,햇산화건,30 kg,중품,386455.70539068955,557867.4858472775
201901상순,건고추,햇산화건,30 kg,중품,384090.6153944189,555204.5127575757
201901중순,건고추,햇산화건,30 kg,중품,383023.10837370233,550617.0729231577
201901하순,건고추,햇산화건,30 kg,중품,381820.12899799866,537543.5426476947
201902상순,건고추,햇산화건,30 kg,중품,381820.12899799866,534666.1644900941
201902중순,건고추,햇산화건,30 kg,중품,378035.9850039653,534666.1644900941
201902하순,건고추,햇산화건,30 kg,중품,378035.9850039653,534666.1644900941
201903상순,건고추,햇산화건,30 kg,중품,378035.9850039653,534666.1644900941
201903중순,건고추,햇산화건,30 kg,중품,376380.4220065748,534666.1644900941
201903하순,건고추,햇산화건,30 kg,중품,373116.5978117208,534666.1644900941
201904상순,건고추,햇산화건,30 kg,중품,371602.94021410774,534666.1644900941
201904중순,건고추,햇산화건,30 kg,중품,367278.0420433262,534666.1644900941
201904하순,건고추,햇산화건,30 kg,중품,361710.0525705058,534666.1644900941
201905상순,건고추,햇산화건,30 kg,중품,361007.33703081374,534666.1644900941
201905중순,건고추,햇산화건,30 kg,중품,358926.05783409445,534666.1644900941
201905하순,건고추,햇산화건,30 kg,중품,358736.8506343935,534090.274549264
201906상순,건고추,햇산화건,30 kg,중품,359115.26503379655,529487.2981157227
201906중순,건고추,햇산화건,30 kg,중품,361149.24243059003,528839.9398189263
201906하순,건고추,햇산화건,30 kg,중품,361385.75143021677,524308.4317413514
201907상순,건고추,햇산화건,30 kg,중품,363277.82342723396,521977.94187288434
201907중순,건고추,햇산화건,30 kg,중품,365359.10262395215,521201.1119167286
201907하순,건고추,햇산화건,30 kg,중품,363325.88205595786,519906.3953231358
201908상순,건고추,햇산화건,30 kg,중품,366210.5350226097,495603.0112014861
201908중순,건고추,햇산화건,30 kg,중품,366845.51438480814,476593.46428771876
201908하순,건고추,햇산화건,30 kg,중품,404000.0,442031.0
201909상순,건고추,햇산화건,30 kg,중품,479734.8548436203,435024.77544719004
201909중순,건고추,햇산화건,30 kg,중품,513666.1387949222,435024.77544719004
201909하순,건고추,햇산화건,30 kg,중품,508416.01741759945,424667.0426984474
201910상순,건고추,햇산화건,30 kg,중품,494934.6260244554,393593.84445221955
201910중순,건고추,햇산화건,30 kg,중품,484525.58114006696,393593.84445221955
201910하순,건고추,햇산화건,30 kg,중품,485585.51987279614,394744.58856060484
201911상순,건고추,햇산화건,30 kg,중품,485030.0075344712,395665.39100196806
201911중순,건고추,햇산화건,30 kg,중품,484455.57447617693,395665.39100196806
201911하순,건고추,햇산화건,30 kg,중품,484786.68707565527,397440.70639510255
201912상순,건고추,햇산화건,30 kg,중품,485300.19541564526,398772.71082659083
201912중순,건고추,햇산화건,30 kg,중품,481480.10205366823,398772.71082659083
201912하순,건고추,햇산화건,30 kg,중품,478637.45308535016,393420.87031531555
202001상순,건고추,햇산화건,30 kg,중품,475299.45966821344,364000.76621578704
202001중순,건고추,햇산화건,30 kg,중품,472555.9552725386,362520.6462059917
202001하순,건고추,햇산화건,30 kg,중품,466576.629347566,361336.7573528104
202002상순,건고추,햇산화건,30 kg,중품,465525.39414602343,358377.55310649466
202002중순,건고추,햇산화건,30 kg,중품,465525.39414602343,357341.7798316204
202002하순,건고추,햇산화건,30 kg,중품,465525.39414602343,362520.6462059917
202003상순,건고추,햇산화건,30 kg,중품,465525.39414602343,361040.5261961964
202003중순,건고추,햇산화건,30 kg,중품,465525.39414602343,361225.92961239885
202003하순,건고추,햇산화건,30 kg,중품,462498.0789507972,369474.8279734975
202004상순,건고추,햇산화건,30 kg,중품,460984.421353183,373914.15222960856
202004중순,건고추,햇산화건,30 kg,중품,456659.52318240266,373914.15222960856
202004하순,건고추,햇산화건,30 kg,중품,452983.6057065983,373914.15222960856
202005상순,건고추,햇산화건,30 kg,중품,452280.8901669063,373914.15222960856
202005중순,건고추,햇산화건,30 kg,중품,450199.610970187,374302.5672076864
202005하순,건고추,햇산화건,30 kg,중품,449800.00536441704,377021.47205423133
202006상순,건고추,햇산화건,30 kg,중품,448118.3317734689,396830.6359362016
202006중순,건고추,햇산화건,30 kg,중품,446746.579575632,413421.65225313755
202006하순,건고추,햇산화건,30 kg,중품,445091.0165782415,416854.20488607086
202007상순,건고추,햇산화건,30 kg,중품,444239.58417958394,414930.77391462936
202007중순,건고추,햇산화건,30 kg,중품,441117.6653845061,415275.68641516246
202007하순,건고추,햇산화건,30 kg,중품,441049.9292070137,417347.232964911
202008상순,건고추,햇산화건,30 kg,중품,434130.6219139231,436923.34786003456
202008중순,건고추,햇산화건,30 kg,중품,426361.01746537315,812440.0
202008하순,건고추,햇산화건,30 kg,중품,420677.0,856071.0
202009상순,건고추,햇산화건,30 kg,중품,485789.4852340738,869143.249278865
202009중순,건고추,햇산화건,30 kg,중품,523630.92517441144,854236.4003068747
202009하순,건고추,햇산화건,30 kg,중품,512524.4625519218,781624.5506450895
