,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),n_holiday,계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,fill_source,순_num,plot_date
309,2018,03,중순,201803중순,감자,감자 수미,20키로상자,상,30453.6944444444,70821.5,2.0,봄,16854.774822872823,20.0,0.0,original,2,2018-03-02
1367,2018,03,하순,201803하순,대파,대파(일반),1키로단,상,1716.19259259259,1121.2,1.0,봄,12181.436865349144,1.0,0.0,original,3,2018-03-03
1216,2018,03,하순,201803하순,양파,양파,1키로,상,1234.45555555555,644.0,1.0,봄,0.0,1.0,0.0,original,3,2018-03-03
914,2018,03,하순,201803하순,상추,청,100 g,상품,580.666666666666,623.0,1.0,봄,6174.58272926431,0.1,0.0,original,3,2018-03-03
1065,2018,03,하순,201803하순,배추,배추,10키로망대,상,6674.0037037037,7996.1,1.0,봄,0.0,10.0,0.0,original,3,2018-03-03
461,2018,03,하순,201803하순,배,신고,10 개,상품,32394.3333333333,27942.0,1.0,봄,21717.486179262043,5.0,0.0,original,3,2018-03-03
612,2018,03,하순,201803하순,깐마늘(국산),깐마늘(국산),20 kg,상품,136912.5,136912.5,1.0,봄,,20.0,0.0,average,3,2018-03-03
310,2018,03,하순,201803하순,감자,감자 수미,20키로상자,상,35062.6,92194.7,1.0,봄,12030.11790682469,20.0,0.0,original,3,2018-03-03
763,2018,03,하순,201803하순,무,무,20키로상자,상,19303.6,19303.6,1.0,봄,0.0,20.0,0.0,average,3,2018-03-03
8,2018,03,하순,201803하순,건고추,화건,30 kg,상품,372333.333333333,575000.0,1.0,봄,,30.0,,original,3,2018-03-03
159,2018,03,하순,201803하순,사과,후지,10 개,상품,21930.3333333333,20794.0,1.0,봄,23701.815528297917,3.0,0.0,original,3,2018-03-03
1217,2018,04,상순,201804상순,양파,양파,1키로,상,1276.02777777777,647.25,2.0,봄,0.0,1.0,0.0,original,1,2018-04-01
764,2018,04,상순,201804상순,무,무,20키로상자,상,18610.875,18610.875,2.0,봄,0.0,20.0,0.0,average,1,2018-04-01
311,2018,04,상순,201804상순,감자,감자 수미,20키로상자,상,34148.787037037,115127.75,2.0,봄,13289.398058727429,20.0,0.0,original,1,2018-04-01
462,2018,04,상순,201804상순,배,신고,10 개,상품,31896.3333333333,28129.0,2.0,봄,21739.92713422402,5.0,0.0,original,1,2018-04-01
1368,2018,04,상순,201804상순,대파,대파(일반),1키로단,상,1814.7037037037,914.125,2.0,봄,14004.805266920119,1.0,0.0,original,1,2018-04-01
1066,2018,04,상순,201804상순,배추,배추,10키로망대,상,6520.00925925926,7503.375,2.0,봄,0.0,10.0,0.0,original,1,2018-04-01
613,2018,04,상순,201804상순,깐마늘(국산),깐마늘(국산),20 kg,상품,136428.5,136428.5,2.0,봄,,20.0,0.0,average,1,2018-04-01
160,2018,04,상순,201804상순,사과,후지,10 개,상품,21921.6666666666,19019.0,2.0,봄,24301.17160864514,3.0,0.0,original,1,2018-04-01
9,2018,04,상순,201804상순,건고추,화건,30 kg,상품,371000.0,575000.0,2.0,봄,,30.0,,original,1,2018-04-01
915,2018,04,상순,201804상순,상추,청,100 g,상품,593.0,689.0,2.0,봄,6485.812079287066,0.1,0.0,original,1,2018-04-01
916,2018,04,중순,201804중순,상추,청,100 g,상품,617.0,676.0,1.0,봄,6924.414656828337,0.1,0.0,original,2,2018-04-02
161,2018,04,중순,201804중순,사과,후지,10 개,상품,22252.6666666666,19208.0,1.0,봄,25021.06440208276,3.0,0.0,original,2,2018-04-02
765,2018,04,중순,201804중순,무,무,20키로상자,상,20006.8888888888,20006.8888888888,1.0,봄,0.0,20.0,0.0,average,2,2018-04-02
1067,2018,04,중순,201804중순,배추,배추,10키로망대,상,6365.14814814814,7082.22222222222,1.0,봄,0.0,10.0,0.0,original,2,2018-04-02
1218,2018,04,중순,201804중순,양파,양파,1키로,상,1062.51388888888,759.777777777777,1.0,봄,0.0,1.0,0.0,original,2,2018-04-02
10,2018,04,중순,201804중순,건고추,화건,30 kg,상품,368143.0,575000.0,1.0,봄,,30.0,,original,2,2018-04-02
1369,2018,04,중순,201804중순,대파,대파(일반),1키로단,상,1640.25462962962,787.444444444444,1.0,봄,9867.716885942322,1.0,0.0,original,2,2018-04-02
312,2018,04,중순,201804중순,감자,감자 수미,20키로상자,상,32486.3703703703,109036.555555555,1.0,봄,15624.69792865888,20.0,0.0,original,2,2018-04-02
614,2018,04,중순,201804중순,깐마늘(국산),깐마늘(국산),20 kg,상품,142000.0,142000.0,1.0,봄,,20.0,0.0,average,2,2018-04-02
463,2018,04,중순,201804중순,배,신고,10 개,상품,32196.6666666666,28140.0,1.0,봄,23414.845265130483,5.0,0.0,original,2,2018-04-02
766,2018,04,하순,201804하순,무,무,20키로상자,상,23676.5,23676.5,2.0,봄,0.0,20.0,0.0,average,3,2018-04-03
162,2018,04,하순,201804하순,사과,후지,10 개,상품,22566.0,19154.0,2.0,봄,26056.694150791038,3.0,0.0,original,3,2018-04-03
313,2018,04,하순,201804하순,감자,감자 수미,20키로상자,상,33455.949074074,98434.25,2.0,봄,15317.510708803911,20.0,0.0,original,3,2018-04-03
1370,2018,04,하순,201804하순,대파,대파(일반),1키로단,상,1653.62962962962,1001.75,2.0,봄,12751.014803556387,1.0,0.0,original,3,2018-04-03
464,2018,04,하순,201804하순,배,신고,10 개,상품,32624.6666666666,27779.0,2.0,봄,23977.725649361673,5.0,0.0,original,3,2018-04-03
615,2018,04,하순,201804하순,깐마늘(국산),깐마늘(국산),20 kg,상품,142000.0,142000.0,2.0,봄,,20.0,0.0,average,3,2018-04-03
11,2018,04,하순,201804하순,건고추,화건,30 kg,상품,363762.0,575000.0,2.0,봄,,30.0,,original,3,2018-04-03
917,2018,04,하순,201804하순,상추,청,100 g,상품,607.333333333333,711.0,2.0,봄,6667.799744848955,0.1,0.0,original,3,2018-04-03
1068,2018,04,하순,201804하순,배추,배추,10키로망대,상,6845.54629629629,6637.25,2.0,봄,0.0,10.0,0.0,original,3,2018-04-03
1219,2018,04,하순,201804하순,양파,양파,1키로,상,812.444444444444,954.375,2.0,봄,0.0,1.0,0.0,original,3,2018-04-03
12,2018,05,상순,201805상순,건고추,화건,30 kg,상품,361619.0,575000.0,3.0,봄,,30.0,,original,1,2018-05-01
616,2018,05,상순,201805상순,깐마늘(국산),깐마늘(국산),20 kg,상품,142000.0,142000.0,3.0,봄,,20.0,0.0,average,1,2018-05-01
465,2018,05,상순,201805상순,배,신고,10 개,상품,32975.3333333333,28143.0,3.0,봄,23710.22312002178,5.0,0.0,original,1,2018-05-01
1069,2018,05,상순,201805상순,배추,배추,10키로망대,상,5822.19444444444,5589.44444444444,3.0,봄,0.0,10.0,0.0,original,1,2018-05-01
314,2018,05,상순,201805상순,감자,감자 수미,20키로상자,상,35158.8379629629,74557.5555555555,3.0,봄,16247.322327790896,20.0,0.0,original,1,2018-05-01
918,2018,05,상순,201805상순,상추,청,100 g,상품,611.333333333333,707.0,3.0,봄,6688.383408477404,0.1,0.0,original,1,2018-05-01
767,2018,05,상순,201805상순,무,무,20키로상자,상,25173.6666666666,25173.6666666666,3.0,봄,0.0,20.0,0.0,average,1,2018-05-01
1220,2018,05,상순,201805상순,양파,양파,1키로,상,796.217592592592,835.888888888888,3.0,봄,0.0,1.0,0.0,original,1,2018-05-01
1371,2018,05,상순,201805상순,대파,대파(일반),1키로단,상,1710.49537037037,1254.0,3.0,봄,16671.474568872218,1.0,0.0,original,1,2018-05-01
163,2018,05,상순,201805상순,사과,후지,10 개,상품,22600.6666666666,19074.0,3.0,봄,26764.311687419267,3.0,0.0,original,1,2018-05-01
466,2018,05,중순,201805중순,배,신고,10 개,상품,33336.6666666666,28288.0,2.0,봄,23611.484267463384,5.0,0.0,original,2,2018-05-02
315,2018,05,중순,201805중순,감자,감자 수미,20키로상자,상,37978.3888888888,50940.125,2.0,봄,18670.088041433846,20.0,0.0,original,2,2018-05-02
164,2018,05,중순,201805중순,사과,후지,10 개,상품,22759.3333333333,18943.0,2.0,봄,28045.15477906996,3.0,0.0,original,2,2018-05-02
13,2018,05,중순,201805중순,건고추,화건,30 kg,상품,359333.333333333,575000.0,2.0,봄,,30.0,,original,2,2018-05-02
919,2018,05,중순,201805중순,상추,청,100 g,상품,640.0,672.0,2.0,봄,5197.824143390829,0.1,0.0,original,2,2018-05-02
1372,2018,05,중순,201805중순,대파,대파(일반),1키로단,상,1521.39351851851,883.625,2.0,봄,11840.05100264812,1.0,0.0,original,2,2018-05-02
1070,2018,05,중순,201805중순,배추,배추,10키로망대,상,6993.99074074074,4656.75,2.0,봄,0.0,10.0,0.0,original,2,2018-05-02
1221,2018,05,중순,201805중순,양파,양파,1키로,상,769.962962962962,592.5,2.0,봄,0.0,1.0,0.0,original,2,2018-05-02
617,2018,05,중순,201805중순,깐마늘(국산),깐마늘(국산),20 kg,상품,139083.0,139083.0,2.0,봄,,20.0,0.0,average,2,2018-05-02
768,2018,05,중순,201805중순,무,무,20키로상자,상,22677.75,22677.75,2.0,봄,0.0,20.0,0.0,average,2,2018-05-02
1222,2018,05,하순,201805하순,양파,양파,1키로,상,738.074074074074,553.4,2.0,봄,0.0,1.0,0.0,original,3,2018-05-03
1373,2018,05,하순,201805하순,대파,대파(일반),1키로단,상,1511.76296296296,1385.3,2.0,봄,12753.588026087875,1.0,0.0,original,3,2018-05-03
920,2018,05,하순,201805하순,상추,청,100 g,상품,610.333333333333,698.0,2.0,봄,5046.259127316339,0.1,0.0,original,3,2018-05-03
316,2018,05,하순,201805하순,감자,감자 수미,20키로상자,상,28350.574074074,41498.0,2.0,봄,13592.748676354428,20.0,0.0,original,3,2018-05-03
467,2018,05,하순,201805하순,배,신고,10 개,상품,33922.0,28179.0,2.0,봄,26009.524484072583,5.0,0.0,original,3,2018-05-03
618,2018,05,하순,201805하순,깐마늘(국산),깐마늘(국산),20 kg,상품,138500.0,138500.0,2.0,봄,,20.0,0.0,average,3,2018-05-03
165,2018,05,하순,201805하순,사과,후지,10 개,상품,23036.0,18681.0,2.0,봄,29674.197306550457,3.0,0.0,original,3,2018-05-03
769,2018,05,하순,201805하순,무,무,20키로상자,상,13201.0,13201.0,2.0,봄,0.0,20.0,0.0,average,3,2018-05-03
14,2018,05,하순,201805하순,건고추,화건,30 kg,상품,359333.333333333,575000.0,2.0,봄,,30.0,,original,3,2018-05-03
1071,2018,05,하순,201805하순,배추,배추,10키로망대,상,5554.24074074074,3770.7,2.0,봄,0.0,10.0,0.0,original,3,2018-05-03
770,2018,06,상순,201806상순,무,무,20키로상자,상,13106.125,13106.125,3.0,여름,0.0,20.0,0.0,average,1,2018-06-01
1072,2018,06,상순,201806상순,배추,배추,10키로망대,상,4441.91203703703,3345.125,3.0,여름,0.0,10.0,0.0,original,1,2018-06-01
468,2018,06,상순,201806상순,배,신고,10 개,상품,34593.3333333333,27790.0,3.0,여름,27166.924614239375,5.0,0.0,original,1,2018-06-01
166,2018,06,상순,201806상순,사과,후지,10 개,상품,23094.0,19018.0,3.0,여름,30206.481844917023,3.0,0.0,original,1,2018-06-01
15,2018,06,상순,201806상순,건고추,화건,30 kg,상품,359666.666666666,591320.0,3.0,여름,,30.0,,original,1,2018-06-01
1223,2018,06,상순,201806상순,양파,양파,1키로,상,828.569444444444,679.25,3.0,여름,0.0,1.0,0.0,original,1,2018-06-01
317,2018,06,상순,201806상순,감자,감자 수미,20키로상자,상,23804.949074074,25062.25,3.0,여름,10853.975898833574,20.0,0.0,original,1,2018-06-01
1374,2018,06,상순,201806상순,대파,대파(일반),1키로단,상,1322.68055555555,1237.0,3.0,여름,12740.88239449302,1.0,0.0,original,1,2018-06-01
619,2018,06,상순,201806상순,깐마늘(국산),깐마늘(국산),20 kg,상품,138500.0,138500.0,3.0,여름,,20.0,0.0,average,1,2018-06-01
921,2018,06,상순,201806상순,상추,청,100 g,상품,607.666666666666,741.0,3.0,여름,5553.158019231315,0.1,0.0,original,1,2018-06-01
167,2018,06,중순,201806중순,사과,후지,10 개,상품,23656.0,19762.0,2.0,여름,29032.688832701755,3.0,0.0,original,2,2018-06-02
620,2018,06,중순,201806중순,깐마늘(국산),깐마늘(국산),20 kg,상품,137928.5,137928.5,2.0,여름,,20.0,0.0,average,2,2018-06-02
1224,2018,06,중순,201806중순,양파,양파,1키로,상,911.421296296296,741.888888888888,2.0,여름,0.0,1.0,0.0,original,2,2018-06-02
1375,2018,06,중순,201806중순,대파,대파(일반),1키로단,상,1218.27314814814,1148.88888888888,2.0,여름,11827.931412945245,1.0,0.0,original,2,2018-06-02
469,2018,06,중순,201806중순,배,신고,10 개,상품,35066.3333333333,27844.0,2.0,여름,27688.796336836065,5.0,0.0,original,2,2018-06-02
771,2018,06,중순,201806중순,무,무,20키로상자,상,10809.1111111111,10809.1111111111,2.0,여름,0.0,20.0,0.0,average,2,2018-06-02
1073,2018,06,중순,201806중순,배추,배추,10키로망대,상,4604.60185185185,4073.44444444444,2.0,여름,0.0,10.0,0.0,original,2,2018-06-02
16,2018,06,중순,201806중순,건고추,화건,30 kg,상품,362458.333333333,599514.0,2.0,여름,,30.0,,original,2,2018-06-02
318,2018,06,중순,201806중순,감자,감자 수미,20키로상자,상,20516.5509259259,23764.6666666666,2.0,여름,25993.323329336105,20.0,0.0,original,2,2018-06-02
922,2018,06,중순,201806중순,상추,청,100 g,상품,622.333333333333,699.0,2.0,여름,5798.68818540665,0.1,0.0,original,2,2018-06-02
772,2018,06,하순,201806하순,무,무,20키로상자,상,11432.2222222222,11432.2222222222,1.0,여름,0.0,20.0,0.0,average,3,2018-06-03
1225,2018,06,하순,201806하순,양파,양파,1키로,상,863.939814814814,658.777777777777,1.0,여름,0.0,1.0,0.0,original,3,2018-06-03
1376,2018,06,하순,201806하순,대파,대파(일반),1키로단,상,1023.70833333333,1288.88888888888,1.0,여름,3245.297362195509,1.0,0.0,original,3,2018-06-03
168,2018,06,하순,201806하순,사과,후지,10 개,상품,24442.6666666666,19393.0,1.0,여름,26989.07261544391,3.0,0.0,original,3,2018-06-03
621,2018,06,하순,201806하순,깐마늘(국산),깐마늘(국산),20 kg,상품,137100.0,137100.0,1.0,여름,,20.0,0.0,average,3,2018-06-03
319,2018,06,하순,201806하순,감자,감자 수미,20키로상자,상,17564.2824074074,23870.0,1.0,여름,18553.982381604008,20.0,0.0,original,3,2018-06-03
470,2018,06,하순,201806하순,배,신고,10 개,상품,35475.6666666666,28322.0,1.0,여름,26266.06644084589,5.0,0.0,original,3,2018-06-03
1074,2018,06,하순,201806하순,배추,배추,10키로망대,상,4714.04629629629,4684.0,1.0,여름,0.0,10.0,0.0,original,3,2018-06-03
17,2018,06,하순,201806하순,건고추,화건,30 kg,상품,362666.666666666,600000.0,1.0,여름,,30.0,,original,3,2018-06-03
923,2018,06,하순,201806하순,상추,청,100 g,상품,631.333333333333,664.0,1.0,여름,6330.685225369841,0.1,0.0,original,3,2018-06-03
320,2018,07,상순,201807상순,감자,감자 수미,20키로상자,상,17505.1296296296,24741.5,2.0,여름,7640.7202168627955,20.0,0.0,original,1,2018-07-01
1226,2018,07,상순,201807상순,양파,양파,1키로,상,904.180555555555,697.375,2.0,여름,0.0,1.0,0.0,original,1,2018-07-01
622,2018,07,상순,201807상순,깐마늘(국산),깐마늘(국산),20 kg,상품,123914.5,123914.5,2.0,여름,,20.0,0.0,average,1,2018-07-01
773,2018,07,상순,201807상순,무,무,20키로상자,상,11280.125,11280.125,2.0,여름,0.0,20.0,0.0,average,1,2018-07-01
169,2018,07,상순,201807상순,사과,후지,10 개,상품,24864.6666666666,19508.0,2.0,여름,27396.808701608923,3.0,0.0,original,1,2018-07-01
18,2018,07,상순,201807상순,건고추,화건,30 kg,상품,364333.333333333,600000.0,2.0,여름,,30.0,,original,1,2018-07-01
