시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),year
202106중순,건고추,화건,30 kg,상품,456563.0,771133.0,2021
202106하순,건고추,화건,30 kg,상품,457352.333333333,772800.0,2021
202107상순,건고추,화건,30 kg,상품,455983.333333333,772800.0,2021
202107중순,건고추,화건,30 kg,상품,453344.333333333,772800.0,2021
202107하순,건고추,화건,30 kg,상품,450618.0,772800.0,2021
202108상순,건고추,화건,30 kg,상품,451575.333333333,759943.0,2021
202108중순,건고추,화건,30 kg,상품,488244.333333333,732243.0,2021
202108하순,건고추,화건,30 kg,상품,485588.833333333,602000.0,2021
202109상순,건고추,화건,30 kg,상품,594433.333333333,599813.0,2021
202109중순,건고추,화건,30 kg,상품,596516.666666666,587000.0,2021
202109하순,건고추,화건,30 kg,상품,597022.333333333,580750.0,2021
202110상순,건고추,화건,30 kg,상품,579339.0,578400.0,2021
202110중순,건고추,화건,30 kg,상품,578250.0,562714.0,2021
202110하순,건고추,화건,30 kg,상품,582727.333333333,558000.0,2021
202111상순,건고추,화건,30 kg,상품,563202.333333333,558000.0,2021
202111중순,건고추,화건,30 kg,상품,552944.333333333,558000.0,2021
202111하순,건고추,화건,30 kg,상품,554071.333333333,565143.0,2021
202112상순,건고추,화건,30 kg,상품,559000.0,570500.0,2021
202112중순,건고추,화건,30 kg,상품,552000.0,570500.0,2021
202112하순,건고추,화건,30 kg,상품,540555.333333333,560778.0,2021
201801상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201801중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201801하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201802상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201802중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201802하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201803상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201803중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201803하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201804상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201804중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201804하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201805상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201805중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201805하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201806상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201806중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201806하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201807상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201807중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201807하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201808상순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201808중순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201808하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0,2018
201809상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201809중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201809하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201810상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201810중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201810하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201811상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201811중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201811하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201812상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201812중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201812하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2018
201901상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201901중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201901하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201902상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201902중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201902하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201903상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201903중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201903하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201904상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201904중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201904하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201905상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201905중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201905하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201906상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201906중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201906하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201907상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201907중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201907하순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201908상순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201908중순,건고추,햇산양건,30 kg,상품,482336.49999999953,708439.0,2019
201908하순,건고추,햇산양건,30 kg,상품,530301.666666666,592500.0,2019
201909상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201909중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201909하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201910상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201910중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201910하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201911상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201911중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201911하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201912상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201912중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
201912하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2019
202001상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202001중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202001하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202002상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202002중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202002하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202003상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202003중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202003하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202004상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202004중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202004하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202005상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202005중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202005하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202006상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202006중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202006하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202007상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202007중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202007하순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202008상순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202008중순,건고추,햇산양건,30 kg,상품,518212.833333333,792950.0,2020
202008하순,건고추,햇산양건,30 kg,상품,559039.666666666,1063400.0,2020
202009상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202009중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202009하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202010상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202010중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202010하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202011상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202011중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202011하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202012상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202012중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202012하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2020
202101상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202101중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202101하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202102상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202102중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202102하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202103상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202103중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202103하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202104상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202104중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202104하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202105상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202105중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202105하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202106상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202106중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202106하순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202107상순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202107중순,건고추,햇산양건,30 kg,상품,500648.0,892375.0,2021
202107하순,건고추,햇산양건,30 kg,상품,500648.0,800000.0,2021
202108상순,건고추,햇산양건,30 kg,상품,500648.0,799571.0,2021
202108중순,건고추,햇산양건,30 kg,상품,500648.0,766343.0,2021
202108하순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202109상순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202109중순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202109하순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202110상순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202110중순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202110하순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202111상순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202111중순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202111하순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202112상순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202112중순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
202112하순,건고추,햇산양건,30 kg,상품,500648.0,697655.0,2021
201801상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201801중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201801하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201802상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201802중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201802하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201803상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201803중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201803하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201804상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201804중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201804하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201805상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201805중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201805하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201806상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201806중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201806하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201807상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201807중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201807하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201808상순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201808중순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201808하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0,2018
201809상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201809중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201809하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201810상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201810중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201810하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201811상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201811중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201811하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201812상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201812중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201812하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2018
201901상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201901중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201901하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201902상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201902중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201902하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201903상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201903중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201903하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201904상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201904중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201904하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201905상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201905중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201905하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201906상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201906중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201906하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201907상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201907중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201907하순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201908상순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201908중순,건고추,햇산화건,30 kg,중품,403804.833333333,632654.5,2019
201908하순,건고추,햇산화건,30 kg,중품,404000.0,442031.0,2019
201909상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201909중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201909하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201910상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201910중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201910하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201911상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201911중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201911하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201912상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201912중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
201912하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2019
202001상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202001중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202001하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202002상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202002중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202002하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202003상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202003중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202003하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202004상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202004중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202004하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202005상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202005중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202005하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202006상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202006중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202006하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202007상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202007중순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202007하순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202008상순,건고추,햇산화건,30 kg,중품,435169.333333333,676116.0,2020
202008중순,건고추,햇산화건,30 kg,중품,435169.333333333,812440.0,2020
202008하순,건고추,햇산화건,30 kg,중품,420677.0,856071.0,2020
