,YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
121,202205중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,174250.0,0.0,0.0,0.0,0.0
122,202205하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,174571.5,0.0,0.0,0.0,0.0
123,202206상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,175216.5,0.0,0.0,0.0,0.0
124,202206중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,175183.5,0.0,0.0,0.0,0.0
125,202206하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,175281.25,0.0,0.0,0.0,0.0
126,202207상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,177080.5,0.0,0.0,0.0,0.0
127,202207중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,176304.25,0.0,0.0,0.0,0.0
128,202207하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,177614.5,0.0,0.0,0.0,0.0
129,202208상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,176790.0,0.0,0.0,0.0,0.0
130,202208중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,175950.0,0.0,0.0,0.0,0.0
131,202208하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,173225.0,0.0,0.0,0.0,0.0
132,202209상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,169366.5,0.0,0.0,0.0,0.0
133,202209중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,169366.5,0.0,0.0,0.0,0.0
134,202209하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,169162.5,0.0,0.0,0.0,0.0
135,202210상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,168000.0,0.0,0.0,0.0,0.0
136,202210중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167512.5,0.0,0.0,0.0,0.0
137,202210하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167400.0,0.0,0.0,0.0,0.0
138,202211상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167400.0,0.0,0.0,0.0,0.0
139,202211중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167400.0,0.0,0.0,0.0,0.0
140,202211하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167400.0,0.0,0.0,0.0,0.0
141,202212상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167400.0,0.0,0.0,0.0,0.0
142,202212중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167400.0,0.0,0.0,0.0,0.0
143,202212하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167137.5,0.0,0.0,0.0,0.0
144,201901상순,214.0,상추,2.0,청,상품,g,100.0,760.0,0.0,721.0,940.0,974.333333333333
145,201901중순,214.0,상추,2.0,청,상품,g,100.0,772.0,0.0,711.0,981.0,904.666666666666
146,201901하순,214.0,상추,2.0,청,상품,g,100.0,761.0,0.0,730.0,983.0,853.666666666666
147,201902상순,214.0,상추,2.0,청,상품,g,100.0,767.0,0.0,760.0,1009.0,871.0
148,201902중순,214.0,상추,2.0,청,상품,g,100.0,736.0,0.0,772.0,1022.0,857.666666666666
149,201902하순,214.0,상추,2.0,청,상품,g,100.0,709.0,0.0,761.0,918.0,752.0
150,201903상순,214.0,상추,2.0,청,상품,g,100.0,710.0,0.0,767.0,670.0,638.666666666666
151,201903중순,214.0,상추,2.0,청,상품,g,100.0,716.0,0.0,736.0,627.0,614.333333333333
152,201903하순,214.0,상추,2.0,청,상품,g,100.0,715.0,0.0,709.0,623.0,595.333333333333
153,201904상순,214.0,상추,2.0,청,상품,g,100.0,723.0,0.0,710.0,689.0,612.666666666666
154,201904중순,214.0,상추,2.0,청,상품,g,100.0,739.0,0.0,716.0,676.0,617.0
155,201904하순,214.0,상추,2.0,청,상품,g,100.0,715.0,0.0,715.0,711.0,614.0
156,201905상순,214.0,상추,2.0,청,상품,g,100.0,767.0,0.0,723.0,707.0,629.333333333333
157,201905중순,214.0,상추,2.0,청,상품,g,100.0,861.0,0.0,739.0,672.0,661.333333333333
158,201905하순,214.0,상추,2.0,청,상품,g,100.0,803.0,0.0,715.0,698.0,638.333333333333
159,201906상순,214.0,상추,2.0,청,상품,g,100.0,766.0,0.0,767.0,741.0,628.666666666666
160,201906중순,214.0,상추,2.0,청,상품,g,100.0,708.0,0.0,861.0,699.0,644.0
161,201906하순,214.0,상추,2.0,청,상품,g,100.0,726.0,0.0,803.0,664.0,643.333333333333
162,201907상순,214.0,상추,2.0,청,상품,g,100.0,800.0,0.0,766.0,700.0,684.333333333333
163,201907중순,214.0,상추,2.0,청,상품,g,100.0,929.0,0.0,708.0,1046.0,985.666666666666
164,201907하순,214.0,상추,2.0,청,상품,g,100.0,950.0,0.0,726.0,977.0,997.0
165,201908상순,214.0,상추,2.0,청,상품,g,100.0,1549.0,0.0,800.0,969.0,1035.66666666666
166,201908중순,214.0,상추,2.0,청,상품,g,100.0,1675.0,0.0,929.0,1223.0,1156.66666666666
167,201908하순,214.0,상추,2.0,청,상품,g,100.0,1339.0,0.0,950.0,1556.0,1296.0
168,201909상순,214.0,상추,2.0,청,상품,g,100.0,1225.0,0.0,1549.0,1908.0,1417.0
169,201909중순,214.0,상추,2.0,청,상품,g,100.0,1339.0,0.0,1675.0,2071.0,1305.0
170,201909하순,214.0,상추,2.0,청,상품,g,100.0,1518.0,0.0,1339.0,1634.0,1004.66666666666
171,201910상순,214.0,상추,2.0,청,상품,g,100.0,1469.0,0.0,1225.0,1410.0,902.666666666666
172,201910중순,214.0,상추,2.0,청,상품,g,100.0,1689.0,0.0,1339.0,1037.0,837.666666666666
173,201910하순,214.0,상추,2.0,청,상품,g,100.0,1530.0,0.0,1518.0,935.0,797.0
174,201911상순,214.0,상추,2.0,청,상품,g,100.0,1219.0,0.0,1469.0,831.0,746.0
175,201911중순,214.0,상추,2.0,청,상품,g,100.0,1047.0,0.0,1689.0,759.0,765.0
176,201911하순,214.0,상추,2.0,청,상품,g,100.0,965.0,0.0,1530.0,744.0,768.666666666666
177,201912상순,214.0,상추,2.0,청,상품,g,100.0,974.0,0.0,1219.0,721.0,713.0
178,201912중순,214.0,상추,2.0,청,상품,g,100.0,947.0,0.0,1047.0,711.0,751.333333333333
179,201912하순,214.0,상추,2.0,청,상품,g,100.0,970.0,0.0,965.0,730.0,909.333333333333
180,202001상순,214.0,상추,2.0,청,상품,g,100.0,1127.0,0.0,974.0,760.0,983.0
181,202001중순,214.0,상추,2.0,청,상품,g,100.0,1316.0,0.0,947.0,772.0,935.666666666666
182,202001하순,214.0,상추,2.0,청,상품,g,100.0,1377.0,0.0,970.0,761.0,888.0
183,202002상순,214.0,상추,2.0,청,상품,g,100.0,1143.0,0.0,1127.0,767.0,911.333333333333
184,202002중순,214.0,상추,2.0,청,상품,g,100.0,932.0,0.0,1316.0,736.0,876.666666666666
185,202002하순,214.0,상추,2.0,청,상품,g,100.0,851.0,0.0,1377.0,709.0,764.0
186,202003상순,214.0,상추,2.0,청,상품,g,100.0,811.0,0.0,1143.0,710.0,679.666666666666
187,202003중순,214.0,상추,2.0,청,상품,g,100.0,796.0,0.0,932.0,716.0,653.0
188,202003하순,214.0,상추,2.0,청,상품,g,100.0,786.0,0.0,851.0,715.0,638.0
189,202004상순,214.0,상추,2.0,청,상품,g,100.0,713.0,0.0,811.0,723.0,644.333333333333
190,202004중순,214.0,상추,2.0,청,상품,g,100.0,695.0,0.0,796.0,739.0,639.0
191,202004하순,214.0,상추,2.0,청,상품,g,100.0,693.0,0.0,786.0,715.0,648.666666666666
192,202005상순,214.0,상추,2.0,청,상품,g,100.0,689.0,0.0,713.0,767.0,663.666666666666
193,202005중순,214.0,상추,2.0,청,상품,g,100.0,691.0,0.0,695.0,861.0,665.666666666666
194,202005하순,214.0,상추,2.0,청,상품,g,100.0,726.0,0.0,693.0,803.0,644.333333333333
195,202006상순,214.0,상추,2.0,청,상품,g,100.0,754.0,0.0,689.0,766.0,650.333333333333
196,202006중순,214.0,상추,2.0,청,상품,g,100.0,799.0,0.0,691.0,708.0,646.666666666666
197,202006하순,214.0,상추,2.0,청,상품,g,100.0,1078.0,0.0,726.0,726.0,643.333333333333
198,202007상순,214.0,상추,2.0,청,상품,g,100.0,1209.0,0.0,754.0,800.0,716.666666666666
199,202007중순,214.0,상추,2.0,청,상품,g,100.0,1348.0,0.0,799.0,929.0,1051.66666666666
200,202007하순,214.0,상추,2.0,청,상품,g,100.0,1360.0,0.0,1078.0,950.0,1036.33333333333
201,202008상순,214.0,상추,2.0,청,상품,g,100.0,1632.0,0.0,1209.0,1549.0,1229.0
202,202008중순,214.0,상추,2.0,청,상품,g,100.0,2203.0,0.0,1348.0,1675.0,1342.0
203,202008하순,214.0,상추,2.0,청,상품,g,100.0,2164.0,0.0,1360.0,1339.0,1319.66666666666
204,202009상순,214.0,상추,2.0,청,상품,g,100.0,1533.0,0.0,1632.0,1225.0,1359.66666666666
205,202009중순,214.0,상추,2.0,청,상품,g,100.0,1584.0,0.0,2203.0,1339.0,1318.33333333333
206,202009하순,214.0,상추,2.0,청,상품,g,100.0,1530.0,0.0,2164.0,1518.0,1197.33333333333
207,202010상순,214.0,상추,2.0,청,상품,g,100.0,1264.0,0.0,1533.0,1469.0,1106.66666666666
208,202010중순,214.0,상추,2.0,청,상품,g,100.0,965.0,0.0,1584.0,1689.0,1091.33333333333
209,202010하순,214.0,상추,2.0,청,상품,g,100.0,834.0,0.0,1530.0,1530.0,978.0
210,202011상순,214.0,상추,2.0,청,상품,g,100.0,760.0,0.0,1264.0,1219.0,850.0
211,202011중순,214.0,상추,2.0,청,상품,g,100.0,723.0,0.0,965.0,1047.0,864.0
212,202011하순,214.0,상추,2.0,청,상품,g,100.0,690.0,0.0,834.0,965.0,807.333333333333
213,202012상순,214.0,상추,2.0,청,상품,g,100.0,705.0,0.0,760.0,974.0,806.666666666666
214,202012중순,214.0,상추,2.0,청,상품,g,100.0,835.0,0.0,723.0,947.0,780.0
215,202012하순,214.0,상추,2.0,청,상품,g,100.0,920.0,0.0,690.0,970.0,832.0
216,202101상순,214.0,상추,2.0,청,상품,g,100.0,1094.0,0.0,705.0,1127.0,942.333333333333
217,202101중순,214.0,상추,2.0,청,상품,g,100.0,1221.0,0.0,835.0,1316.0,935.666666666666
218,202101하순,214.0,상추,2.0,청,상품,g,100.0,1214.0,0.0,920.0,1377.0,888.0
219,202102상순,214.0,상추,2.0,청,상품,g,100.0,1191.0,0.0,1094.0,1143.0,911.333333333333
220,202102중순,214.0,상추,2.0,청,상품,g,100.0,1139.0,0.0,1221.0,932.0,864.333333333333
221,202102하순,214.0,상추,2.0,청,상품,g,100.0,1048.0,0.0,1214.0,851.0,767.333333333333
222,202103상순,214.0,상추,2.0,청,상품,g,100.0,885.0,0.0,1191.0,811.0,679.666666666666
223,202103중순,214.0,상추,2.0,청,상품,g,100.0,887.0,0.0,1139.0,796.0,685.333333333333
224,202103하순,214.0,상추,2.0,청,상품,g,100.0,896.0,0.0,1048.0,786.0,682.0
225,202104상순,214.0,상추,2.0,청,상품,g,100.0,869.0,0.0,885.0,713.0,691.666666666666
226,202104중순,214.0,상추,2.0,청,상품,g,100.0,880.0,0.0,887.0,695.0,668.333333333333
227,202104하순,214.0,상추,2.0,청,상품,g,100.0,888.0,0.0,896.0,693.0,664.0
228,202105상순,214.0,상추,2.0,청,상품,g,100.0,861.0,0.0,869.0,689.0,671.333333333333
229,202105중순,214.0,상추,2.0,청,상품,g,100.0,865.0,0.0,880.0,691.0,682.0
230,202105하순,214.0,상추,2.0,청,상품,g,100.0,892.0,0.0,888.0,726.0,687.666666666666
231,202106상순,214.0,상추,2.0,청,상품,g,100.0,1010.0,0.0,861.0,754.0,701.0
232,202106중순,214.0,상추,2.0,청,상품,g,100.0,1026.0,0.0,865.0,799.0,677.0
233,202106하순,214.0,상추,2.0,청,상품,g,100.0,1056.0,0.0,892.0,1078.0,682.333333333333
234,202107상순,214.0,상추,2.0,청,상품,g,100.0,1092.0,0.0,1010.0,1209.0,763.333333333333
235,202107중순,214.0,상추,2.0,청,상품,g,100.0,1214.0,0.0,1026.0,1348.0,1191.33333333333
236,202107하순,214.0,상추,2.0,청,상품,g,100.0,1573.0,0.0,1056.0,1360.0,1173.0
237,202108상순,214.0,상추,2.0,청,상품,g,100.0,1607.0,0.0,1092.0,1632.0,1398.33333333333
238,202108중순,214.0,상추,2.0,청,상품,g,100.0,1714.0,0.0,1214.0,2203.0,1522.0
