시점,품목명,품종명,등급,거래단위,평년 평균가격(원),평균가격(원),거래금액(도매),거래금액(산지)
201810상순,건고추,화건,상품,30 kg,398889.0,628017.0,0.0,0.0
201810중순,건고추,화건,상품,30 kg,396270.0,616000.0,0.0,0.0
201810하순,건고추,화건,상품,30 kg,394333.333333333,608500.0,0.0,0.0
201811상순,건고추,화건,상품,30 kg,392666.666666666,593857.0,0.0,0.0
201811중순,건고추,화건,상품,30 kg,391208.333333333,586000.0,0.0,0.0
201811하순,건고추,화건,상품,30 kg,391000.0,588500.0,0.0,0.0
201812상순,건고추,화건,상품,30 kg,390285.666666666,599000.0,0.0,0.0
201812중순,건고추,화건,상품,30 kg,386254.0,601000.0,0.0,0.0
201812하순,건고추,화건,상품,30 kg,383750.0,601000.0,0.0,0.0
201901상순,건고추,화건,상품,30 kg,381666.666666666,598357.0,0.0,0.0
201901중순,건고추,화건,상품,30 kg,380809.666666666,593950.0,0.0,0.0
201901하순,건고추,화건,상품,30 kg,380000.0,581378.0,0.0,0.0
201902상순,건고추,화건,상품,30 kg,380000.0,578600.0,0.0,0.0
201902중순,건고추,화건,상품,30 kg,376666.666666666,581725.0,0.0,0.0
201902하순,건고추,화건,상품,30 kg,376666.666666666,588600.0,0.0,0.0
201903상순,건고추,화건,상품,30 kg,376666.666666666,588600.0,0.0,0.0
201903중순,건고추,화건,상품,30 kg,375208.333333333,588600.0,0.0,0.0
201903하순,건고추,화건,상품,30 kg,372333.333333333,585743.0,0.0,0.0
201904상순,건고추,화건,상품,30 kg,371000.0,578600.0,0.0,0.0
201904중순,건고추,화건,상품,30 kg,368143.0,577171.0,0.0,0.0
201904하순,건고추,화건,상품,30 kg,363762.0,573600.0,0.0,0.0
201905상순,건고추,화건,상품,30 kg,363000.0,573600.0,0.0,0.0
201905중순,건고추,화건,상품,30 kg,361666.666666666,573600.0,0.0,0.0
201905하순,건고추,화건,상품,30 kg,361666.666666666,573044.0,0.0,0.0
201906상순,건고추,화건,상품,30 kg,362000.0,568600.0,0.0,0.0
201906중순,건고추,화건,상품,30 kg,364791.666666666,567975.0,0.0,0.0
201906하순,건고추,화건,상품,30 kg,365000.0,563600.0,0.0,0.0
201907상순,건고추,화건,상품,30 kg,366666.666666666,561350.0,0.0,0.0
201907중순,건고추,화건,상품,30 kg,368500.0,560600.0,0.0,0.0
201907하순,건고추,화건,상품,30 kg,363375.666666666,559350.0,0.0,0.0
201908상순,건고추,화건,상품,30 kg,365916.666666666,538743.0,0.0,0.0
201908중순,건고추,화건,상품,30 kg,366476.0,516733.0,0.0,0.0
201908하순,건고추,화건,상품,30 kg,418140.833333333,493366.5,0.0,0.0
201909상순,건고추,화건,상품,30 kg,469805.666666666,470000.0,0.0,0.0
201909중순,건고추,화건,상품,30 kg,500805.666666666,470000.0,0.0,0.0
201909하순,건고추,화건,상품,30 kg,503403.333333333,460000.0,0.0,0.0
201910상순,건고추,화건,상품,30 kg,493228.0,430000.0,0.0,0.0
201910중순,건고추,화건,상품,30 kg,486603.333333333,430000.0,0.0,0.0
201910하순,건고추,화건,상품,30 kg,482537.0,431111.0,0.0,0.0
201911상순,건고추,화건,상품,30 kg,477285.666666666,432000.0,0.0,0.0
201911중순,건고추,화건,상품,30 kg,473208.333333333,432000.0,0.0,0.0
201911하순,건고추,화건,상품,30 kg,473833.333333333,433714.0,0.0,0.0
201912상순,건고추,화건,상품,30 kg,476619.0,435000.0,0.0,0.0
201912중순,건고추,화건,상품,30 kg,473254.0,435000.0,0.0,0.0
201912하순,건고추,화건,상품,30 kg,467361.0,429833.0,0.0,0.0
202001상순,건고추,화건,상품,30 kg,465000.0,401429.0,0.0,0.0
202001중순,건고추,화건,상품,30 kg,464143.0,400000.0,0.0,0.0
202001하순,건고추,화건,상품,30 kg,460459.333333333,398857.0,0.0,0.0
202002상순,건고추,화건,상품,30 kg,459533.333333333,396000.0,0.0,0.0
202002중순,건고추,화건,상품,30 kg,460575.0,396000.0,0.0,0.0
202002하순,건고추,화건,상품,30 kg,460277.666666666,401250.0,0.0,0.0
202003상순,건고추,화건,상품,30 kg,454444.333333333,399750.0,0.0,0.0
202003중순,건고추,화건,상품,30 kg,458333.333333333,399125.0,0.0,0.0
202003하순,건고추,화건,상품,30 kg,455666.666666666,403857.0,0.0,0.0
202004상순,건고추,화건,상품,30 kg,454333.333333333,406000.0,0.0,0.0
202004중순,건고추,화건,상품,30 kg,451476.333333333,406000.0,0.0,0.0
202004하순,건고추,화건,상품,30 kg,448295.333333333,406000.0,0.0,0.0
202005상순,건고추,화건,상품,30 kg,447533.333333333,406000.0,0.0,0.0
202005중순,건고추,화건,상품,30 kg,446200.0,406375.0,0.0,0.0
202005하순,건고추,화건,상품,30 kg,446014.666666666,409000.0,0.0,0.0
202006상순,건고추,화건,상품,30 kg,444533.333333333,428125.0,0.0,0.0
202006중순,건고추,화건,상품,30 kg,444325.0,446714.0,0.0,0.0
202006하순,건고추,화건,상품,30 kg,442866.666666666,453457.0,0.0,0.0
202007상순,건고추,화건,상품,30 kg,442116.666666666,451600.0,0.0,0.0
202007중순,건고추,화건,상품,30 kg,439366.666666666,451933.0,0.0,0.0
202007하순,건고추,화건,상품,30 kg,435973.666666666,453933.0,0.0,0.0
202008상순,건고추,화건,상품,30 kg,430831.0,472233.0,0.0,0.0
202008중순,건고추,화건,상품,30 kg,422768.0,656571.0,0.0,0.0
202008하순,건고추,화건,상품,30 kg,411104.2762195502,703571.0,0.0,0.0
202009상순,건고추,화건,상품,30 kg,476805.666666666,905650.0,0.0,0.0
202009중순,건고추,화건,상품,30 kg,511250.0,890800.0,0.0,0.0
202009하순,건고추,화건,상품,30 kg,508689.0,815114.0,0.0,0.0
202010상순,건고추,화건,상품,30 kg,490894.666666666,806000.0,0.0,0.0
202010중순,건고추,화건,상품,30 kg,485381.0,807057.0,0.0,0.0
202010하순,건고추,화건,상품,30 kg,482537.0,819750.0,0.0,0.0
202011상순,건고추,화건,상품,30 kg,477952.333333333,830629.0,0.0,0.0
202011중순,건고추,화건,상품,30 kg,473875.0,825750.0,0.0,0.0
202011하순,건고추,화건,상품,30 kg,475071.333333333,816467.0,0.0,0.0
202012상순,건고추,화건,상품,30 kg,479000.0,810371.0,0.0,0.0
202012중순,건고추,화건,상품,30 kg,479111.0,797800.0,0.0,0.0
202012하순,건고추,화건,상품,30 kg,472305.333333333,778150.0,0.0,0.0
202101상순,건고추,화건,상품,30 kg,460476.333333333,770400.0,0.0,0.0
202101중순,건고추,화건,상품,30 kg,460333.333333333,770400.0,0.0,0.0
202101하순,건고추,화건,상품,30 kg,456745.0,770400.0,0.0,0.0
202102상순,건고추,화건,상품,30 kg,454866.666666666,770400.0,0.0,0.0
202102중순,건고추,화건,상품,30 kg,455908.333333333,770400.0,0.0,0.0
202102하순,건고추,화건,상품,30 kg,457361.0,770400.0,0.0,0.0
202103상순,건고추,화건,상품,30 kg,451027.666666666,769686.0,0.0,0.0
202103중순,건고추,화건,상품,30 kg,454708.333333333,764029.0,0.0,0.0
202103하순,건고추,화건,상품,30 kg,453619.0,764000.0,0.0,0.0
202104상순,건고추,화건,상품,30 kg,453000.0,767800.0,0.0,0.0
202104중순,건고추,화건,상품,30 kg,450143.0,767800.0,0.0,0.0
202104하순,건고추,화건,상품,30 kg,446962.0,767800.0,0.0,0.0
202105상순,건고추,화건,상품,30 kg,446200.0,767800.0,0.0,0.0
202105중순,건고추,화건,상품,30 kg,444991.666666666,767800.0,0.0,0.0
202105하순,건고추,화건,상품,30 kg,445681.333333333,767800.0,0.0,0.0
202106상순,건고추,화건,상품,30 kg,450575.0,767800.0,0.0,0.0
202106중순,건고추,화건,상품,30 kg,456563.0,771133.0,0.0,0.0
202106하순,건고추,화건,상품,30 kg,457352.333333333,772800.0,0.0,0.0
202107상순,건고추,화건,상품,30 kg,455983.333333333,772800.0,0.0,0.0
202107중순,건고추,화건,상품,30 kg,453344.333333333,772800.0,0.0,0.0
202107하순,건고추,화건,상품,30 kg,450618.0,772800.0,0.0,0.0
202108상순,건고추,화건,상품,30 kg,451575.333333333,759943.0,0.0,0.0
202108중순,건고추,화건,상품,30 kg,488244.333333333,732243.0,0.0,0.0
202108하순,건고추,화건,상품,30 kg,0.0,602000.0,0.0,0.0
202109상순,건고추,화건,상품,30 kg,594433.333333333,599813.0,0.0,0.0
202109중순,건고추,화건,상품,30 kg,596516.666666666,587000.0,0.0,0.0
202109하순,건고추,화건,상품,30 kg,597022.333333333,580750.0,0.0,0.0
202110상순,건고추,화건,상품,30 kg,579339.0,578400.0,0.0,0.0
202110중순,건고추,화건,상품,30 kg,578250.0,562714.0,0.0,0.0
202110하순,건고추,화건,상품,30 kg,582727.333333333,558000.0,0.0,0.0
202111상순,건고추,화건,상품,30 kg,563202.333333333,558000.0,0.0,0.0
202111중순,건고추,화건,상품,30 kg,552944.333333333,558000.0,0.0,0.0
202111하순,건고추,화건,상품,30 kg,554071.333333333,565143.0,0.0,0.0
202112상순,건고추,화건,상품,30 kg,559000.0,570500.0,0.0,0.0
202112중순,건고추,화건,상품,30 kg,552000.0,570500.0,0.0,0.0
202112하순,건고추,화건,상품,30 kg,540555.333333333,560778.0,0.0,0.0
201801상순,건고추,햇산양건,상품,30 kg,532328.9253012161,709146.5648025618,0.0,0.0
201801중순,건고추,햇산양건,상품,30 kg,532070.0855461844,709146.5648025618,0.0,0.0
201801하순,건고추,햇산양건,상품,30 kg,531402.9727754827,709146.5648025618,0.0,0.0
201802상순,건고추,햇산양건,상품,30 kg,531402.9727754827,709146.5648025618,0.0,0.0
201802중순,건고추,햇산양건,상품,30 kg,529496.9362877666,709146.5648025618,0.0,0.0
201802하순,건고추,햇산양건,상품,30 kg,529496.9362877666,700054.6115724287,0.0,0.0
201803상순,건고추,햇산양건,상품,30 kg,529496.9362877666,679392.1634821745,0.0,0.0
201803중순,건고추,햇산양건,상품,30 kg,528067.4089219789,689310.2972556369,0.0,0.0
201803하순,건고추,햇산양건,상품,30 kg,520856.1104743502,689310.2972556369,0.0,0.0
201804상순,건고추,햇산양건,상품,30 kg,518441.9246590079,689310.2972556369,0.0,0.0
201804중순,건고추,햇산양건,상품,30 kg,513431.7171473952,689310.2972556369,0.0,0.0
201804하순,건고추,햇산양건,상품,30 kg,507332.40038670134,689310.2972556369,0.0,0.0
201805상순,건고추,햇산양건,상품,30 kg,506624.49843516323,689310.2972556369,0.0,0.0
201805중순,건고추,햇산양건,상품,30 kg,505099.66924498894,689310.2972556369,0.0,0.0
201805하순,건고추,햇산양건,상품,30 kg,505099.66924498894,689310.2972556369,0.0,0.0
201806상순,건고추,햇산양건,상품,30 kg,505099.66924498894,695578.5578004651,0.0,0.0
201806중순,건고추,햇산양건,상품,30 kg,505099.66924498894,702997.3218630151,0.0,0.0
201806하순,건고추,햇산양건,상품,30 kg,505099.66924498894,699228.4310290994,0.0,0.0
201807상순,건고추,햇산양건,상품,30 kg,507005.7057327063,699228.4310290994,0.0,0.0
201807중순,건고추,햇산양건,상품,30 kg,507482.2148546359,698608.547668258,0.0,0.0
201807하순,건고추,햇산양건,상품,30 kg,500591.89295153914,690727.5985718648,0.0,0.0
201808상순,건고추,햇산양건,상품,30 kg,502390.42898134806,714691.7933953046,0.0,0.0
201808중순,건고추,햇산양건,상품,30 kg,494180.7486214544,735553.5959744054,0.0,0.0
201808하순,건고추,햇산양건,상품,30 kg,484324.0,915700.0,0.0,0.0
201809상순,건고추,햇산양건,상품,30 kg,559353.4730386623,879374.470196629,0.0,0.0
201809중순,건고추,햇산양건,상품,30 kg,557706.2763059766,795037.6032807461,0.0,0.0
201809하순,건고추,햇산양건,상품,30 kg,560429.240032329,777747.3206734691,0.0,0.0
201810상순,건고추,햇산양건,상품,30 kg,556943.8617108905,748670.3278898094,0.0,0.0
201810중순,건고추,햇산양건,상품,30 kg,552369.3741403698,706766.2126969307,0.0,0.0
201810하순,건고추,햇산양건,상품,30 kg,549108.1457098859,702055.0991545361,0.0,0.0
201811상순,건고추,햇산양건,상품,30 kg,545888.8500821319,692314.4999756187,0.0,0.0
201811중순,건고추,햇산양건,상품,30 kg,544221.06815538,685938.1317726597,0.0,0.0
201811하순,건고추,햇산양건,상품,30 kg,543982.8135944145,685938.1317726597,0.0,0.0
201812상순,건고추,햇산양건,상품,30 kg,542621.5223348875,688913.5719046984,0.0,0.0
201812중순,건고추,햇산양건,상품,30 kg,539426.2427668788,690897.1986593909,0.0,0.0
201812하순,건고추,햇산양건,상품,30 kg,535167.3948387242,690897.1986593909,0.0,0.0
201901상순,건고추,햇산양건,상품,30 kg,532328.9253012161,686434.0384613328,0.0,0.0
201901중순,건고추,햇산양건,상품,30 kg,532070.0855461844,679342.5728133072,0.0,0.0
201901하순,건고추,햇산양건,상품,30 kg,531402.9727754827,666873.4950333103,0.0,0.0
201902상순,건고추,햇산양건,상품,30 kg,531402.9727754827,664118.2374710424,0.0,0.0
201902중순,건고추,햇산양건,상품,30 kg,529496.9362877666,664738.1208318839,0.0,0.0
201902하순,건고추,햇산양건,상품,30 kg,529496.9362877666,669077.3043577736,0.0,0.0
201903상순,건고추,햇산양건,상품,30 kg,529496.9362877666,669077.3043577736,0.0,0.0
201903중순,건고추,햇산양건,상품,30 kg,528067.4089219789,669077.3043577736,0.0,0.0
201903하순,건고추,햇산양건,상품,30 kg,520856.1104743502,667660.0030415459,0.0,0.0
201904상순,건고추,햇산양건,상품,30 kg,518441.9246590079,664118.2374710424,0.0,0.0
201904중순,건고추,햇산양건,상품,30 kg,513431.7171473952,664118.2374710424,0.0,0.0
201904하순,건고추,햇산양건,상품,30 kg,507332.40038670134,664118.2374710424,0.0,0.0
201905상순,건고추,햇산양건,상품,30 kg,506624.49843516323,664118.2374710424,0.0,0.0
201905중순,건고추,햇산양건,상품,30 kg,505099.66924498894,664118.2374710424,0.0,0.0
201905하순,건고추,햇산양건,상품,30 kg,505099.66924498894,663566.789233238,0.0,0.0
201906상순,건고추,햇산양건,상품,30 kg,505099.66924498894,659159.1705843112,0.0,0.0
201906중순,건고추,햇산양건,상품,30 kg,505099.66924498894,658539.2872234698,0.0,0.0
201906하순,건고추,햇산양건,상품,30 kg,505099.66924498894,654200.10369758,0.0,0.0
201907상순,건고추,햇산양건,상품,30 kg,507005.7057327063,650480.8035325316,0.0,0.0
201907중순,건고추,햇산양건,상품,30 kg,507482.2148546359,649241.0368108489,0.0,0.0
201907하순,건고추,햇산양건,상품,30 kg,500591.89295153914,648621.1534500074,0.0,0.0
201908상순,건고추,햇산양건,상품,30 kg,503479.5382304303,633655.68139923,0.0,0.0
201908중순,건고추,햇산양건,상품,30 kg,504119.20407570776,606394.6989094913,0.0,0.0
201908하순,건고추,햇산양건,상품,30 kg,530301.666666666,592500.0,0.0,0.0
201909상순,건고추,햇산양건,상품,30 kg,637728.1685843928,595088.0264077442,0.0,0.0
201909중순,건고추,햇산양건,상품,30 kg,680073.8188174043,595088.0264077442,0.0,0.0
201909하순,건고추,햇산양건,상품,30 kg,692009.4193034881,585169.8926342818,0.0,0.0
201910상순,건고추,햇산양건,상품,30 kg,677348.1866399695,565333.6250873569,0.0,0.0
201910중순,건고추,햇산양건,상품,30 kg,656667.6907482409,562027.9111006618,0.0,0.0
201910하순,건고추,햇산양건,상품,30 kg,652103.8769820512,555415.4913138945,0.0,0.0
201911상순,건고추,햇산양건,상품,30 kg,647301.0462403017,555415.4913138945,0.0,0.0
201911중순,건고추,햇산양건,상품,30 kg,643182.4825976433,555415.4913138945,0.0,0.0
201911하순,건고추,햇산양건,상품,30 kg,642944.228036679,558249.1021329727,0.0,0.0
201912상순,건고추,햇산양건,상품,30 kg,642726.558669781,560374.5582006257,0.0,0.0
201912중순,건고추,햇산양건,상품,30 kg,640293.6936968594,560374.5582006257,0.0,0.0
201912하순,건고추,햇산양건,상품,30 kg,636034.8457687047,555911.3980025676,0.0,0.0
202001상순,건고추,햇산양건,상품,30 kg,631698.6127591484,528494.7008125855,0.0,0.0
202001중순,건고추,햇산양건,상품,30 kg,629258.886054871,525661.0899935073,0.0,0.0
202001하순,건고추,햇산양건,상품,30 kg,623799.2351394546,522827.4791744291,0.0,0.0
202002상순,건고추,햇산양건,상품,30 kg,622740.241266879,515742.9562200449,0.0,0.0
202002중순,건고추,햇산양건,상품,30 kg,622978.4958278433,505824.8224465825,0.0,0.0
202002하순,건고추,햇산양건,상품,30 kg,624646.2777545963,514503.18949836213,0.0,0.0
202003상순,건고추,햇산양건,상품,30 kg,624646.2777545963,512023.6560549965,0.0,0.0
202003중순,건고추,햇산양건,상품,30 kg,624646.2777545963,505824.8224465825,0.0,0.0
202003하순,건고추,햇산양건,상품,30 kg,619272.7796884243,505824.8224465825,0.0,0.0
202004상순,건고추,햇산양건,상품,30 kg,615497.302613555,505824.8224465825,0.0,0.0
202004중순,건고추,햇산양건,상품,30 kg,610487.0951019422,505824.8224465825,0.0,0.0
202004하순,건고추,햇산양건,상품,30 kg,606293.8148289646,505824.8224465825,0.0,0.0
202005상순,건고추,햇산양건,상품,30 kg,605585.9128774266,505824.8224465825,0.0,0.0
202005중순,건고추,햇산양건,상품,30 kg,604061.0836872533,506320.7291352556,0.0,0.0
202005하순,건고추,햇산양건,상품,30 kg,603849.1324298185,506391.1478850472,0.0,0.0
202006상순,건고추,햇산양건,상품,30 kg,602155.047199536,517602.6063025691,0.0,0.0
202006중순,건고추,햇산양건,상품,30 kg,601916.7926385718,532320.12500901,0.0,0.0
202006하순,건고추,햇산양건,상품,30 kg,600249.0107118187,539007.9226124557,0.0,0.0
202007상순,건고추,햇산양건,상품,30 kg,598819.4833460309,537166.1251707237,0.0,0.0
202007중순,건고추,햇산양건,상품,30 kg,595007.4103705975,537496.39902538,0.0,0.0
202007하순,건고추,햇산양건,상품,30 kg,589064.769809194,539833.1113424078,0.0,0.0
202008상순,건고추,햇산양건,상품,30 kg,585014.4422727951,563184.3654986476,0.0,0.0
202008중순,건고추,햇산양건,상품,30 kg,573705.9277911709,651763.2182294403,0.0,0.0
202008하순,건고추,햇산양건,상품,30 kg,559039.666666666,1063400.0,0.0,0.0
202009상순,건고추,햇산양건,상품,30 kg,667462.3377927771,1061314.699763778,0.0,0.0
202009중순,건고추,햇산양건,상품,30 kg,709807.9880257886,1053140.1739076902,0.0,0.0
202009하순,건고추,햇산양건,상품,30 kg,715208.5518100865,1013066.9462093927,0.0,0.0
202010상순,건고추,햇산양건,상품,30 kg,695646.136922052,1006690.5780064338,0.0,0.0
202010중순,건고추,햇산양건,상품,30 kg,673695.0771076115,1007398.732757859,0.0,0.0
202010하순,건고추,햇산양건,상품,30 kg,667436.796903841,1014129.1783365306,0.0,0.0
202011상순,건고추,햇산양건,상품,30 kg,663692.9600346681,1021907.9706550571,0.0,0.0
202011중순,건고추,햇산양건,상품,30 kg,659574.3963920085,1023948.1307722584,0.0,0.0
202011하순,건고추,햇산양건,상품,30 kg,660425.2510801255,1023948.1307722584,0.0,0.0
202012상순,건고추,햇산양건,상품,30 kg,662385.8002113918,1023948.1307722584,0.0,0.0
202012중순,건고추,햇산양건,상품,30 kg,662512.7422414738,1020707.8764684682,0.0,0.0
202012하순,건고추,햇산양건,상품,30 kg,657191.8507823627,1011649.644893165,0.0,0.0
202101상순,건고추,햇산양건,상품,30 kg,642317.9044468148,1011649.644893165,0.0,0.0
202101중순,건고추,햇산양건,상품,30 kg,638789.0684934553,1011649.644893165,0.0,0.0
202101하순,건고추,햇산양건,상품,30 kg,632240.3083289578,1011649.644893165,0.0,0.0
202102상순,건고추,햇산양건,상품,30 kg,628458.3507300299,1011649.644893165,0.0,0.0
202102중순,건고추,햇산양건,상품,30 kg,624884.5323155606,1011649.644893165,0.0,0.0
202102하순,건고추,햇산양건,상품,30 kg,629887.8780958175,1003715.1378743951,0.0,0.0
202103상순,건고추,햇산양건,상품,30 kg,628934.8598519594,1001023.3563682773,0.0,0.0
202103중순,건고추,햇산양건,상품,30 kg,626552.3142423126,993371.5161620511,0.0,0.0
202103하순,건고추,햇산양건,상품,30 kg,621178.8161761416,992879.5767268874,0.0,0.0
202104상순,건고추,햇산양건,상품,30 kg,617403.3391012712,1003403.7084739084,0.0,0.0
202104중순,건고추,햇산양건,상품,30 kg,612393.1315896584,1004111.8632253336,0.0,0.0
202104하순,건고추,햇산양건,상품,30 kg,608199.851316682,1004111.8632253336,0.0,0.0
202105상순,건고추,햇산양건,상품,30 kg,607491.9493651439,1004111.8632253336,0.0,0.0
202105중순,건고추,햇산양건,상품,30 kg,606157.7238237417,1004111.8632253336,0.0,0.0
202105하순,건고추,햇산양건,상품,30 kg,605972.8382844328,1004111.8632253336,0.0,0.0
202106상순,건고추,햇산양건,상품,30 kg,608587.9203455807,1004111.8632253336,0.0,0.0
202106중순,건고추,햇산양건,상품,30 kg,614006.4008728624,1004111.8632253336,0.0,0.0
202106하순,건고추,햇산양건,상품,30 kg,614909.0997534449,1004111.8632253336,0.0,0.0
202107상순,건고추,햇산양건,상품,30 kg,612771.6704361191,1004111.8632253336,0.0,0.0
202107중순,건고추,햇산양건,상품,30 kg,609086.5394907675,990807.6785816111,0.0,0.0
202107하순,건고추,햇산양건,상품,30 kg,604042.0233223758,800000.0,0.0,0.0
202108상순,건고추,햇산양건,상품,30 kg,608966.8403993385,799571.0,0.0,0.0
202108중순,건고추,햇산양건,상품,30 kg,632248.6948895034,766343.0,0.0,0.0
202108하순,건고추,햇산양건,상품,30 kg,0.0,745814.8971764296,0.0,0.0
202109상순,건고추,햇산양건,상품,30 kg,814182.5460931687,741529.2715729165,0.0,0.0
202109중순,건고추,햇산양건,상품,30 kg,824017.6943697882,721445.0506816551,0.0,0.0
202109하순,건고추,햇산양건,상품,30 kg,832620.3994534494,709873.5640081565,0.0,0.0
202110상순,건고추,햇산양건,상품,30 kg,813820.3991605021,706567.8500214615,0.0,0.0
202110중순,건고추,햇산양건,상품,30 kg,796443.8269165822,702373.4712486643,0.0,0.0
202110하순,건고추,햇산양건,상품,30 kg,795358.9109477734,699228.4310290994,0.0,0.0
202111상순,건고추,햇산양건,상품,30 kg,778817.5638927707,699228.4310290994,0.0,0.0
202111중순,건고추,햇산양건,상품,30 kg,769060.1819048501,699228.4310290994,0.0,0.0
202111하순,건고추,햇산양건,상품,30 kg,769831.7454750782,699228.4310290994,0.0,0.0
202112상순,건고추,햇산양건,상품,30 kg,772935.9164989737,699228.4310290994,0.0,0.0
202112중순,건고추,햇산양건,상품,30 kg,764454.054128634,699228.4310290994,0.0,0.0
202112하순,건고추,햇산양건,상품,30 kg,752096.4571641696,699228.4310290994,0.0,0.0
201801상순,건고추,햇산화건,중품,30 kg,384090.6153944189,564496.4348064727,0.0,0.0
201801중순,건고추,햇산화건,중품,30 kg,383023.10837370233,564496.4348064727,0.0,0.0
201801하순,건고추,햇산화건,중품,30 kg,381820.12899799866,564496.4348064727,0.0,0.0
201802상순,건고추,햇산화건,중품,30 kg,381820.12899799866,564496.4348064727,0.0,0.0
201802중순,건고추,햇산화건,중품,30 kg,378035.9850039653,564496.4348064727,0.0,0.0
201802하순,건고추,햇산화건,중품,30 kg,378035.9850039653,555001.5011957004,0.0,0.0
201803상순,건고추,햇산화건,중품,30 kg,378035.9850039653,536875.4688854008,0.0,0.0
201803중순,건고추,햇산화건,중품,30 kg,376380.4220065748,548959.8356833588,0.0,0.0
201803하순,건고추,햇산화건,중품,30 kg,373116.5978117208,548959.8356833588,0.0,0.0
201804상순,건고추,햇산화건,중품,30 kg,371602.94021410774,548959.8356833588,0.0,0.0
201804중순,건고추,햇산화건,중품,30 kg,367278.0420433262,548959.8356833588,0.0,0.0
201804하순,건고추,햇산화건,중품,30 kg,361710.0525705058,548959.8356833588,0.0,0.0
201805상순,건고추,햇산화건,중품,30 kg,357547.4941770684,548959.8356833588,0.0,0.0
201805중순,건고추,햇산화건,중품,30 kg,354385.085041254,548959.8356833588,0.0,0.0
201805하순,건고추,햇산화건,중품,30 kg,354195.8778415531,548959.8356833588,0.0,0.0
201806상순,건고추,햇산화건,중품,30 kg,354574.2922409561,565863.6555293069,0.0,0.0
201806중순,건고추,햇산화건,중품,30 kg,356608.2696377496,572102.1179638745,0.0,0.0
201806하순,건고추,햇산화건,중품,30 kg,356844.7786373763,567914.4866135578,0.0,0.0
201807상순,건고추,햇산화건,중품,30 kg,358736.8506343935,567914.4866135578,0.0,0.0
201807중순,건고추,햇산화건,중품,30 kg,360818.1298311117,567267.1283167615,0.0,0.0
201807하순,건고추,햇산화건,중품,30 kg,357365.8552653548,558533.4880630217,0.0,0.0
201808상순,건고추,햇산화건,중품,30 kg,354912.21629962366,570970.0177744369,0.0,0.0
201808중순,건고추,햇산화건,중품,30 kg,346195.06219496735,574854.1675552154,0.0,0.0
201808하순,건고추,햇산화건,중품,30 kg,359800.0,740711.0,0.0,0.0
201809상순,건고추,햇산화건,중품,30 kg,411350.07506983995,715097.8689731904,0.0,0.0
201809중순,건고추,햇산화건,중품,30 kg,404398.9809671995,611209.809503302,0.0,0.0
201809하순,건고추,햇산화건,중품,30 kg,406471.1782183319,589769.3027134048,0.0,0.0
201810상순,건고추,햇산화건,중품,30 kg,403642.1521683923,560612.2850256943,0.0,0.0
201810중순,건고추,햇산화건,중품,30 kg,400668.95023228007,540259.340174415,0.0,0.0
201810하순,건고추,햇산화건,중품,30 kg,398470.3625717473,548027.639735972,0.0,0.0
201811상순,건고추,햇산화건,중품,30 kg,396578.29057473,547657.8686768418,0.0,0.0
201811중순,건고추,햇산화건,중품,30 kg,394922.7275773407,550617.0729231577,0.0,0.0
