,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),n_holiday,계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,fill_source
791,2019,01,상순,201901상순,무,무,20키로상자,상,7729.42857142857,7729.42857142857,2.0,겨울,0.0,20.0,0.0,average
792,2019,01,중순,201901중순,무,무,20키로상자,상,6801.375,6801.375,2.0,겨울,0.0,20.0,0.0,average
793,2019,01,하순,201901하순,무,무,20키로상자,상,7740.7,7740.7,1.0,겨울,0.0,20.0,0.0,average
794,2019,02,상순,201902상순,무,무,20키로상자,상,7894.8,7894.8,5.0,겨울,0.0,20.0,0.0,average
795,2019,02,중순,201902중순,무,무,20키로상자,상,8620.33333333333,8620.33333333333,1.0,겨울,0.0,20.0,0.0,average
796,2019,02,하순,201902하순,무,무,20키로상자,상,8432.57142857143,8432.57142857143,1.0,겨울,0.0,20.0,0.0,average
797,2019,03,상순,201903상순,무,무,20키로상자,상,7993.875,7993.875,3.0,봄,0.0,20.0,0.0,average
798,2019,03,중순,201903중순,무,무,20키로상자,상,7646.0,7646.0,1.0,봄,0.0,20.0,0.0,average
799,2019,03,하순,201903하순,무,무,20키로상자,상,6669.55555555555,6669.55555555555,2.0,봄,0.0,20.0,0.0,average
800,2019,04,상순,201904상순,무,무,20키로상자,상,7174.22222222222,7174.22222222222,1.0,봄,0.0,20.0,0.0,average
801,2019,04,중순,201904중순,무,무,20키로상자,상,8150.77777777777,8150.77777777777,1.0,봄,0.0,20.0,0.0,average
802,2019,04,하순,201904하순,무,무,20키로상자,상,9277.25,9277.25,2.0,봄,0.0,20.0,0.0,average
803,2019,05,상순,201905상순,무,무,20키로상자,상,9761.55555555555,9761.55555555555,2.0,봄,0.0,20.0,0.0,average
804,2019,05,중순,201905중순,무,무,20키로상자,상,9051.0,9051.0,2.0,봄,0.0,20.0,0.0,average
805,2019,05,하순,201905하순,무,무,20키로상자,상,8342.4,8342.4,1.0,봄,0.0,20.0,0.0,average
806,2019,06,상순,201906상순,무,무,20키로상자,상,9132.125,9132.125,3.0,여름,0.0,20.0,0.0,average
807,2019,06,중순,201906중순,무,무,20키로상자,상,8804.77777777777,8804.77777777777,1.0,여름,0.0,20.0,0.0,average
808,2019,06,하순,201906하순,무,무,20키로상자,상,8363.625,8363.625,2.0,여름,0.0,20.0,0.0,average
809,2019,07,상순,201907상순,무,무,20키로상자,상,8150.66666666666,8150.66666666666,1.0,여름,0.0,20.0,0.0,average
810,2019,07,중순,201907중순,무,무,20키로상자,상,8929.77777777777,8929.77777777777,1.0,여름,0.0,20.0,0.0,average
811,2019,07,하순,201907하순,무,무,20키로상자,상,5794.66666666666,5794.66666666666,2.0,여름,0.0,20.0,0.0,average
812,2019,08,상순,201908상순,무,무,20키로상자,상,6928.875,6928.875,1.0,여름,0.0,20.0,0.0,average
813,2019,08,중순,201908중순,무,무,20키로상자,상,8141.125,8141.125,3.0,여름,0.0,20.0,0.0,average
814,2019,08,하순,201908하순,무,무,20키로상자,상,9616.4,9616.4,1.0,여름,0.0,20.0,0.0,average
815,2019,09,상순,201909상순,무,무,20키로상자,상,12056.0,12056.0,2.0,가을,0.0,20.0,0.0,average
816,2019,09,중순,201909중순,무,무,20키로상자,상,10907.2857142857,10907.2857142857,4.0,가을,0.0,20.0,0.0,average
817,2019,09,하순,201909하순,무,무,20키로상자,상,12324.625,12324.625,2.0,가을,0.0,20.0,0.0,average
818,2019,10,상순,201910상순,무,무,20키로상자,상,20287.5555555555,20287.5555555555,3.0,가을,0.0,20.0,0.0,average
819,2019,10,중순,201910중순,무,무,20키로상자,상,18901.625,18901.625,2.0,가을,0.0,20.0,0.0,average
820,2019,10,하순,201910하순,무,무,20키로상자,상,20094.5,20094.5,1.0,가을,0.0,20.0,0.0,average
821,2019,11,상순,201911상순,무,무,20키로상자,상,18687.625,18687.625,2.0,가을,0.0,20.0,0.0,average
822,2019,11,중순,201911중순,무,무,20키로상자,상,19210.5555555555,19210.5555555555,1.0,가을,0.0,20.0,0.0,average
823,2019,11,하순,201911하순,무,무,20키로상자,상,18696.6666666666,18696.6666666666,1.0,가을,0.0,20.0,0.0,average
824,2019,12,상순,201912상순,무,무,20키로상자,상,22651.625,22651.625,2.0,겨울,0.0,20.0,0.0,average
825,2019,12,중순,201912중순,무,무,20키로상자,상,25629.1111111111,25629.1111111111,1.0,겨울,0.0,20.0,0.0,average
826,2019,12,하순,201912하순,무,무,20키로상자,상,24146.3333333333,24146.3333333333,3.0,겨울,0.0,20.0,0.0,average
827,2020,01,상순,202001상순,무,무,20키로상자,상,25478.8571428571,25478.8571428571,2.0,겨울,0.0,20.0,0.0,average
828,2020,01,중순,202001중순,무,무,20키로상자,상,19378.125,19378.125,2.0,겨울,0.0,20.0,0.0,average
829,2020,01,하순,202001하순,무,무,20키로상자,상,17105.875,17105.875,4.0,겨울,0.0,20.0,0.0,average
830,2020,02,상순,202002상순,무,무,20키로상자,상,10902.25,10902.25,2.0,겨울,0.0,20.0,0.0,average
831,2020,02,중순,202002중순,무,무,20키로상자,상,11589.2222222222,11589.2222222222,1.0,겨울,0.0,20.0,0.0,average
832,2020,02,하순,202002하순,무,무,20키로상자,상,9167.875,9167.875,1.0,겨울,0.0,20.0,0.0,average
833,2020,03,상순,202003상순,무,무,20키로상자,상,10112.0,10112.0,2.0,봄,0.0,20.0,0.0,average
834,2020,03,중순,202003중순,무,무,20키로상자,상,8490.55555555555,8490.55555555555,1.0,봄,0.0,20.0,0.0,average
835,2020,03,하순,202003하순,무,무,20키로상자,상,10133.0,10133.0,2.0,봄,0.0,20.0,0.0,average
836,2020,04,상순,202004상순,무,무,20키로상자,상,8164.55555555555,8164.55555555555,1.0,봄,0.0,20.0,0.0,average
837,2020,04,중순,202004중순,무,무,20키로상자,상,9708.875,9708.875,3.0,봄,0.0,20.0,0.0,average
838,2020,04,하순,202004하순,무,무,20키로상자,상,10186.7777777777,10186.7777777777,2.0,봄,0.0,20.0,0.0,average
839,2020,05,상순,202005상순,무,무,20키로상자,상,9875.0,9875.0,3.0,봄,0.0,20.0,0.0,average
840,2020,05,중순,202005중순,무,무,20키로상자,상,8403.88888888888,8403.88888888888,1.0,봄,0.0,20.0,0.0,average
841,2020,05,하순,202005하순,무,무,20키로상자,상,8992.0,8992.0,2.0,봄,0.0,20.0,0.0,average
842,2020,06,상순,202006상순,무,무,20키로상자,상,11056.7777777777,11056.7777777777,2.0,여름,0.0,20.0,0.0,average
843,2020,06,중순,202006중순,무,무,20키로상자,상,11275.1111111111,11275.1111111111,1.0,여름,0.0,20.0,0.0,average
844,2020,06,하순,202006하순,무,무,20키로상자,상,12730.75,12730.75,2.0,여름,0.0,20.0,0.0,average
845,2020,07,상순,202007상순,무,무,20키로상자,상,11513.8888888888,11513.8888888888,1.0,여름,0.0,20.0,0.0,average
846,2020,07,중순,202007중순,무,무,20키로상자,상,11745.75,11745.75,2.0,여름,0.0,20.0,0.0,average
847,2020,07,하순,202007하순,무,무,20키로상자,상,10808.7,10808.7,1.0,여름,0.0,20.0,0.0,average
848,2020,08,상순,202008상순,무,무,20키로상자,상,12764.7142857142,12764.7142857142,2.0,여름,0.0,20.0,0.0,average
849,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,3.0,여름,0.0,20.0,0.0,average
850,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,3.0,여름,0.0,20.0,0.0,average
851,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,3.0,여름,0.0,20.0,0.0,average
852,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,3.0,여름,0.0,20.0,0.0,average
853,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,2.0,여름,0.0,20.0,0.0,average
854,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,2.0,여름,0.0,20.0,0.0,average
855,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,2.0,여름,0.0,20.0,0.0,average
856,2020,08,중순,202008중순,무,무,20키로상자,상,13421.4444444444,13421.4444444444,2.0,여름,0.0,20.0,0.0,average
857,2020,08,하순,202008하순,무,무,20키로상자,상,23336.4444444444,23336.4444444444,2.0,여름,0.0,20.0,0.0,average
858,2020,09,상순,202009상순,무,무,20키로상자,상,23616.7777777777,23616.7777777777,1.0,가을,0.0,20.0,0.0,average
859,2020,09,중순,202009중순,무,무,20키로상자,상,22132.625,22132.625,2.0,가을,0.0,20.0,0.0,average
860,2020,09,하순,202009하순,무,무,20키로상자,상,24916.7777777777,24916.7777777777,2.0,가을,0.0,20.0,0.0,average
861,2020,10,상순,202010상순,무,무,20키로상자,상,20661.8333333333,20661.8333333333,5.0,가을,0.0,20.0,0.0,average
862,2020,10,중순,202010중순,무,무,20키로상자,상,14746.125,14746.125,2.0,가을,0.0,20.0,0.0,average
863,2020,10,하순,202010하순,무,무,20키로상자,상,11304.1,11304.1,1.0,가을,0.0,20.0,0.0,average
864,2020,11,상순,202011상순,무,무,20키로상자,상,11496.5,11496.5,2.0,가을,0.0,20.0,0.0,average
865,2020,11,중순,202011중순,무,무,20키로상자,상,10245.1111111111,10245.1111111111,1.0,가을,0.0,20.0,0.0,average
866,2020,11,하순,202011하순,무,무,20키로상자,상,8736.375,8736.375,2.0,가을,0.0,20.0,0.0,average
867,2020,12,상순,202012상순,무,무,20키로상자,상,8982.44444444444,8982.44444444444,1.0,겨울,0.0,20.0,0.0,average
868,2020,12,중순,202012중순,무,무,20키로상자,상,12022.75,12022.75,2.0,겨울,0.0,20.0,0.0,average
869,2020,12,하순,202012하순,무,무,20키로상자,상,14112.3,14112.3,2.0,겨울,0.0,20.0,0.0,average
870,2021,01,상순,202101상순,무,무,20키로상자,상,2770.283190544085,15453.6666666666,3.0,겨울,,20.0,138.51415952720424,local
871,2021,01,중순,202101중순,무,무,20키로상자,상,1214.0822086466408,14208.5555555555,1.0,겨울,0.0,20.0,60.70411043233204,local
872,2021,01,하순,202101하순,무,무,20키로상자,상,3140.301436387124,11529.4444444444,2.0,겨울,0.0,20.0,157.0150718193562,local
873,2021,02,상순,202102상순,무,무,20키로상자,상,4882.46959464176,9098.88888888888,1.0,겨울,0.0,20.0,244.123479732088,local
874,2021,02,중순,202102중순,무,무,20키로상자,상,5822.883488489424,8339.71428571428,4.0,겨울,0.0,20.0,291.1441744244712,local
875,2021,02,하순,202102하순,무,무,20키로상자,상,3282.650580195346,7570.66666666666,2.0,겨울,0.0,20.0,164.1325290097673,local
876,2021,03,상순,202103상순,무,무,20키로상자,상,1168.5508454605956,7826.11111111111,2.0,봄,0.0,20.0,58.427542273029786,local
877,2021,03,중순,202103중순,무,무,20키로상자,상,3736.506189649021,8207.88888888888,1.0,봄,0.0,20.0,186.82530948245105,local
878,2021,03,하순,202103하순,무,무,20키로상자,상,4116.923045794744,7181.88888888888,2.0,봄,0.0,20.0,205.8461522897372,local
879,2021,04,상순,202104상순,무,무,20키로상자,상,5353.1104442019305,7465.11111111111,1.0,봄,0.0,20.0,267.65552221009654,local
880,2021,04,중순,202104중순,무,무,20키로상자,상,4914.181093399796,8290.625,2.0,봄,0.0,20.0,245.7090546699898,local
881,2021,04,하순,202104하순,무,무,20키로상자,상,3653.409971820242,8946.33333333333,1.0,봄,0.0,20.0,182.6704985910121,local
882,2021,05,상순,202105상순,무,무,20키로상자,상,4572.013554617313,9051.875,3.0,봄,0.0,20.0,228.60067773086567,local
883,2021,05,중순,202105중순,무,무,20키로상자,상,5164.161333763621,8165.22222222222,2.0,봄,0.0,20.0,258.208066688181,local
884,2021,05,하순,202105하순,무,무,20키로상자,상,4048.6635367753793,8496.88888888888,2.0,봄,0.0,20.0,202.43317683876896,local
885,2021,06,상순,202106상순,무,무,20키로상자,상,3552.2187140412634,9258.0,1.0,여름,0.0,20.0,177.61093570206316,local
886,2021,06,중순,202106중순,무,무,20키로상자,상,4678.285328213453,8435.75,2.0,여름,0.0,20.0,233.91426641067264,local
887,2021,06,하순,202106하순,무,무,20키로상자,상,4233.191271888748,9150.44444444444,1.0,여름,0.0,20.0,211.6595635944374,local
888,2021,07,상순,202107상순,무,무,20키로상자,상,3124.6269063577824,12564.0,1.0,여름,0.0,20.0,156.23134531788912,local
889,2021,07,중순,202107중순,무,무,20키로상자,상,3953.4413134627953,9012.75,2.0,여름,,20.0,197.67206567313977,local
890,2021,07,하순,202107하순,무,무,20키로상자,상,6156.601521666526,11067.1,1.0,여름,,20.0,307.83007608332633,local
891,2021,08,상순,202108상순,무,무,20키로상자,상,7904.941845712418,13885.2857142857,2.0,여름,,20.0,395.2470922856209,local
892,2021,08,중순,202108중순,무,무,20키로상자,상,8529.912583107143,10580.6666666666,,여름,,20.0,426.49562915535716,local
893,2021,08,하순,202108하순,무,무,20키로상자,상,11098.054345680792,10101.5555555555,2.0,여름,,20.0,554.9027172840396,local
894,2021,09,상순,202109상순,무,무,20키로상자,상,12038.06258451269,9531.0,1.0,가을,,20.0,601.9031292256345,local
895,2021,09,중순,202109중순,무,무,20키로상자,상,10566.789911707092,10187.1428571428,3.0,가을,,20.0,528.3394955853546,local
896,2021,09,하순,202109하순,무,무,20키로상자,상,8821.486873291107,8076.33333333333,3.0,가을,,20.0,441.07434366455533,local
897,2021,10,상순,202110상순,무,무,20키로상자,상,8250.583317034274,7584.5,4.0,가을,,20.0,412.52916585171374,local
898,2021,10,중순,202110중순,무,무,20키로상자,상,7234.661541518397,8729.55555555555,2.0,가을,,20.0,361.7330770759198,local
899,2021,10,하순,202110하순,무,무,20키로상자,상,4711.872913945871,10916.8888888888,2.0,가을,,20.0,235.59364569729354,local
900,2021,11,상순,202111상순,무,무,20키로상자,상,3158.3421399383915,10744.4444444444,1.0,가을,,20.0,157.91710699691959,local
901,2021,11,중순,202111중순,무,무,20키로상자,상,2806.869226744534,12581.1111111111,1.0,가을,,20.0,140.3434613372267,local
902,2021,11,하순,202111하순,무,무,20키로상자,상,2843.6909235848266,11107.375,2.0,가을,,20.0,142.18454617924132,local
903,2021,12,상순,202112상순,무,무,20키로상자,상,3028.109358373713,11457.6666666666,1.0,겨울,,20.0,151.40546791868564,local
904,2021,12,중순,202112중순,무,무,20키로상자,상,3770.5806204384676,10597.75,2.0,겨울,,20.0,188.52903102192337,local
905,2021,12,하순,202112하순,무,무,20키로상자,상,4981.421320460118,10748.2,2.0,겨울,,20.0,249.0710660230059,local
